phi,theta,omega0,theta0,phi0,rho0,A0,xp0,gradient_strength,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count,external_mass_proxy
0.8975979010256552,-0.8975979010256552,0.5,-0.8975979010256552,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816746920847698,0.376334938416954,131,1.8816746920847698
0.8975979010256552,0.8975979010256552,0.5,0.8975979010256552,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.881674692084777,0.37633493841695537,131,1.881674692084777
0.8975979010256552,2.6927937030769655,0.5,2.6927937030769655,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.881674692078585,0.37633493841571697,131,1.881674692078585
0.8975979010256552,4.487989505128276,0.5,4.487989505128276,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816746920773317,0.37633493841546634,131,1.8816746920773317
0.8975979010256552,6.283185307179586,0.5,6.283185307179586,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816746920767884,0.3763349384153577,131,1.8816746920767884
2.6927937030769655,-6.283185307179586,0.5,-6.283185307179586,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623780242,0.12607963247560483,118,0.6303981623780242
2.6927937030769655,-4.487989505128276,0.5,-4.487989505128276,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623780424,0.12607963247560847,118,0.6303981623780424
2.6927937030769655,-2.6927937030769655,0.5,-2.6927937030769655,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623781079,0.12607963247562157,118,0.6303981623781079
2.6927937030769655,-0.8975979010256552,0.5,-0.8975979010256552,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623783482,0.12607963247566964,118,0.6303981623783482
2.6927937030769655,0.8975979010256552,0.5,0.8975979010256552,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623783653,0.12607963247567305,118,0.6303981623783653
2.6927937030769655,2.6927937030769655,0.5,2.6927937030769655,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623781029,0.12607963247562057,118,0.6303981623781029
2.6927937030769655,4.487989505128276,0.5,4.487989505128276,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.63039816237804,0.126079632475608,118,0.63039816237804
2.6927937030769655,6.283185307179586,0.5,6.283185307179586,2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6303981623780358,0.12607963247560716,118,0.6303981623780358
4.487989505128276,-6.283185307179586,0.5,-6.283185307179586,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441741522425454,0.026883483044850907,112,0.13441741522425454
