param,val,e_flux
theta,1.3327968833411248,0.4350880244339906
phi,1.3327968833411248,1.0488976469818552
theta,1.4597299198498028,0.4995302533258308
phi,1.4597299198498028,0.6402672256022407
theta,1.5866629563584818,0.5698308666623844
phi,1.5866629563584818,0.5266985022739151
theta,1.7135959928671598,0.64598986444365
phi,1.7135959928671598,0.7154715271237407
theta,1.8405290293758387,0.7280072466696291
phi,1.8405290293758387,1.1944854589761706
theta,1.9674620658845168,0.8158830133403203
phi,1.9674620658845168,1.9330342607009834
theta,2.0943951023931966,0.9096171644557256
phi,2.0943951023931966,2.8837750359433056
theta,2.2213281389018746,1.0092097000158424
phi,2.2213281389018746,3.9857628317392084
theta,2.3482611754105527,1.114660620020672
phi,2.3482611754105527,5.168357368287453
theta,2.4751942119192307,1.225969924470214
phi,2.4751942119192307,4.130703411805294
theta,2.6021272484279105,1.3431376133644708
phi,2.6021272484279105,3.014625188869958
theta,2.7290602849365886,1.4661636867034384
phi,2.7290602849365886,2.0414061518406625
theta,2.8559933214452666,1.5950481444871192
phi,2.8559933214452666,1.2734321686425423
theta,2.9829263579539447,1.7297909867155123
phi,2.9829263579539447,0.7599323661862233
theta,3.1098593944626245,1.8703922133886202
phi,3.1098593944626245,0.5338234154745831
theta,3.2367924309713025,2.016851824506439
phi,3.2367924309713025,0.6095994875000582
theta,3.3637254674799806,2.16916982006897
phi,3.3637254674799806,0.9824031392396451
theta,3.4906585039886586,2.3273462000762146
phi,3.4906585039886586,1.628336688368474
theta,3.6175915404973384,2.4913809645281737
phi,3.6175915404973384,2.505994116764081
theta,3.7445245770060165,2.6612741134248434
phi,3.7445245770060165,3.5591153038080137
theta,3.8714576135146945,2.837025646766226
phi,3.8714576135146945,4.720192446236746
theta,3.9983906500233743,3.0186355645523237
phi,3.9983906500233743,4.571657192494844
theta,4.125323686532052,3.2061038667831316
phi,4.125323686532052,3.4201015456078117
theta,4.25225672304073,3.3994305534586524
phi,4.25225672304073,2.3854129970537565
theta,4.3791897595494085,3.5986156245788856
phi,4.3791897595494085,1.5339177700956328
theta,4.506122796058088,3.803659080143835
phi,4.506122796058088,0.9201989202910584
theta,4.633055832566766,4.014560920153494
phi,4.633055832566766,0.5835974198675926
theta,4.759988869075444,4.231321144607866
phi,4.759988869075444,0.5456902992262382
theta,4.886921905584122,4.45393975350695
phi,4.886921905584122,0.8089075032527556
theta,5.013854942092802,4.68241674685075
phi,5.013854942092802,1.3563761255394158
theta,5.14078797860148,4.9167521246392605
phi,5.14078797860148,2.1530020055081307
theta,5.267721015110158,5.156945886872483
phi,5.267721015110158,3.147719355250374
theta,5.394654051618836,5.402998033550419
phi,5.394654051618836,4.276764209160517
theta,5.521587088127516,5.65490856467307
phi,5.521587088127516,5.018692816418029
theta,5.648520124636194,5.912677480240431
phi,5.648520124636194,3.8420884118402934
theta,5.775453161144872,6.1763047802525035
phi,5.775453161144872,2.755300651482671
theta,5.902386197653552,6.445790464709295
phi,5.902386197653552,1.827995453397164
theta,6.02931923416223,6.721134533610794
phi,6.02931923416223,1.1196154891848964
theta,6.156252270670908,7.002336986957006
phi,6.156252270670908,0.6755697543614658
theta,6.283185307179586,7.2893978247479305
phi,6.283185307179586,0.5243227338078721
