phi_2,rho_2,dm
1.8188167994467221,0.8267349088394189,1.702360486230961
1.8188167994467221,1.1574288723751867,1.8056510642932246
1.8188167994467221,1.4881228359109544,1.908941642355486
1.8188167994467221,1.8188167994467221,2.01223222041775
1.8188167994467221,2.14951076298249,2.1155227984800122
1.8188167994467221,2.4802047265182576,2.218813376542275
1.8188167994467221,2.8108986900540254,2.3221039546045383
1.8188167994467221,3.141592653589793,2.4253945326668016
2.14951076298249,-3.141592653589793,0.3595829714215448
2.14951076298249,-2.8108986900540254,0.4628735494838073
2.14951076298249,-2.4802047265182576,0.5661641275460704
2.14951076298249,-2.14951076298249,0.6694547056083334
2.14951076298249,-1.8188167994467224,0.7727452836705959
2.14951076298249,-1.4881228359109546,0.8760358617328591
2.14951076298249,-1.157428872375187,0.9793264397951215
2.14951076298249,-0.8267349088394194,1.0826170178573842
2.14951076298249,-0.4960409453036516,1.1859075959196481
2.14951076298249,-0.16534698176788387,1.2891981739819103
2.14951076298249,0.16534698176788387,1.3924887520441724
2.14951076298249,0.4960409453036516,1.4957793301064366
2.14951076298249,0.8267349088394189,1.5990699081686988
2.14951076298249,1.1574288723751867,1.702360486230961
2.14951076298249,1.4881228359109544,1.8056510642932246
2.14951076298249,1.8188167994467221,1.908941642355486
2.14951076298249,2.14951076298249,2.01223222041775
2.14951076298249,2.4802047265182576,2.1155227984800122
2.14951076298249,2.8108986900540254,2.218813376542275
2.14951076298249,3.141592653589793,2.322103954604539
2.4802047265182576,-3.141592653589793,0.25629239335928194
2.4802047265182576,-2.8108986900540254,0.3595829714215449
2.4802047265182576,-2.4802047265182576,0.4628735494838073
2.4802047265182576,-2.14951076298249,0.5661641275460704
2.4802047265182576,-1.8188167994467224,0.6694547056083333
2.4802047265182576,-1.4881228359109546,0.7727452836705959
2.4802047265182576,-1.157428872375187,0.8760358617328591
2.4802047265182576,-0.8267349088394194,0.9793264397951214
2.4802047265182576,-0.4960409453036516,1.0826170178573842
2.4802047265182576,-0.16534698176788387,1.1859075959196481
2.4802047265182576,0.16534698176788387,1.2891981739819096
2.4802047265182576,0.4960409453036516,1.3924887520441724
2.4802047265182576,0.8267349088394189,1.4957793301064366
2.4802047265182576,1.1574288723751867,1.5990699081686985
2.4802047265182576,1.4881228359109544,1.702360486230961
2.4802047265182576,1.8188167994467221,1.8056510642932246
2.4802047265182576,2.14951076298249,1.908941642355486
2.4802047265182576,2.4802047265182576,2.01223222041775
2.4802047265182576,2.8108986900540254,2.115522798480012
2.4802047265182576,3.141592653589793,2.218813376542275
2.8108986900540254,-3.141592653589793,0.1530018152970192
2.8108986900540254,-2.8108986900540254,0.25629239335928194
2.8108986900540254,-2.4802047265182576,0.3595829714215449
2.8108986900540254,-2.14951076298249,0.4628735494838073
2.8108986900540254,-1.8188167994467224,0.5661641275460704
2.8108986900540254,-1.4881228359109546,0.6694547056083333
2.8108986900540254,-1.157428872375187,0.7727452836705958
2.8108986900540254,-0.8267349088394194,0.8760358617328592
2.8108986900540254,-0.4960409453036516,0.9793264397951214
2.8108986900540254,-0.16534698176788387,1.0826170178573842
2.8108986900540254,0.16534698176788387,1.1859075959196475
2.8108986900540254,0.4960409453036516,1.2891981739819096
2.8108986900540254,0.8267349088394189,1.3924887520441724
2.8108986900540254,1.1574288723751867,1.4957793301064366
2.8108986900540254,1.4881228359109544,1.5990699081686985
2.8108986900540254,1.8188167994467221,1.702360486230961
2.8108986900540254,2.14951076298249,1.8056510642932246
2.8108986900540254,2.4802047265182576,1.908941642355486
2.8108986900540254,2.8108986900540254,2.01223222041775
2.8108986900540254,3.141592653589793,2.115522798480012
3.141592653589793,-3.141592653589793,0.04971123723475631
3.141592653589793,-2.8108986900540254,0.15300181529701914
3.141592653589793,-2.4802047265182576,0.25629239335928194
3.141592653589793,-2.14951076298249,0.35958297142154483
3.141592653589793,-1.8188167994467224,0.46287354948380727
3.141592653589793,-1.4881228359109546,0.5661641275460703
3.141592653589793,-1.157428872375187,0.6694547056083333
3.141592653589793,-0.8267349088394194,0.7727452836705959
3.141592653589793,-0.4960409453036516,0.8760358617328591
3.141592653589793,-0.16534698176788387,0.9793264397951214
3.141592653589793,0.16534698176788387,1.082617017857384
3.141592653589793,0.4960409453036516,1.1859075959196477
3.141592653589793,0.8267349088394189,1.2891981739819096
3.141592653589793,1.1574288723751867,1.3924887520441724
3.141592653589793,1.4881228359109544,1.4957793301064366
3.141592653589793,1.8188167994467221,1.599069908168698
3.141592653589793,2.14951076298249,1.702360486230961
3.141592653589793,2.4802047265182576,1.8056510642932246
3.141592653589793,2.8108986900540254,1.908941642355486
3.141592653589793,3.141592653589793,2.01223222041775
