theta_2,rho_2,dm
-2.14951076298249,-2.4802047265182576,-1.5771153672458822
-2.14951076298249,-2.14951076298249,-1.4738247891836205
-2.14951076298249,-1.8188167994467224,-1.3705342111213574
-2.14951076298249,-1.4881228359109546,-1.2672436330590937
-2.14951076298249,-1.157428872375187,-1.1639530549968318
-2.14951076298249,-0.8267349088394194,-1.0606624769345685
-2.14951076298249,-0.4960409453036516,-0.9573718988723058
-2.14951076298249,-0.16534698176788387,-0.8540813208100431
-2.14951076298249,0.16534698176788387,-0.7507907427477806
-2.14951076298249,0.4960409453036516,-0.6475001646855172
-2.14951076298249,0.8267349088394189,-0.5442095866232547
-2.14951076298249,1.1574288723751867,-0.4409190085609921
-2.14951076298249,1.4881228359109544,-0.33762843049872926
-2.14951076298249,1.8188167994467221,-0.23433785243646624
-2.14951076298249,2.14951076298249,-0.13104727437420352
-2.14951076298249,2.4802047265182576,-0.027756696311940665
-2.14951076298249,2.8108986900540254,0.07553388175032215
-2.14951076298249,3.141592653589793,0.17882445981258496
-1.8188167994467224,-3.141592653589793,-1.5771153672458826
-1.8188167994467224,-2.8108986900540254,-1.4738247891836205
-1.8188167994467224,-2.4802047265182576,-1.3705342111213574
-1.8188167994467224,-2.14951076298249,-1.2672436330590942
-1.8188167994467224,-1.8188167994467224,-1.1639530549968318
-1.8188167994467224,-1.4881228359109546,-1.0606624769345685
-1.8188167994467224,-1.157428872375187,-0.957371898872306
-1.8188167994467224,-0.8267349088394194,-0.8540813208100431
-1.8188167994467224,-0.4960409453036516,-0.7507907427477808
-1.8188167994467224,-0.16534698176788387,-0.6475001646855175
-1.8188167994467224,0.16534698176788387,-0.5442095866232547
-1.8188167994467224,0.4960409453036516,-0.4409190085609922
-1.8188167994467224,0.8267349088394189,-0.33762843049872937
-1.8188167994467224,1.1574288723751867,-0.23433785243646635
-1.8188167994467224,1.4881228359109544,-0.1310472743742037
-1.8188167994467224,1.8188167994467221,-0.02775669631194084
-1.8188167994467224,2.14951076298249,0.07553388175032195
-1.8188167994467224,2.4802047265182576,0.17882445981258474
-1.8188167994467224,2.8108986900540254,0.28211503787484754
-1.8188167994467224,3.141592653589793,0.3854056159371104
-1.4881228359109546,-3.141592653589793,-1.3705342111213574
-1.4881228359109546,-2.8108986900540254,-1.2672436330590942
-1.4881228359109546,-2.4802047265182576,-1.1639530549968318
-1.4881228359109546,-2.14951076298249,-1.0606624769345685
-1.4881228359109546,-1.8188167994467224,-0.957371898872306
-1.4881228359109546,-1.4881228359109546,-0.8540813208100431
-1.4881228359109546,-1.157428872375187,-0.7507907427477806
-1.4881228359109546,-0.8267349088394194,-0.6475001646855176
-1.4881228359109546,-0.4960409453036516,-0.5442095866232548
-1.4881228359109546,-0.16534698176788387,-0.4409190085609921
-1.4881228359109546,0.16534698176788387,-0.33762843049872926
-1.4881228359109546,0.4960409453036516,-0.23433785243646627
-1.4881228359109546,0.8267349088394189,-0.1310472743742037
-1.4881228359109546,1.1574288723751867,-0.027756696311940863
-1.4881228359109546,1.4881228359109544,0.07553388175032195
-1.4881228359109546,1.8188167994467221,0.17882445981258474
-1.4881228359109546,2.14951076298249,0.28211503787484754
-1.4881228359109546,2.4802047265182576,0.3854056159371104
-1.4881228359109546,2.8108986900540254,0.48869619399937336
-1.4881228359109546,3.141592653589793,0.5919867720616362
-1.157428872375187,-3.141592653589793,-1.1639530549968318
-1.157428872375187,-2.8108986900540254,-1.0606624769345685
-1.157428872375187,-2.4802047265182576,-0.9573718988723061
-1.157428872375187,-2.14951076298249,-0.8540813208100431
-1.157428872375187,-1.8188167994467224,-0.7507907427477808
-1.157428872375187,-1.4881228359109546,-0.6475001646855179
-1.157428872375187,-1.157428872375187,-0.5442095866232549
-1.157428872375187,-0.8267349088394194,-0.44091900856099236
-1.157428872375187,-0.4960409453036516,-0.33762843049872937
-1.157428872375187,-0.16534698176788387,-0.23433785243646646
-1.157428872375187,0.16534698176788387,-0.1310472743742037
-1.157428872375187,0.4960409453036516,-0.02775669631194086
-1.157428872375187,0.8267349088394189,0.0755338817503218
-1.157428872375187,1.1574288723751867,0.17882445981258463
-1.157428872375187,1.4881228359109544,0.2821150378748474
-1.157428872375187,1.8188167994467221,0.3854056159371103
-1.157428872375187,2.14951076298249,0.48869619399937325
-1.157428872375187,2.4802047265182576,0.5919867720616359
-1.157428872375187,2.8108986900540254,0.6952773501238987
-1.157428872375187,3.141592653589793,0.7985679281861612
-0.8267349088394194,-3.141592653589793,-0.957371898872306
-0.8267349088394194,-2.8108986900540254,-0.8540813208100431
-0.8267349088394194,-2.4802047265182576,-0.7507907427477808
-0.8267349088394194,-2.14951076298249,-0.6475001646855175
-0.8267349088394194,-1.8188167994467224,-0.5442095866232548
-0.8267349088394194,-1.4881228359109546,-0.44091900856099236
-0.8267349088394194,-1.157428872375187,-0.33762843049872937
-0.8267349088394194,-0.8267349088394194,-0.23433785243646638
-0.8267349088394194,-0.4960409453036516,-0.1310472743742037
-0.8267349088394194,-0.16534698176788387,-0.02775669631194085
-0.8267349088394194,0.16534698176788387,0.07553388175032198
-0.8267349088394194,0.4960409453036516,0.17882445981258474
-0.8267349088394194,0.8267349088394189,0.28211503787484743
-0.8267349088394194,1.1574288723751867,0.3854056159371103
-0.8267349088394194,1.4881228359109544,0.48869619399937325
-0.8267349088394194,1.8188167994467221,0.5919867720616359
-0.8267349088394194,2.14951076298249,0.6952773501238987
-0.8267349088394194,2.4802047265182576,0.7985679281861612
-0.8267349088394194,2.8108986900540254,0.9018585062484245
-0.8267349088394194,3.141592653589793,1.0051490843106872
-0.4960409453036516,-3.141592653589793,-0.7507907427477808
-0.4960409453036516,-2.8108986900540254,-0.6475001646855176
-0.4960409453036516,-2.4802047265182576,-0.5442095866232547
-0.4960409453036516,-2.14951076298249,-0.4409190085609921
-0.4960409453036516,-1.8188167994467224,-0.33762843049872937
-0.4960409453036516,-1.4881228359109546,-0.23433785243646635
-0.4960409453036516,-1.157428872375187,-0.13104727437420371
-0.4960409453036516,-0.8267349088394194,-0.027756696311940842
-0.4960409453036516,-0.4960409453036516,0.07553388175032198
-0.4960409453036516,-0.16534698176788387,0.17882445981258474
-0.4960409453036516,0.16534698176788387,0.28211503787484754
-0.4960409453036516,0.4960409453036516,0.3854056159371104
-0.4960409453036516,0.8267349088394189,0.48869619399937325
-0.4960409453036516,1.1574288723751867,0.5919867720616359
-0.4960409453036516,1.4881228359109544,0.6952773501238987
