phi,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-3.490658503988659,6.283185307179586,0.5,0.0,-3.490658503988659,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1833638661133243,2.647971664514638,0.06924691399480444,0.07334554644532973
-2.0943951023931957,-6.283185307179586,0.5,0.0,-2.0943951023931957,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875944,2.5976324653044958,0.19208430520947678,0.19958577091503776
-2.0943951023931957,-4.886921905584122,0.5,0.0,-2.0943951023931957,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4382124713542575,2.564575888754194,0.17087132156074744,0.175284988541703
-2.0943951023931957,-3.490658503988659,0.5,0.0,-2.0943951023931957,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.3597422517463948,2.71285522805432,0.13260650550984418,0.14389690069855793
-2.0943951023931957,-2.0943951023931957,0.5,0.0,-2.0943951023931957,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.31021933255635903,2.6954837362251207,0.11508855660572616,0.12408773302254361
-2.0943951023931957,-0.6981317007977319,0.5,0.0,-2.0943951023931957,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2860603639880385,2.7423672034598017,0.10431147354269024,0.11442414559521541
-2.0943951023931957,0.6981317007977319,0.5,0.0,-2.0943951023931957,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2860603639880385,2.7423672034598017,0.10431147354269024,0.11442414559521541
-2.0943951023931957,2.094395102393195,0.5,0.0,-2.0943951023931957,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.3102193325563581,2.6954837362437645,0.11508855660492977,0.12408773302254324
-2.0943951023931957,3.4906585039886586,0.5,0.0,-2.0943951023931957,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.35974225174639407,2.712855228130472,0.13260650550612155,0.14389690069855762
-2.0943951023931957,4.886921905584122,0.5,0.0,-2.0943951023931957,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4382124713542575,2.564575888754194,0.17087132156074744,0.175284988541703
-2.0943951023931957,6.283185307179586,0.5,0.0,-2.0943951023931957,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875944,2.5976324653044958,0.19208430520947678,0.19958577091503776
-0.6981317007977319,-6.283185307179586,0.5,0.0,-0.6981317007977319,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
-0.6981317007977319,-4.886921905584122,0.5,0.0,-0.6981317007977319,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.1001445045635339,2.633500834578216,0.4177498218791087,0.44005780182541354
