theta,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-4.886921905584122,-6.283185307179586,0.5,-4.886921905584122,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011952068,2.594721092805052,0.09275783122224372,0.09627228047808271
-4.886921905584122,-4.886921905584122,0.5,-4.886921905584122,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086301758113,2.663534927405896,0.08017197778050374,0.08541634520703245
-4.886921905584122,-3.490658503988659,0.5,-4.886921905584122,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1732422241835351,2.6445160347070544,0.06550999196445635,0.06929688967341405
-4.886921905584122,-2.0943951023931957,0.5,-4.886921905584122,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373941172,2.7165983602638915,0.05398099913642243,0.05865787749576469
-4.886921905584122,-0.6981317007977319,0.5,-4.886921905584122,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607357173,2.714581284862488,0.049171541415210705,0.05339205842942869
-4.886921905584122,0.6981317007977319,0.5,-4.886921905584122,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1334801460735707,2.7145812866282912,0.04917154138322482,0.05339205842942828
-4.886921905584122,2.094395102393195,0.5,-4.886921905584122,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373937097,2.7165983851589597,0.053980998641722365,0.05865787749574839
-4.886921905584122,3.4906585039886586,0.5,-4.886921905584122,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418343102,2.644516119617534,0.06550998986101335,0.06929688967337241
-4.886921905584122,4.886921905584122,0.5,-4.886921905584122,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2135408630174855,2.663534995106601,0.08017197574268743,0.0854163452069942
-4.886921905584122,6.283185307179586,0.5,-4.886921905584122,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011952068,2.594721092805052,0.09275783122224372,0.09627228047808271
-3.490658503988659,-6.283185307179586,0.5,-3.490658503988659,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011952452,2.594720882286342,0.09275783874802328,0.09627228047809808
-3.490658503988659,-4.886921905584122,0.5,-3.490658503988659,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086301842626,2.663533292963718,0.08017202697730089,0.0854163452073705
-3.490658503988659,-3.490658503988659,0.5,-3.490658503988659,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418440988,2.644514290366041,0.06551003517565811,0.06929688967376395
-3.490658503988659,-2.0943951023931957,0.5,-3.490658503988659,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373994346,2.716597600920349,0.053981014225390644,0.05865787749597738
-3.490658503988659,-0.6981317007977319,0.5,-3.490658503988659,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607356906,2.714581067541594,0.049171545351729976,0.053392058429427625
-3.490658503988659,0.6981317007977319,0.5,-3.490658503988659,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1334801460735662,2.7145810723730337,0.04917154526421289,0.05339205842942648
-3.490658503988659,2.094395102393195,0.5,-3.490658503988659,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1466446937398317,2.7165976690345977,0.05398101287186376,0.058657877495932674
-3.490658503988659,3.4906585039886586,0.5,-3.490658503988659,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418412488,2.644514522527423,0.06551002942443791,0.06929688967364996
-3.490658503988659,4.886921905584122,0.5,-3.490658503988659,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.213540863018164,2.6635334781125293,0.08017202140424619,0.0854163452072656
-3.490658503988659,6.283185307179586,0.5,-3.490658503988659,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011952452,2.594720882286342,0.09275783874802328,0.09627228047809808
-2.0943951023931957,-6.283185307179586,0.5,-2.0943951023931957,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011953346,2.5947203928201437,0.09275785624583006,0.09627228047813384
-2.0943951023931957,-4.886921905584122,0.5,-2.0943951023931957,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086302171385,2.6635274708560295,0.08017220222364896,0.08541634520868555
-2.0943951023931957,-3.490658503988659,0.5,-2.0943951023931957,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1732422241878038,2.644507974568372,0.06551019163255872,0.06929688967512151
-2.0943951023931957,-2.0943951023931957,0.5,-2.0943951023931957,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469374194175,2.7165949081399265,0.0539810677339267,0.0586578774967767
-2.0943951023931957,-0.6981317007977319,0.5,-2.0943951023931957,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607358463,2.7145803799663764,0.0491715578063811,0.053392058429433856
-2.0943951023931957,0.6981317007977319,0.5,-2.0943951023931957,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1334801460735712,2.7145804021957836,0.049171557403715545,0.05339205842942848
-2.0943951023931957,2.094395102393195,0.5,-2.0943951023931957,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469374142616,2.7165952214035816,0.05398106150892047,0.05865787749657046
-2.0943951023931957,3.4906585039886586,0.5,-2.0943951023931957,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418648536,2.6445090423021744,0.0655101651819914,0.06929688967459414
-2.0943951023931957,4.886921905584122,0.5,-2.0943951023931957,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086302050035,2.663528322025488,0.08017217660299275,0.08541634520820014
-2.0943951023931957,6.283185307179586,0.5,-2.0943951023931957,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011953346,2.5947203928201437,0.09275785624583006,0.09627228047813384
-0.6981317007977319,-6.283185307179586,0.5,-0.6981317007977319,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.240680701195774,2.594717980917885,0.09275794246842692,0.0962722804783096
-0.6981317007977319,-4.886921905584122,0.5,-0.6981317007977319,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086307670286,2.663451191613055,0.08017449831599016,0.08541634523068115
-0.6981317007977319,-3.490658503988659,0.5,-0.6981317007977319,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1732422242458923,2.644422457549424,0.0655123101648574,0.06929688969835693
-0.6981317007977319,-2.0943951023931957,0.5,-0.6981317007977319,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469377178765,2.7165604667964125,0.05398175213258659,0.05865787750871506
-0.6981317007977319,-0.6981317007977319,0.5,-0.6981317007977319,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607419967,2.71457311467466,0.049171689409514094,0.05339205842967987
