phi,theta,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-4.886921905584122,4.886921905584122,0.5,4.886921905584122,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308334094,2.67506357547862,0.016187104291752567,0.017320613233336377
-4.886921905584122,6.283185307179586,0.5,6.283185307179586,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308335791,2.6750637986081123,0.016187102941577894,0.017320613233343163
-3.490658503988659,-6.283185307179586,0.5,-6.283185307179586,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1833638661133243,2.647971664514638,0.06924691399480444,0.07334554644532973
-3.490658503988659,-4.886921905584122,0.5,-4.886921905584122,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611334551,2.647971507697755,0.06924691809571958,0.07334554644533821
-3.490658503988659,-3.490658503988659,0.5,-3.490658503988659,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611338404,2.647971225906447,0.06924692546483974,0.07334554644535361
-3.490658503988659,-2.0943951023931957,0.5,-2.0943951023931957,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611347288,2.647970570500852,0.06924694260434716,0.07334554644538915
-3.490658503988659,-0.6981317007977319,0.5,-0.6981317007977319,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611391406,2.6479673390777902,0.06924702710939568,0.07334554644556562
-3.490658503988659,0.6981317007977319,0.5,0.6981317007977319,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611391406,2.6479673390777902,0.06924702710939568,0.07334554644556562
-3.490658503988659,2.094395102393195,0.5,2.094395102393195,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611347288,2.647970570500852,0.06924694260434716,0.07334554644538915
-3.490658503988659,3.4906585039886586,0.5,3.4906585039886586,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611338404,2.647971225906447,0.06924692546483974,0.07334554644535361
