r,omega,theta,phi,rho,m
2.1500999999999983,0.48740301213153203,0.0,-1.665977566325062,0.0,0.6166757928862641
2.160099999999998,0.48728573420688037,0.0,-1.6668948282447007,0.0,0.6254689807371073
2.170099999999998,0.4871679191063133,0.0,-1.6678168274951872,0.0,0.6343394837056298
2.1800999999999977,0.48704956694411833,0.0,-1.668743569143828,0.0,0.6432873145328395
2.1900999999999975,0.4869306778350881,0.0,-1.6696750582398383,0.0,0.6523124740791864
2.2000999999999973,0.48681125189451985,0.0,-1.6706112998135458,0.0,0.6614149511395672
2.210099999999997,0.48669128923821514,0.0,-1.6715522988755829,0.0,0.6705947222589473
2.220099999999997,0.48657078998247943,0.0,-1.672498060416071,0.0,0.6798517515487087
2.2300999999999966,0.4864497542441218,0.0,-1.6734485894037983,0.0,0.6891859905038377
2.2400999999999964,0.48632818214045453,0.0,-1.6744038907853847,0.0,0.6985973778210697
2.250099999999996,0.4862060737892928,0.0,-1.6753639694844424,0.0,0.7080858392181092
2.260099999999996,0.4860834293089543,0.0,-1.6763288304007242,0.0,0.7176512872540456
2.270099999999996,0.4859602488182589,0.0,-1.6772984784092644,0.0,0.72729362115109
2.2800999999999956,0.4858365324365282,0.0,-1.6782729183595109,0.0,0.7370127266177592
2.2900999999999954,0.48571228028358526,0.0,-1.6792521550744475,0.0,0.746808475673636
2.300099999999995,0.48558749247975425,0.0,-1.6802361933497074,0.0,0.756680726475837
2.310099999999995,0.48546216914585993,0.0,-1.6812250379526787,0.0,0.7666293231473233
2.3200999999999947,0.4853363104032275,0.0,-1.6822186936215984,0.0,0.7766540956071892
2.3300999999999945,0.485209916373682,0.0,-1.6832171650646395,0.0,0.7867548594030688
2.3400999999999943,0.4850829871795482,0.0,-1.6842204569589874,0.0,0.7969314155458023
2.350099999999994,0.48495552294364996,0.0,-1.6852285739499078,0.0,0.8071835503465051
2.360099999999994,0.48482752378931004,0.0,-1.686241520649805,0.0,0.8175110352561861
2.3700999999999937,0.4846989898403497,0.0,-1.6872593016372701,0.0,0.8279136267080632
2.3800999999999934,0.4845699212210882,0.0,-1.6882819214561215,0.0,0.8383910659627278
2.3900999999999932,0.48444031805634263,0.0,-1.6893093846144343,0.0,0.8489430789563089
2.400099999999993,0.4843101804714273,0.0,-1.6903416955835597,0.0,0.8595693761517935
2.410099999999993,0.48417950859215353,0.0,-1.6913788587971381,0.0,0.8702696523936593
2.4200999999999926,0.4840483025448292,0.0,-1.6924208786500983,0.0,0.8810435867659776
2.4300999999999924,0.4839165624562584,0.0,-1.6934677594976502,0.0,0.8918908424541487
2.440099999999992,0.483784288453741,0.0,-1.6945195056542666,0.0,0.9028110666104305
2.450099999999992,0.48365148066507224,0.0,-1.695576121392655,0.0,0.9138038902234249
2.4600999999999917,0.4835181392185425,0.0,-1.6966376109427208,0.0,0.9248689279916875
2.4700999999999915,0.4833842642429366,0.0,-1.6977039784905195,0.0,0.9360057782016281
2.4800999999999913,0.48324985586753394,0.0,-1.6987752281771993,0.0,0.9472140226098696
2.490099999999991,0.48311491422210745,0.0,-1.6998513640979351,0.0,0.9584932263302363
2.500099999999991,0.4829794394369237,0.0,-1.7009323903008509,0.0,0.9698429377255404
2.5100999999999907,0.4828434316427422,0.0,-1.702018310785933,0.0,0.9812626883043417
2.5200999999999905,0.48270689097081526,0.0,-1.7031091295039338,0.0,0.9927519926228504
2.5300999999999902,0.48256981755288747,0.0,-1.704204850355265,0.0,1.0043103481921491
2.54009999999999,0.4824322115211952,0.0,-1.7053054771888803,0.0,1.0159372353909069
2.55009999999999,0.4822940730084664,0.0,-1.70641101380115,0.0,1.027632117383761
2.5600999999999896,0.4821554021479199,0.0,-1.7075214639347231,0.0,1.0393944400455426
2.5700999999999894,0.4820161990732655,0.0,-1.7086368312773816,0.0,1.0512236318915194
2.580099999999989,0.4818764639187029,0.0,-1.7097571194608823,0.0,1.0631191040138337
2.590099999999989,0.48173619681892205,0.0,-1.7108823320597912,0.0,1.075080250024311
2.6000999999999888,0.4815953979091021,0.0,-1.712012472590306,0.0,1.087106446003814
2.6100999999999885,0.4814540673249113,0.0,-1.713147544509069,0.0,1.0991970504583155
2.6200999999999883,0.48131220520250656,0.0,-1.7142875512119689,0.0,1.1113514042818695
2.630099999999988,0.481169811678533,0.0,-1.7154324960329348,0.0,1.1235688307266494
2.640099999999988,0.4810268868901235,0.0,-1.7165823822427182,0.0,1.1358486353802288
2.6500999999999877,0.4808834309748985,0.0,-1.7177372130476642,0.0,1.1481901061502768
2.6600999999999875,0.48073944407096525,0.0,-1.7188969915884749,0.0,1.1605925132568364
2.6700999999999873,0.48059492631691764,0.0,-1.7200617209389604,0.0,1.1730551092323576
2.680099999999987,0.4804498778518357,0.0,-1.7212314041047807,0.0,1.185577128929651
2.690099999999987,0.48030429881528514,0.0,-1.7224060440221778,0.0,1.198157789537928
2.7000999999999866,0.4801581893473171,0.0,-1.7235856435566959,0.0,1.2107962906070904
