theta,rho,detJ
-0.33069396353576774,-0.9920818906073032,5.831003494282598
-0.33069396353576774,-0.33069396353576774,5.83100349356021
-0.33069396353576774,0.33069396353576774,5.8310034933519175
-0.33069396353576774,0.9920818906073032,5.83100349462198
-0.33069396353576774,1.6534698176788378,5.831003493039376
-0.33069396353576774,2.3148577447503733,5.831003494138787
-0.33069396353576774,2.976245671821909,5.831003494168504
-0.33069396353576774,3.6376335988934443,5.831003494724249
-0.33069396353576774,4.29902152596498,5.8310034948703064
-0.33069396353576774,4.960409453036515,5.831003494650977
-0.33069396353576774,5.621797380108051,5.83100349439638
-0.33069396353576774,6.283185307179586,5.831003494609105
0.33069396353576774,-6.283185307179586,5.831003494609105
0.33069396353576774,-5.621797380108051,5.83100349439638
0.33069396353576774,-4.960409453036515,5.831003494650977
0.33069396353576774,-4.29902152596498,5.8310034948703064
0.33069396353576774,-3.6376335988934447,5.83100349482754
0.33069396353576774,-2.9762456718219092,5.831003494003028
0.33069396353576774,-2.314857744750374,5.831003494872062
0.33069396353576774,-1.6534698176788387,5.831003493560402
0.33069396353576774,-0.9920818906073032,5.83100349462198
0.33069396353576774,-0.33069396353576774,5.8310034933519175
0.33069396353576774,0.33069396353576774,5.83100349356021
0.33069396353576774,0.9920818906073032,5.831003494282598
0.33069396353576774,1.6534698176788378,5.831003493500786
0.33069396353576774,2.3148577447503733,5.831003495018785
0.33069396353576774,2.976245671821909,5.831003493944819
0.33069396353576774,3.6376335988934443,5.831003495250509
0.33069396353576774,4.29902152596498,5.8310034946754605
0.33069396353576774,4.960409453036515,5.831003494692646
0.33069396353576774,5.621797380108051,5.831003494057653
0.33069396353576774,6.283185307179586,5.831003494595629
0.9920818906073032,-6.283185307179586,-2.9681500279467543
0.9920818906073032,-5.621797380108051,-2.9681500278322113
0.9920818906073032,-4.960409453036515,-2.9681500283649553
0.9920818906073032,-4.29902152596498,-2.9681500280140773
0.9920818906073032,-3.6376335988934447,-2.9681500284779876
0.9920818906073032,-2.9762456718219092,-2.9681500284279054
0.9920818906073032,-2.314857744750374,-2.9681500284965163
0.9920818906073032,-1.6534698176788387,-2.968150027109502
0.9920818906073032,-0.9920818906073032,-2.9681500275269643
0.9920818906073032,-0.33069396353576774,-2.968150027804773
0.9920818906073032,0.33069396353576774,-2.968150027522179
0.9920818906073032,0.9920818906073032,-2.9681500281525723
0.9920818906073032,1.6534698176788378,-2.9681500272691417
0.9920818906073032,2.3148577447503733,-2.968150027978293
0.9920818906073032,2.976245671821909,-2.96815002797463
0.9920818906073032,3.6376335988934443,-2.9681500274279
0.9920818906073032,4.29902152596498,-2.9681500281408018
0.9920818906073032,4.960409453036515,-2.9681500281564768
0.9920818906073032,5.621797380108051,-2.9681500276715127
0.9920818906073032,6.283185307179586,-2.9681500279008017
1.6534698176788378,-6.283185307179586,-7.288279005533325
1.6534698176788378,-5.621797380108051,-7.288279004107212
1.6534698176788378,-4.960409453036515,-7.288279005480684
1.6534698176788378,-4.29902152596498,-7.288279005434996
1.6534698176788378,-3.6376335988934447,-7.288279005674913
1.6534698176788378,-2.9762456718219092,-7.288279005195089
