theta,phi,detJ
-0.33069396353576774,-0.9920818906073032,5.831003493644966
-0.33069396353576774,-0.33069396353576774,5.83100349332647
-0.33069396353576774,0.33069396353576774,5.831003493582533
-0.33069396353576774,0.9920818906073032,5.831003494099637
-0.33069396353576774,1.6534698176788378,5.831003493159776
-0.33069396353576774,2.3148577447503733,5.8310034944385665
-0.33069396353576774,2.976245671821909,5.831003494938596
-0.33069396353576774,3.6376335988934443,5.831003494988356
-0.33069396353576774,4.29902152596498,5.831003494818646
-0.33069396353576774,4.960409453036515,5.831003494449048
-0.33069396353576774,5.621797380108051,5.831003494366799
-0.33069396353576774,6.283185307179586,5.831003494609102
0.33069396353576774,-6.283185307179586,5.831003494609102
0.33069396353576774,-5.621797380108051,5.831003494366799
0.33069396353576774,-4.960409453036515,5.831003494449048
0.33069396353576774,-4.29902152596498,5.831003494818646
0.33069396353576774,-3.6376335988934447,5.831003494757203
0.33069396353576774,-2.9762456718219092,5.8310034948605285
0.33069396353576774,-2.314857744750374,5.831003494876897
0.33069396353576774,-1.6534698176788387,5.831003493709427
0.33069396353576774,-0.9920818906073032,5.831003494099637
0.33069396353576774,-0.33069396353576774,5.831003493582533
0.33069396353576774,0.33069396353576774,5.83100349332647
0.33069396353576774,0.9920818906073032,5.831003493644966
0.33069396353576774,1.6534698176788378,5.831003493402522
0.33069396353576774,2.3148577447503733,5.8310034952605365
0.33069396353576774,2.976245671821909,5.831003494952002
0.33069396353576774,3.6376335988934443,5.831003494994604
0.33069396353576774,4.29902152596498,5.831003494836117
0.33069396353576774,4.960409453036515,5.8310034945118785
0.33069396353576774,5.621797380108051,5.831003494227816
0.33069396353576774,6.283185307179586,5.831003494615723
0.9920818906073032,-6.283185307179586,-2.9681500279467534
0.9920818906073032,-5.621797380108051,-2.968150028234285
0.9920818906073032,-4.960409453036515,-2.968150028395878
0.9920818906073032,-4.29902152596498,-2.9681500281207005
0.9920818906073032,-3.6376335988934447,-2.968150027978627
0.9920818906073032,-2.9762456718219092,-2.968150028519434
0.9920818906073032,-2.314857744750374,-2.9681500284166744
0.9920818906073032,-1.6534698176788387,-2.9681500272933197
0.9920818906073032,-0.9920818906073032,-2.9681500278793407
0.9920818906073032,-0.33069396353576774,-2.9681500275013746
0.9920818906073032,0.33069396353576774,-2.968150027507743
0.9920818906073032,0.9920818906073032,-2.968150028302158
0.9920818906073032,1.6534698176788378,-2.9681500273671166
0.9920818906073032,2.3148577447503733,-2.9681500279067885
0.9920818906073032,2.976245671821909,-2.968150028080479
0.9920818906073032,3.6376335988934443,-2.96815002811555
0.9920818906073032,4.29902152596498,-2.9681500280662236
0.9920818906073032,4.960409453036515,-2.9681500280073507
0.9920818906073032,5.621797380108051,-2.9681500286343
0.9920818906073032,6.283185307179586,-2.9681500279008004
1.6534698176788378,-6.283185307179586,-7.288279005533325
1.6534698176788378,-5.621797380108051,-7.288279005106473
1.6534698176788378,-4.960409453036515,-7.288279005590499
1.6534698176788378,-4.29902152596498,-7.28827900520969
1.6534698176788378,-3.6376335988934447,-7.288279005492598
1.6534698176788378,-2.9762456718219092,-7.288279005117466
1.6534698176788378,-2.314857744750374,-7.288279005170194
1.6534698176788378,-1.6534698176788387,-7.288279003276264
1.6534698176788378,-0.9920818906073032,-7.288279004439648
1.6534698176788378,-0.33069396353576774,-7.288279004073958
1.6534698176788378,0.33069396353576774,-7.28827900356546
1.6534698176788378,0.9920818906073032,-7.288279004769215
1.6534698176788378,1.6534698176788378,-7.288279003915531
1.6534698176788378,2.3148577447503733,-7.288279005148784
1.6534698176788378,2.976245671821909,-7.288279004811108
1.6534698176788378,3.6376335988934443,-7.288279005324676
1.6534698176788378,4.29902152596498,-7.288279005039141
1.6534698176788378,4.960409453036515,-7.288279005017016
1.6534698176788378,5.621797380108051,-7.288279005091749
1.6534698176788378,6.283185307179586,-7.288279005530605
2.3148577447503733,-6.283185307179586,-0.6101834163515697
2.3148577447503733,-5.621797380108051,-0.6101834162583991
2.3148577447503733,-4.960409453036515,-0.6101834164137679
