phi,rho,detJ
-0.33069396353576774,3.6376335988934443,5.83100349525051
-0.33069396353576774,4.29902152596498,5.8310034946754605
-0.33069396353576774,4.960409453036515,5.831003494692646
-0.33069396353576774,5.621797380108051,5.831003494057653
-0.33069396353576774,6.283185307179586,5.831003494595629
0.33069396353576774,-6.283185307179586,5.831003494595629
0.33069396353576774,-5.621797380108051,5.831003494057653
0.33069396353576774,-4.960409453036515,5.831003494692646
0.33069396353576774,-4.29902152596498,5.8310034946754605
0.33069396353576774,-3.6376335988934447,5.831003495011109
0.33069396353576774,-2.9762456718219092,5.83100349411355
0.33069396353576774,-2.314857744750374,5.831003494905929
0.33069396353576774,-1.6534698176788387,5.831003493301698
0.33069396353576774,-0.9920818906073032,5.831003494282598
0.33069396353576774,-0.33069396353576774,5.83100349356021
0.33069396353576774,0.33069396353576774,5.831003493351918
0.33069396353576774,0.9920818906073032,5.83100349462198
0.33069396353576774,1.6534698176788378,5.831003493039376
0.33069396353576774,2.3148577447503733,5.831003494138787
0.33069396353576774,2.976245671821909,5.831003494168506
0.33069396353576774,3.6376335988934443,5.831003494724249
0.33069396353576774,4.29902152596498,5.831003494870307
0.33069396353576774,4.960409453036515,5.831003494650977
0.33069396353576774,5.621797380108051,5.831003494396379
0.33069396353576774,6.283185307179586,5.831003494609105
0.9920818906073032,-6.283185307179586,-2.9681500279008004
0.9920818906073032,-5.621797380108051,-2.9681500276715127
0.9920818906073032,-4.960409453036515,-2.9681500281564777
0.9920818906073032,-4.29902152596498,-2.9681500281408018
0.9920818906073032,-3.6376335988934447,-2.968150027918775
0.9920818906073032,-2.9762456718219092,-2.968150027941697
0.9920818906073032,-2.314857744750374,-2.968150028065698
0.9920818906073032,-1.6534698176788387,-2.968150027478132
0.9920818906073032,-0.9920818906073032,-2.9681500281525723
0.9920818906073032,-0.33069396353576774,-2.968150027522179
0.9920818906073032,0.33069396353576774,-2.968150027804773
0.9920818906073032,0.9920818906073032,-2.9681500275269634
0.9920818906073032,1.6534698176788378,-2.96815002732266
0.9920818906073032,2.3148577447503733,-2.968150028261878
0.9920818906073032,2.976245671821909,-2.9681500280787905
0.9920818906073032,3.6376335988934443,-2.968150027827653
0.9920818906073032,4.29902152596498,-2.9681500280140765
0.9920818906073032,4.960409453036515,-2.9681500283649553
0.9920818906073032,5.621797380108051,-2.9681500278322104
0.9920818906073032,6.283185307179586,-2.9681500279467534
1.6534698176788378,-6.283185307179586,-7.288279005530605
1.6534698176788378,-5.621797380108051,-7.288279005024101
1.6534698176788378,-4.960409453036515,-7.288279005080798
1.6534698176788378,-4.29902152596498,-7.288279005404026
1.6534698176788378,-3.6376335988934447,-7.2882790054385636
1.6534698176788378,-2.9762456718219092,-7.288279004879307
1.6534698176788378,-2.314857744750374,-7.288279005991246
1.6534698176788378,-1.6534698176788387,-7.28827900350315
1.6534698176788378,-0.9920818906073032,-7.288279004620987
1.6534698176788378,-0.33069396353576774,-7.288279003593258
1.6534698176788378,0.33069396353576774,-7.288279004175181
1.6534698176788378,0.9920818906073032,-7.28827900423043
1.6534698176788378,1.6534698176788378,-7.288279003536494
1.6534698176788378,2.3148577447503733,-7.288279005251102
1.6534698176788378,2.976245671821909,-7.288279004926899
1.6534698176788378,3.6376335988934443,-7.288279005492235
1.6534698176788378,4.29902152596498,-7.2882790054349975
1.6534698176788378,4.960409453036515,-7.288279005480683
1.6534698176788378,5.621797380108051,-7.28827900410721
1.6534698176788378,6.283185307179586,-7.288279005533325
2.3148577447503733,-6.283185307179586,-0.610183416442542
2.3148577447503733,-5.621797380108051,-0.6101834165149423
2.3148577447503733,-4.960409453036515,-0.6101834166265294
2.3148577447503733,-4.29902152596498,-0.6101834164097818
2.3148577447503733,-3.6376335988934447,-0.6101834163661519
2.3148577447503733,-2.9762456718219092,-0.6101834164455442
2.3148577447503733,-2.314857744750374,-0.6101834165223169
2.3148577447503733,-1.6534698176788387,-0.6101834163982185
2.3148577447503733,-0.9920818906073032,-0.6101834169030433
2.3148577447503733,-0.33069396353576774,-0.6101834165100175
2.3148577447503733,0.33069396353576774,-0.6101834163828335
2.3148577447503733,0.9920818906073032,-0.6101834166200968
2.3148577447503733,1.6534698176788378,-0.6101834164321646
2.3148577447503733,2.3148577447503733,-0.6101834173161897
2.3148577447503733,2.976245671821909,-0.6101834165845568
2.3148577447503733,3.6376335988934443,-0.6101834171322
2.3148577447503733,4.29902152596498,-0.610183416776674
2.3148577447503733,4.960409453036515,-0.6101834166486761
