theta,phi,detJ
-0.9920818906073032,-1.6534698176788387,-7.288279004293464
-0.9920818906073032,-0.9920818906073032,-2.9681500281525723
-0.9920818906073032,-0.33069396353576774,5.831003494282597
-0.9920818906073032,0.33069396353576774,5.831003494621977
-0.9920818906073032,0.9920818906073032,-2.9681500275269634
-0.9920818906073032,1.6534698176788378,-7.28827900423043
-0.9920818906073032,2.3148577447503733,-0.6101834166200965
-0.9920818906073032,2.976245671821909,6.988696659625775
-0.9920818906073032,3.6376335988934443,4.0414306241623255
-0.9920818906073032,4.29902152596498,-5.004471527923215
-0.9920818906073032,4.960409453036515,-6.498480887537811
-0.9920818906073032,5.621797380108051,1.8139060359690402
-0.9920818906073032,6.283185307179586,7.389056100022917
-0.33069396353576774,-6.283185307179586,7.38905609989127
-0.33069396353576774,-5.621797380108051,1.8139060358414067
-0.33069396353576774,-4.960409453036515,-6.498480886304456
-0.33069396353576774,-4.29902152596498,-5.004471528021398
-0.33069396353576774,-3.6376335988934447,4.041430624159744
-0.33069396353576774,-2.9762456718219092,6.988696658564364
-0.33069396353576774,-2.314857744750374,-0.6101834164695272
-0.33069396353576774,-1.6534698176788387,-7.288279004138367
-0.33069396353576774,-0.9920818906073032,-2.9681500275221793
-0.33069396353576774,-0.33069396353576774,5.8310034935602095
-0.33069396353576774,0.33069396353576774,5.831003493351918
-0.33069396353576774,0.9920818906073032,-2.9681500278047737
-0.33069396353576774,1.6534698176788378,-7.288279004175181
-0.33069396353576774,2.3148577447503733,-0.6101834163828335
-0.33069396353576774,2.976245671821909,6.988696658588614
-0.33069396353576774,3.6376335988934443,4.041430624264457
-0.33069396353576774,4.29902152596498,-5.00447152800972
-0.33069396353576774,4.960409453036515,-6.498480885980355
-0.33069396353576774,5.621797380108051,1.813906035777596
-0.33069396353576774,6.283185307179586,7.389056099878105
0.33069396353576774,-6.283185307179586,7.389056099878105
0.33069396353576774,-5.621797380108051,1.813906035777596
0.33069396353576774,-4.960409453036515,-6.498480885980355
0.33069396353576774,-4.29902152596498,-5.00447152800972
0.33069396353576774,-3.6376335988934447,4.041430623958553
0.33069396353576774,-2.9762456718219092,6.98869665849626
0.33069396353576774,-2.314857744750374,-0.610183416390249
0.33069396353576774,-1.6534698176788387,-7.28827900398423
0.33069396353576774,-0.9920818906073032,-2.9681500278047737
0.33069396353576774,-0.33069396353576774,5.831003493351918
0.33069396353576774,0.33069396353576774,5.8310034935602095
0.33069396353576774,0.9920818906073032,-2.9681500275221793
0.33069396353576774,1.6534698176788378,-7.288279003593258
0.33069396353576774,2.3148577447503733,-0.6101834165100177
0.33069396353576774,2.976245671821909,6.988696658547086
0.33069396353576774,3.6376335988934443,4.041430623957518
0.33069396353576774,4.29902152596498,-5.004471528021398
0.33069396353576774,4.960409453036515,-6.498480886304456
0.33069396353576774,5.621797380108051,1.8139060358414067
0.33069396353576774,6.283185307179586,7.38905609989127
0.9920818906073032,-6.283185307179586,7.389056100022917
0.9920818906073032,-5.621797380108051,1.8139060359690402
0.9920818906073032,-4.960409453036515,-6.498480887537811
0.9920818906073032,-4.29902152596498,-5.004471527923215
0.9920818906073032,-3.6376335988934447,4.041430624302703
0.9920818906073032,-2.9762456718219092,6.988696659710137
0.9920818906073032,-2.314857744750374,-0.6101834167254634
0.9920818906073032,-1.6534698176788387,-7.288279004484294
0.9920818906073032,-0.9920818906073032,-2.9681500275269634
0.9920818906073032,-0.33069396353576774,5.831003494621977
0.9920818906073032,0.33069396353576774,5.831003494282597
0.9920818906073032,0.9920818906073032,-2.9681500281525723
0.9920818906073032,1.6534698176788378,-7.2882790046209855
0.9920818906073032,2.3148577447503733,-0.6101834169030435
0.9920818906073032,2.976245671821909,6.988696659734945
0.9920818906073032,3.6376335988934443,4.041430624475625
0.9920818906073032,4.29902152596498,-5.004471528384365
0.9920818906073032,4.960409453036515,-6.498480886582689
0.9920818906073032,5.621797380108051,1.8139060362590331
0.9920818906073032,6.283185307179586,7.3890561000878625
1.6534698176788378,-6.283185307179586,7.389056099823746
1.6534698176788378,-5.621797380108051,1.8139060356875174
1.6534698176788378,-4.960409453036515,-6.498480885692109
1.6534698176788378,-4.29902152596498,-5.004471527897429
1.6534698176788378,-3.6376335988934447,4.04143062433822
1.6534698176788378,-2.9762456718219092,6.988696658475432
1.6534698176788378,-2.314857744750374,-0.6101834164140062
1.6534698176788378,-1.6534698176788387,-7.288279003456374
1.6534698176788378,-0.9920818906073032,-2.968150027322661
1.6534698176788378,-0.33069396353576774,5.8310034930393755
1.6534698176788378,0.33069396353576774,5.831003493500786
1.6534698176788378,0.9920818906073032,-2.968150027269143
1.6534698176788378,1.6534698176788378,-7.288279003910809
1.6534698176788378,2.3148577447503733,-0.6101834162655195
1.6534698176788378,2.976245671821909,6.988696658668343
1.6534698176788378,3.6376335988934443,4.041430624059914
1.6534698176788378,4.29902152596498,-5.004471528194467
1.6534698176788378,4.960409453036515,-6.498480885770925
1.6534698176788378,5.621797380108051,1.813906036097708
1.6534698176788378,6.283185307179586,7.3890560998312695
2.3148577447503733,-6.283185307179586,7.389056100404642
2.3148577447503733,-5.621797380108051,1.8139060360147157
2.3148577447503733,-4.960409453036515,-6.49848088708089
2.3148577447503733,-4.29902152596498,-5.004471529209018
2.3148577447503733,-3.6376335988934447,4.04143062547337
2.3148577447503733,-2.9762456718219092,6.988696660527571
2.3148577447503733,-2.314857744750374,-0.6101834167592748
2.3148577447503733,-1.6534698176788387,-7.28827900551186
2.3148577447503733,-0.9920818906073032,-2.9681500282618773
2.3148577447503733,-0.33069396353576774,5.831003494138787
2.3148577447503733,0.33069396353576774,5.831003495018785
2.3148577447503733,0.9920818906073032,-2.968150027978293
2.3148577447503733,1.6534698176788378,-7.288279004917804
2.3148577447503733,2.3148577447503733,-0.610183416309058
2.3148577447503733,2.976245671821909,6.988696659822516
2.3148577447503733,3.6376335988934443,4.041430624961185
2.3148577447503733,4.29902152596498,-5.004471528645723
2.3148577447503733,4.960409453036515,-6.498480887641587
2.3148577447503733,5.621797380108051,1.8139060369246127
2.3148577447503733,6.283185307179586,7.389056100464245
2.976245671821909,-6.283185307179586,7.38905610112294
2.976245671821909,-5.621797380108051,1.8139060366083064
2.976245671821909,-4.960409453036515,-6.498480887077827
2.976245671821909,-4.29902152596498,-5.0044715290950705
2.976245671821909,-3.6376335988934447,4.041430624997202
2.976245671821909,-2.9762456718219092,6.988696660608546
2.976245671821909,-2.314857744750374,-0.6101834164336233
2.976245671821909,-1.6534698176788387,-7.288279005102648
2.976245671821909,-0.9920818906073032,-2.9681500280787914
2.976245671821909,-0.33069396353576774,5.831003494168506
2.976245671821909,0.33069396353576774,5.83100349394482
2.976245671821909,0.9920818906073032,-2.9681500279746293
2.976245671821909,1.6534698176788378,-7.2882790049216135
2.976245671821909,2.3148577447503733,-0.610183416373534
2.976245671821909,2.976245671821909,6.988696660475487
2.976245671821909,3.6376335988934443,4.041430624942375
2.976245671821909,4.29902152596498,-5.004471529113662
2.976245671821909,4.960409453036515,-6.498480887274343
2.976245671821909,5.621797380108051,1.813906036599163
2.976245671821909,6.283185307179586,7.389056101098126
3.6376335988934443,-6.283185307179586,7.3890561011742815
3.6376335988934443,-5.621797380108051,1.8139060368209452
3.6376335988934443,-4.960409453036515,-6.498480887594545
3.6376335988934443,-4.29902152596498,-5.004471529536252
3.6376335988934443,-3.6376335988934447,4.041430625090508
3.6376335988934443,-2.9762456718219092,6.988696661195304
3.6376335988934443,-2.314857744750374,-0.6101834167685289
3.6376335988934443,-1.6534698176788387,-7.288279005454816
3.6376335988934443,-0.9920818906073032,-2.968150027827654
3.6376335988934443,-0.33069396353576774,5.83100349472425
3.6376335988934443,0.33069396353576774,5.831003495250509
3.6376335988934443,0.9920818906073032,-2.9681500274279
3.6376335988934443,1.6534698176788378,-7.288279005396345
3.6376335988934443,2.3148577447503733,-0.6101834167530212
3.6376335988934443,2.976245671821909,6.988696661108429
3.6376335988934443,3.6376335988934443,4.04143062510646
3.6376335988934443,4.29902152596498,-5.004471529068931
3.6376335988934443,4.960409453036515,-6.4984808877494205
3.6376335988934443,5.621797380108051,1.813906036746828
3.6376335988934443,6.283185307179586,7.38905610117012
4.29902152596498,-6.283185307179586,7.389056101067584
4.29902152596498,-5.621797380108051,1.8139060365941735
4.29902152596498,-4.960409453036515,-6.49848088700011
4.29902152596498,-4.29902152596498,-5.00447152944541
4.29902152596498,-3.6376335988934447,4.041430625304882
4.29902152596498,-2.9762456718219092,6.988696661048812
4.29902152596498,-2.314857744750374,-0.6101834166768367
4.29902152596498,-1.6534698176788387,-7.288279005358164
4.29902152596498,-0.9920818906073032,-2.9681500280140765
4.29902152596498,-0.33069396353576774,5.8310034948703064
4.29902152596498,0.33069396353576774,5.8310034946754605
4.29902152596498,0.9920818906073032,-2.9681500281408018
4.29902152596498,1.6534698176788378,-7.2882790054040285
4.29902152596498,2.3148577447503733,-0.6101834164097821
4.29902152596498,2.976245671821909,6.988696660202961
4.29902152596498,3.6376335988934443,4.041430625262706
4.29902152596498,4.29902152596498,-5.004471529208843
4.29902152596498,4.960409453036515,-6.498480887360869
4.29902152596498,5.621797380108051,1.8139060361008963
4.29902152596498,6.283185307179586,7.389056101099534
4.960409453036515,-6.283185307179586,7.389056101093585
4.960409453036515,-5.621797380108051,1.813906036479807
4.960409453036515,-4.960409453036515,-6.498480887393858
4.960409453036515,-4.29902152596498,-5.004471528863662
4.960409453036515,-3.6376335988934447,4.041430624901557
4.960409453036515,-2.9762456718219092,6.9886966605645595
4.960409453036515,-2.314857744750374,-0.610183416548886
4.960409453036515,-1.6534698176788387,-7.2882790052783415
4.960409453036515,-0.9920818906073032,-2.9681500283649545
4.960409453036515,-0.33069396353576774,5.831003494650977
4.960409453036515,0.33069396353576774,5.831003494692644
4.960409453036515,0.9920818906073032,-2.9681500281564768
4.960409453036515,1.6534698176788378,-7.288279005080796
4.960409453036515,2.3148577447503733,-0.6101834166265281
4.960409453036515,2.976245671821909,6.988696660415073
4.960409453036515,3.6376335988934443,4.041430625036088
4.960409453036515,4.29902152596498,-5.004471529062973
4.960409453036515,4.960409453036515,-6.498480887370013
4.960409453036515,5.621797380108051,1.8139060363433128
4.960409453036515,6.283185307179586,7.389056100947897
5.621797380108051,-6.283185307179586,7.38905610110213
5.621797380108051,-5.621797380108051,1.8139060362112924
5.621797380108051,-4.960409453036515,-6.498480886439512
5.621797380108051,-4.29902152596498,-5.004471528327666
5.621797380108051,-3.6376335988934447,4.041430625064983
5.621797380108051,-2.9762456718219092,6.988696660698328
5.621797380108051,-2.314857744750374,-0.6101834171237297
5.621797380108051,-1.6534698176788387,-7.2882790047322175
