step,time,total_energy,peak_qnorm,centroid_x,centroid_y,centroid_z,compact_radius_half,compact_radius_90,chirality_integral,weight_integral,seed
10.0,0.3,0.0011766205305291115,0.03294473504517728,3.165827905143363e-16,1.2861175864644913e-16,1.2366515254466262e-16,2.9618406439239773,3.8890872965260117,0.23338395043131166,0.23338395043131166,scalar
11.0,0.32999999999999996,0.0011766855841757542,0.03293850491771868,0.0,1.0884631741119947e-16,1.2616277699934485e-16,2.9618406439239773,3.8890872965260113,0.23333895914758038,0.23333895914758038,scalar
12.0,0.36,0.0011767497468497456,0.03293168342339214,0.0,1.385609166500891e-16,1.2742655727642125e-16,2.9618406439239773,3.8890872965260117,0.2332897185790308,0.2332897185790308,scalar
13.0,0.39,0.0011768116725550278,0.03292427111307356,3.1678328813499856e-16,1.3859268855906187e-16,1.200311677699018e-16,2.9618406439239773,3.8890872965260117,0.23323623769356683,0.23323623769356683,scalar
14.0,0.42,0.0011768701094727143,0.03291626858699369,3.168616921125949e-16,1.4852891817777888e-16,1.287250624207417e-16,2.9618406439239773,3.8890872965260117,0.23317852592464686,0.23317852592464686,scalar
15.0,0.44999999999999996,0.0011769239300413608,0.03290767649461975,3.169458737498806e-16,1.584729368749403e-16,1.1514049319819882e-16,2.9618406439239773,3.8890872965260117,0.23311659310987332,0.23311659310987332,scalar
16.0,0.48,0.00117697215635445,0.032898495534527006,3.1703582837484416e-16,1.1888843564056657e-16,1.3127264768645891e-16,2.9618406439239773,3.8890872965260117,0.23305044943200107,0.23305044943200107,scalar
17.0,0.51,0.0011770139801716099,0.032888726454262114,1.585657757634857e-16,1.0901397083739642e-16,1.275958976846799e-16,2.9618406439239773,3.8890872965260117,0.23298010536337438,0.23298010536337438,scalar
18.0,0.54,0.001177048777037212,0.03287837005020214,1.586165195117016e-16,1.2887592210325755e-16,1.02852899370869e-16,2.9618406439239773,3.8890872965260117,0.2329055716146686,0.2329055716146686,scalar
0.0,0.0,0.00117621231912792,0.03297442541400256,1.5814592106262642e-16,1.3837768092979812e-16,1.4331974096300518e-16,2.9618406439239773,3.8890872965260117,-0.2335986340727223,0.2335986340727223,rich
1.0,0.03,0.001176217307230328,0.03297412833502696,1.5814737692237447e-16,1.2849474374942926e-16,1.3220132289604741e-16,2.9618406439239773,3.8890872965260117,-0.23359648363017205,0.23359648363017205,rich
2.0,0.06,0.0011762321520692853,0.03297323711234574,0.0,1.0872932427529408e-16,1.3961833685350262e-16,2.9618406439239773,3.8890872965260113,-0.2335900326895299,0.2335900326895299,rich
3.0,0.09,0.0011762564971937676,0.032971751799401434,0.0,1.3838914523894468e-16,1.4703846681637873e-16,2.9618406439239773,3.8890872965260117,-0.23357928250470297,0.23357928250470297,rich
4.0,0.12,0.0011762897580432715,0.03296967249953588,1.5816921242228279e-16,1.3839806086949745e-16,1.3963375784154653e-16,2.9618406439239773,3.8890872965260117,-0.23356423528095935,0.23356423528095935,rich
5.0,0.15,0.0011763311389673136,0.03296699936598032,3.1636462255597095e-16,1.285231279133632e-16,1.2605152929964467e-16,2.9618406439239773,3.8890872965260117,-0.23354489415368324,0.23354489415368324,rich
6.0,0.18,0.0011763796562699394,0.0329637326018373,1.5819831840885554e-16,1.4831092350830206e-16,1.2853613370719512e-16,2.9618406439239773,3.8890872965260117,-0.2335212631585984,0.2335212631585984,rich
7.0,0.21,0.0011764341665088808,0.032959872460054114,0.0,1.4832865524464246e-16,1.334957897201782e-16,2.9618406439239773,3.8890872965260117,-0.23349334719413845,0.23349334719413845,rich
8.0,0.24,0.0011764933991073596,0.03295541924338664,0.0,1.3845916966331933e-16,1.3969541224959898e-16,2.9618406439239773,3.8890872965260117,-0.23346115197681516,0.23346115197681516,rich
9.0,0.27,0.0011765559921991383,0.032950373304353194,1.5826377276317762e-16,1.3848080116778042e-16,1.285893153700818e-16,2.9618406439239773,3.8890872965260117,-0.23342468399058253,0.23342468399058253,rich
10.0,0.3,0.0011766205305291115,0.03294473504517728,3.165827905143363e-16,1.2861175864644913e-16,1.2366515254466262e-16,2.9618406439239773,3.8890872965260117,-0.23338395043131166,0.23338395043131166,rich
11.0,0.32999999999999996,0.0011766855841757542,0.03293850491771868,0.0,1.0884631741119947e-16,1.2616277699934485e-16,2.9618406439239773,3.8890872965260113,-0.23333895914758038,0.23333895914758038,rich
