theta,phi,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,anisotropy_ratio
0.0,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
0.7853981633974483,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
1.5707963267948966,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
2.356194490192344,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
3.141592653589793,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
3.9269908169872423,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
4.71238898038469,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
5.497787143782137,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
6.283185307179586,-3.9269908169872414,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,inf
-6.283185307179586,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-5.497787143782138,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-4.71238898038469,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.9269908169872414,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.141592653589793,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-2.356194490192345,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-1.5707963267948966,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-0.7853981633974483,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.0,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.7853981633974483,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
1.5707963267948966,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
2.356194490192344,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.141592653589793,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.9269908169872423,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
4.71238898038469,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
5.497787143782137,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
