phi,omega,effective_w_stiffness,effective_phi_stiffness,effective_pair_symmetric_stiffness,effective_pair_antisymmetric_stiffness,theta_rho_mixing
0.7853981633974483,0.5,2.718281828459045,2.718281828459045,5.43656365691809,0.0,2.718281828459045
0.9817477042468106,0.5,2.718281828459045,2.718281828459045,5.229646773369713,0.2069168835483771,2.511364944910668
1.178097245096172,0.5,2.718281828459045,2.718281828459045,4.640397342538606,0.7961663143794848,1.9221155140795603
1.3744467859455343,0.5,2.718281828459045,2.718281828459045,3.758523248709406,1.6780404082086842,1.040241420250361
1.5707963267948966,0.5,2.718281828459045,2.718281828459045,2.7182818284590455,2.7182818284590446,3.328935140402784e-16
1.767145867644258,0.5,2.718281828459045,2.718281828459045,1.6780404082086893,3.7585232487094005,-1.0402414202503558
1.9634954084936211,0.5,2.718281828459045,2.718281828459045,0.7961663143794855,4.640397342538605,-1.9221155140795596
2.1598449493429825,0.5,2.718281828459045,2.718281828459045,0.2069168835483774,5.229646773369713,-2.511364944910668
2.356194490192344,0.5,2.718281828459045,2.718281828459045,0.0,5.43656365691809,-2.718281828459045
2.552544031041707,0.5,2.718281828459045,2.718281828459045,0.2069168835483771,5.229646773369713,-2.511364944910668
2.7488935718910685,0.5,2.718281828459045,2.718281828459045,0.7961663143794845,4.640397342538606,-1.9221155140795605
2.9452431127404317,0.5,2.718281828459045,2.718281828459045,1.6780404082086884,3.758523248709402,-1.0402414202503567
3.141592653589793,0.5,2.718281828459045,2.718281828459045,2.7182818284590446,2.7182818284590455,-6.657870280805568e-16
3.3379421944391545,0.5,2.718281828459045,2.718281828459045,3.7585232487094005,1.6780404082086895,1.0402414202503556
3.5342917352885177,0.5,2.718281828459045,2.718281828459045,4.640397342538605,0.7961663143794857,1.9221155140795594
3.730641276137879,0.5,2.718281828459045,2.718281828459045,5.229646773369713,0.2069168835483774,2.511364944910668
3.9269908169872423,0.5,2.718281828459045,2.718281828459045,5.43656365691809,0.0,2.718281828459045
4.123340357836604,0.5,2.718281828459045,2.718281828459045,5.229646773369714,0.20691688354837678,2.5113649449106683
4.319689898685965,0.5,2.718281828459045,2.718281828459045,4.640397342538606,0.7961663143794845,1.9221155140795605
4.516039439535328,0.5,2.718281828459045,2.718281828459045,3.7585232487094022,1.6780404082086877,1.0402414202503572
4.71238898038469,0.5,2.718281828459045,2.718281828459045,2.7182818284590464,2.718281828459044,9.986805421208352e-16
4.908738521234051,0.5,2.718281828459045,2.718281828459045,1.67804040820869,3.7585232487094005,-1.0402414202503552
5.105088062083414,0.5,2.718281828459045,2.718281828459045,0.7961663143794857,4.640397342538605,-1.9221155140795594
5.301437602932776,0.5,2.718281828459045,2.718281828459045,0.20691688354837767,5.229646773369713,-2.5113649449106674
5.497787143782137,0.5,2.718281828459045,2.718281828459045,0.0,5.43656365691809,-2.718281828459045
5.6941366846315,0.5,2.718281828459045,2.718281828459045,0.20691688354837678,5.229646773369714,-2.5113649449106683
5.890486225480862,0.5,2.718281828459045,2.718281828459045,0.7961663143794843,4.640397342538606,-1.922115514079561
6.086835766330225,0.5,2.718281828459045,2.718281828459045,1.6780404082086877,3.7585232487094022,-1.0402414202503574
6.283185307179586,0.5,2.718281828459045,2.718281828459045,2.7182818284590438,2.7182818284590464,-1.3315740561611136e-15
