phi,rho,l_plus,l_minus
-5.257359134578838,0.38468481472528016,5.1283086120971655,0.30825504482092464
-5.257359134578838,0.6411413578754672,5.1283086120971655,0.30825504482092464
-5.257359134578838,0.8975979010256552,5.1283086120971655,0.30825504482092464
-5.257359134578838,1.1540544441758422,5.1283086120971655,0.30825504482092464
-5.257359134578838,1.4105109873260293,5.1283086120971655,0.30825504482092464
-5.257359134578838,1.6669675304762164,5.1283086120971655,0.30825504482092464
-5.257359134578838,1.9234240736264034,5.1283086120971655,0.30825504482092464
-5.257359134578838,2.1798806167765914,5.1283086120971655,0.30825504482092464
-5.257359134578838,2.4363371599267776,5.1283086120971655,0.30825504482092464
-5.257359134578838,2.6927937030769655,5.1283086120971655,0.30825504482092464
-5.257359134578838,2.9492502462271517,5.1283086120971655,0.30825504482092464
-5.257359134578838,3.2057067893773397,5.1283086120971655,0.30825504482092464
-5.257359134578838,3.462163332527526,5.1283086120971655,0.30825504482092464
-5.257359134578838,3.718619875677714,5.1283086120971655,0.30825504482092464
-5.257359134578838,3.9750764188279,5.1283086120971655,0.30825504482092464
-5.257359134578838,4.231532961978088,5.1283086120971655,0.30825504482092464
-5.257359134578838,4.487989505128276,5.1283086120971655,0.30825504482092464
-5.257359134578838,4.744446048278462,5.1283086120971655,0.30825504482092464
-5.257359134578838,5.00090259142865,5.1283086120971655,0.30825504482092464
-5.257359134578838,5.257359134578836,5.1283086120971655,0.30825504482092464
-5.257359134578838,5.513815677729024,5.1283086120971655,0.30825504482092464
-5.257359134578838,5.77027222087921,5.1283086120971655,0.30825504482092464
-5.257359134578838,6.026728764029398,5.1283086120971655,0.30825504482092464
-5.257359134578838,6.283185307179586,5.1283086120971655,0.30825504482092464
-5.00090259142865,-6.283185307179586,4.201199437209878,1.2353642197082124
-5.00090259142865,-6.026728764029399,4.201199437209878,1.2353642197082124
-5.00090259142865,-5.770272220879212,4.201199437209878,1.2353642197082124
-5.00090259142865,-5.513815677729025,4.201199437209878,1.2353642197082124
-5.00090259142865,-5.257359134578838,4.201199437209878,1.2353642197082124
-5.00090259142865,-5.00090259142865,4.201199437209878,1.2353642197082124
-5.00090259142865,-4.744446048278463,4.201199437209878,1.2353642197082124
-5.00090259142865,-4.487989505128276,4.201199437209878,1.2353642197082124
-5.00090259142865,-4.231532961978089,4.201199437209878,1.2353642197082124
-5.00090259142865,-3.9750764188279017,4.201199437209878,1.2353642197082124
-5.00090259142865,-3.7186198756777147,4.201199437209878,1.2353642197082124
-5.00090259142865,-3.462163332527527,4.201199437209878,1.2353642197082124
-5.00090259142865,-3.20570678937734,4.201199437209878,1.2353642197082124
-5.00090259142865,-2.949250246227153,4.201199437209878,1.2353642197082124
-5.00090259142865,-2.6927937030769655,4.201199437209878,1.2353642197082124
-5.00090259142865,-2.4363371599267785,4.201199437209878,1.2353642197082124
-5.00090259142865,-2.1798806167765914,4.201199437209878,1.2353642197082124
-5.00090259142865,-1.9234240736264043,4.201199437209878,1.2353642197082124
-5.00090259142865,-1.6669675304762173,4.201199437209878,1.2353642197082124
-5.00090259142865,-1.4105109873260302,4.201199437209878,1.2353642197082124
-5.00090259142865,-1.1540544441758431,4.201199437209878,1.2353642197082124
-5.00090259142865,-0.8975979010256552,4.201199437209878,1.2353642197082124
-5.00090259142865,-0.6411413578754681,4.201199437209878,1.2353642197082124
-5.00090259142865,-0.38468481472528104,4.201199437209878,1.2353642197082124
-5.00090259142865,-0.12822827157509398,4.201199437209878,1.2353642197082124
-5.00090259142865,0.1282282715750931,4.201199437209878,1.2353642197082124
-5.00090259142865,0.38468481472528016,4.201199437209878,1.2353642197082124
-5.00090259142865,0.6411413578754672,4.201199437209878,1.2353642197082124
-5.00090259142865,0.8975979010256552,4.201199437209878,1.2353642197082124
-5.00090259142865,1.1540544441758422,4.201199437209878,1.2353642197082124
-5.00090259142865,1.4105109873260293,4.201199437209878,1.2353642197082124
-5.00090259142865,1.6669675304762164,4.201199437209878,1.2353642197082124
-5.00090259142865,1.9234240736264034,4.201199437209878,1.2353642197082124
-5.00090259142865,2.1798806167765914,4.201199437209878,1.2353642197082124
-5.00090259142865,2.4363371599267776,4.201199437209878,1.2353642197082124
-5.00090259142865,2.6927937030769655,4.201199437209878,1.2353642197082124
-5.00090259142865,2.9492502462271517,4.201199437209878,1.2353642197082124
-5.00090259142865,3.2057067893773397,4.201199437209878,1.2353642197082124
-5.00090259142865,3.462163332527526,4.201199437209878,1.2353642197082124
-5.00090259142865,3.718619875677714,4.201199437209878,1.2353642197082124
-5.00090259142865,3.9750764188279,4.201199437209878,1.2353642197082124
-5.00090259142865,4.231532961978088,4.201199437209878,1.2353642197082124
-5.00090259142865,4.487989505128276,4.201199437209878,1.2353642197082124
-5.00090259142865,4.744446048278462,4.201199437209878,1.2353642197082124
-5.00090259142865,5.00090259142865,4.201199437209878,1.2353642197082124
-5.00090259142865,5.257359134578836,4.201199437209878,1.2353642197082124
-5.00090259142865,5.513815677729024,4.201199437209878,1.2353642197082124
-5.00090259142865,5.77027222087921,4.201199437209878,1.2353642197082124
-5.00090259142865,6.026728764029398,4.201199437209878,1.2353642197082124
-5.00090259142865,6.283185307179586,4.201199437209878,1.2353642197082124
-4.744446048278463,-6.283185307179586,2.8924427431779893,2.5441209137401013
-4.744446048278463,-6.026728764029399,2.8924427431779893,2.5441209137401013
-4.744446048278463,-5.770272220879212,2.8924427431779893,2.5441209137401013
-4.744446048278463,-5.513815677729025,2.8924427431779893,2.5441209137401013
-4.744446048278463,-5.257359134578838,2.8924427431779893,2.5441209137401013
-4.744446048278463,-5.00090259142865,2.8924427431779893,2.5441209137401013
-4.744446048278463,-4.744446048278463,2.8924427431779893,2.5441209137401013
-4.744446048278463,-4.487989505128276,2.8924427431779893,2.5441209137401013
-4.744446048278463,-4.231532961978089,2.8924427431779893,2.5441209137401013
-4.744446048278463,-3.9750764188279017,2.8924427431779893,2.5441209137401013
-4.744446048278463,-3.7186198756777147,2.8924427431779893,2.5441209137401013
-4.744446048278463,-3.462163332527527,2.8924427431779893,2.5441209137401013
-4.744446048278463,-3.20570678937734,2.8924427431779893,2.5441209137401013
-4.744446048278463,-2.949250246227153,2.8924427431779893,2.5441209137401013
-4.744446048278463,-2.6927937030769655,2.8924427431779893,2.5441209137401013
-4.744446048278463,-2.4363371599267785,2.8924427431779893,2.5441209137401013
-4.744446048278463,-2.1798806167765914,2.8924427431779893,2.5441209137401013
-4.744446048278463,-1.9234240736264043,2.8924427431779893,2.5441209137401013
-4.744446048278463,-1.6669675304762173,2.8924427431779893,2.5441209137401013
-4.744446048278463,-1.4105109873260302,2.8924427431779893,2.5441209137401013
-4.744446048278463,-1.1540544441758431,2.8924427431779893,2.5441209137401013
-4.744446048278463,-0.8975979010256552,2.8924427431779893,2.5441209137401013
-4.744446048278463,-0.6411413578754681,2.8924427431779893,2.5441209137401013
-4.744446048278463,-0.38468481472528104,2.8924427431779893,2.5441209137401013
-4.744446048278463,-0.12822827157509398,2.8924427431779893,2.5441209137401013
-4.744446048278463,0.1282282715750931,2.8924427431779893,2.5441209137401013
-4.744446048278463,0.38468481472528016,2.8924427431779893,2.5441209137401013
-4.744446048278463,0.6411413578754672,2.8924427431779893,2.5441209137401013
-4.744446048278463,0.8975979010256552,2.8924427431779893,2.5441209137401013
-4.744446048278463,1.1540544441758422,2.8924427431779893,2.5441209137401013
-4.744446048278463,1.4105109873260293,2.8924427431779893,2.5441209137401013
-4.744446048278463,1.6669675304762164,2.8924427431779893,2.5441209137401013
-4.744446048278463,1.9234240736264034,2.8924427431779893,2.5441209137401013
-4.744446048278463,2.1798806167765914,2.8924427431779893,2.5441209137401013
-4.744446048278463,2.4363371599267776,2.8924427431779893,2.5441209137401013
-4.744446048278463,2.6927937030769655,2.8924427431779893,2.5441209137401013
-4.744446048278463,2.9492502462271517,2.8924427431779893,2.5441209137401013
-4.744446048278463,3.2057067893773397,2.8924427431779893,2.5441209137401013
-4.744446048278463,3.462163332527526,2.8924427431779893,2.5441209137401013
-4.744446048278463,3.718619875677714,2.8924427431779893,2.5441209137401013
-4.744446048278463,3.9750764188279,2.8924427431779893,2.5441209137401013
-4.744446048278463,4.231532961978088,2.8924427431779893,2.5441209137401013
-4.744446048278463,4.487989505128276,2.8924427431779893,2.5441209137401013
-4.744446048278463,4.744446048278462,2.8924427431779893,2.5441209137401013
-4.744446048278463,5.00090259142865,2.8924427431779893,2.5441209137401013
-4.744446048278463,5.257359134578836,2.8924427431779893,2.5441209137401013
-4.744446048278463,5.513815677729024,2.8924427431779893,2.5441209137401013
-4.744446048278463,5.77027222087921,2.8924427431779893,2.5441209137401013
-4.744446048278463,6.026728764029398,2.8924427431779893,2.5441209137401013
-4.744446048278463,6.283185307179586,2.8924427431779893,2.5441209137401013
-4.487989505128276,-6.283185307179586,1.5388635447519208,3.897700112166169
-4.487989505128276,-6.026728764029399,1.5388635447519208,3.897700112166169
-4.487989505128276,-5.770272220879212,1.5388635447519208,3.897700112166169
-4.487989505128276,-5.513815677729025,1.5388635447519208,3.897700112166169
-4.487989505128276,-5.257359134578838,1.5388635447519208,3.897700112166169
-4.487989505128276,-5.00090259142865,1.5388635447519208,3.897700112166169
-4.487989505128276,-4.744446048278463,1.5388635447519208,3.897700112166169
-4.487989505128276,-4.487989505128276,1.5388635447519208,3.897700112166169
-4.487989505128276,-4.231532961978089,1.5388635447519208,3.897700112166169
-4.487989505128276,-3.9750764188279017,1.5388635447519208,3.897700112166169
-4.487989505128276,-3.7186198756777147,1.5388635447519208,3.897700112166169
-4.487989505128276,-3.462163332527527,1.5388635447519208,3.897700112166169
-4.487989505128276,-3.20570678937734,1.5388635447519208,3.897700112166169
-4.487989505128276,-2.949250246227153,1.5388635447519208,3.897700112166169
-4.487989505128276,-2.6927937030769655,1.5388635447519208,3.897700112166169
-4.487989505128276,-2.4363371599267785,1.5388635447519208,3.897700112166169
-4.487989505128276,-2.1798806167765914,1.5388635447519208,3.897700112166169
-4.487989505128276,-1.9234240736264043,1.5388635447519208,3.897700112166169
-4.487989505128276,-1.6669675304762173,1.5388635447519208,3.897700112166169
-4.487989505128276,-1.4105109873260302,1.5388635447519208,3.897700112166169
-4.487989505128276,-1.1540544441758431,1.5388635447519208,3.897700112166169
-4.487989505128276,-0.8975979010256552,1.5388635447519208,3.897700112166169
-4.487989505128276,-0.6411413578754681,1.5388635447519208,3.897700112166169
-4.487989505128276,-0.38468481472528104,1.5388635447519208,3.897700112166169
-4.487989505128276,-0.12822827157509398,1.5388635447519208,3.897700112166169
