var1,var2,E_theta_i,E_theta_j,E_theta_k,E_phi_i,E_phi_j,E_phi_k
-6.283185307179586,-0.6981317007977319,0.1736481776669303,0.9848077530122081,4.898587196589413e-16,-0.9848077530122081,0.1736481776669303,0.0
-6.283185307179586,-0.571198664289053,0.415415013001887,0.9096319953545181,4.898587196589412e-16,-0.9096319953545181,0.415415013001887,0.0
-6.283185307179586,-0.4442656277803749,0.6305526670845223,0.7761464642917569,4.898587196589413e-16,-0.7761464642917569,0.6305526670845223,0.0
-6.283185307179586,-0.317332591271696,0.8052702575310589,0.59290792905464,4.898587196589413e-16,-0.59290792905464,0.8052702575310589,0.0
-6.283185307179586,-0.19039955476301706,0.928367933016073,0.37166245566032624,4.898587196589412e-16,-0.37166245566032624,0.928367933016073,0.0
-6.283185307179586,-0.06346651825433902,0.9919548128307955,0.1265924535737488,4.898587196589414e-16,-0.1265924535737488,0.9919548128307955,0.0
-6.283185307179586,0.06346651825433991,0.9919548128307951,-0.12659245357375057,4.898587196589413e-16,0.12659245357375057,0.9919548128307951,0.0
-6.283185307179586,0.19039955476301795,0.9283679330160726,-0.37166245566032785,4.898587196589414e-16,0.37166245566032785,0.9283679330160726,0.0
-6.283185307179586,0.3173325912716969,0.805270257531058,-0.5929079290546414,4.898587196589413e-16,0.5929079290546414,0.805270257531058,0.0
-6.283185307179586,0.4442656277803749,0.6305526670845223,-0.7761464642917569,4.898587196589413e-16,0.7761464642917569,0.6305526670845223,0.0
-6.283185307179586,0.5711986642890539,0.4154150130018855,-0.9096319953545188,4.898587196589413e-16,0.9096319953545188,0.4154150130018855,0.0
-6.283185307179586,0.6981317007977319,0.1736481776669303,-0.9848077530122081,4.898587196589413e-16,0.9848077530122081,0.1736481776669303,0.0
-6.283185307179586,0.8250647373064108,-0.07924995685678932,-0.9968547759519423,4.898587196589413e-16,0.9968547759519423,-0.07924995685678932,0.0
-6.283185307179586,0.9519977738150889,-0.32706796331742166,-0.9450008187146685,4.898587196589413e-16,0.9450008187146685,-0.32706796331742166,0.0
-6.283185307179586,1.0789308103237678,-0.5539200638661109,-0.8325698546347708,4.898587196589413e-16,0.8325698546347708,-0.5539200638661109,0.0
-6.283185307179586,1.2058638468324459,-0.7452644496757546,-0.6667690005162916,4.898587196589412e-16,0.6667690005162916,-0.7452644496757546,0.0
-6.283185307179586,1.3327968833411248,-0.8888354486549237,-0.45822652172740974,4.898587196589413e-16,0.45822652172740974,-0.8888354486549237,0.0
-6.283185307179586,1.4597299198498028,-0.9754297868854069,-0.2203105327865408,4.898587196589414e-16,0.2203105327865408,-0.9754297868854069,0.0
-6.283185307179586,1.5866629563584818,-0.9994965423831852,0.0317279334980683,4.898587196589412e-16,-0.0317279334980683,-0.9994965423831852,0.0
-6.283185307179586,1.7135959928671598,-0.9594929736144976,0.28173255684142945,4.898587196589413e-16,-0.28173255684142945,-0.9594929736144976,0.0
-6.283185307179586,1.8405290293758387,-0.8579834132349768,0.5136773915734069,4.898587196589413e-16,-0.5136773915734069,-0.8579834132349768,0.0
-6.283185307179586,1.9674620658845168,-0.7014748877063215,0.7126941713788626,4.898587196589414e-16,-0.7126941713788626,-0.7014748877063215,0.0
-6.283185307179586,2.0943951023931966,-0.499999999999998,0.8660254037844398,4.898587196589413e-16,-0.8660254037844398,-0.499999999999998,0.0
-6.283185307179586,2.2213281389018746,-0.26647381369003376,0.9638421585599424,4.898587196589413e-16,-0.9638421585599424,-0.26647381369003376,0.0
-6.283185307179586,2.3482611754105527,-0.015865963834807595,0.999874127673875,4.898587196589412e-16,-0.999874127673875,-0.015865963834807595,0.0
-6.283185307179586,2.4751942119192307,0.23575893550942661,0.9718115683235419,4.898587196589414e-16,-0.9718115683235419,0.23575893550942661,0.0
-6.283185307179586,2.6021272484279105,0.4722710747726844,0.8814533634475811,4.898587196589413e-16,-0.8814533634475811,0.4722710747726844,0.0
-6.283185307179586,2.7290602849365886,0.6785094115571328,0.7345917086575325,4.898587196589413e-16,-0.7345917086575325,0.6785094115571328,0.0
-6.283185307179586,2.8559933214452666,0.8412535328311811,0.5406408174555976,4.898587196589412e-16,-0.5406408174555976,0.8412535328311811,0.0
-6.283185307179586,2.9829263579539447,0.9500711177409451,0.3120334456984879,4.898587196589413e-16,-0.3120334456984879,0.9500711177409451,0.0
-6.283185307179586,3.1098593944626245,0.9979866764718845,0.06342391965656274,4.898587196589414e-16,-0.06342391965656274,0.9979866764718845,0.0
-6.283185307179586,3.2367924309713025,0.9819286972627066,-0.18925124436041102,4.898587196589414e-16,0.18925124436041102,0.9819286972627066,0.0
-6.283185307179586,3.3637254674799806,0.9029265382866212,-0.4297949120891715,4.898587196589413e-16,0.4297949120891715,0.9029265382866212,0.0
-6.283185307179586,3.4906585039886586,0.7660444431189787,-0.6427876096865385,4.898587196589413e-16,0.6427876096865385,0.7660444431189787,0.0
-6.283185307179586,3.6175915404973384,0.5800569095711969,-0.8145759520503366,4.898587196589413e-16,0.8145759520503366,0.5800569095711969,0.0
-6.283185307179586,3.7445245770060165,0.35688622159187133,-0.9341478602651069,4.898587196589413e-16,0.9341478602651069,0.35688622159187133,0.0
-6.283185307179586,3.8714576135146945,0.11083819990101129,-0.9938384644612541,4.898587196589413e-16,0.9938384644612541,0.11083819990101129,0.0
-6.283185307179586,3.9983906500233743,-0.14231483827328745,-0.9898214418809325,4.898587196589413e-16,0.9898214418809325,-0.14231483827328745,0.0
-6.283185307179586,4.125323686532052,-0.38634512569312984,-0.9223542941045808,4.898587196589413e-16,0.9223542941045808,-0.38634512569312984,0.0
-6.283185307179586,4.25225672304073,-0.605609687137667,-0.7957618405308319,4.898587196589413e-16,0.7957618405308319,-0.605609687137667,0.0
