angle_val,E_theta_i,E_theta_j,E_theta_k,E_phi_i,E_phi_j,E_phi_k,E_rho_k
-2.094395102393195,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.9674620658845168,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.8405290293758378,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.7135959928671598,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.5866629563584809,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.4597299198498028,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.332796883341124,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.2058638468324459,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.078930810323767,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.9519977738150889,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.82506473730641,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.6981317007977319,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.571198664289053,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.4442656277803749,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.317332591271696,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.19039955476301706,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.06346651825433902,1.0,0.0,0.0,0.0,1.0,0.0,1
0.06346651825433991,1.0,0.0,0.0,0.0,1.0,0.0,1
0.19039955476301795,1.0,0.0,0.0,0.0,1.0,0.0,1
0.3173325912716969,1.0,0.0,0.0,0.0,1.0,0.0,1
0.4442656277803749,1.0,0.0,0.0,0.0,1.0,0.0,1
0.5711986642890539,1.0,0.0,0.0,0.0,1.0,0.0,1
0.6981317007977319,1.0,0.0,0.0,0.0,1.0,0.0,1
0.8250647373064108,1.0,0.0,0.0,0.0,1.0,0.0,1
0.9519977738150889,1.0,0.0,0.0,0.0,1.0,0.0,1
1.0789308103237678,1.0,0.0,0.0,0.0,1.0,0.0,1
1.2058638468324459,1.0,0.0,0.0,0.0,1.0,0.0,1
1.3327968833411248,1.0,0.0,0.0,0.0,1.0,0.0,1
1.4597299198498028,1.0,0.0,0.0,0.0,1.0,0.0,1
1.5866629563584818,1.0,0.0,0.0,0.0,1.0,0.0,1
1.7135959928671598,1.0,0.0,0.0,0.0,1.0,0.0,1
1.8405290293758387,1.0,0.0,0.0,0.0,1.0,0.0,1
1.9674620658845168,1.0,0.0,0.0,0.0,1.0,0.0,1
2.0943951023931966,1.0,0.0,0.0,0.0,1.0,0.0,1
2.2213281389018746,1.0,0.0,0.0,0.0,1.0,0.0,1
2.3482611754105527,1.0,0.0,0.0,0.0,1.0,0.0,1
2.4751942119192307,1.0,0.0,0.0,0.0,1.0,0.0,1
2.6021272484279105,1.0,0.0,0.0,0.0,1.0,0.0,1
2.7290602849365886,1.0,0.0,0.0,0.0,1.0,0.0,1
2.8559933214452666,1.0,0.0,0.0,0.0,1.0,0.0,1
2.9829263579539447,1.0,0.0,0.0,0.0,1.0,0.0,1
3.1098593944626245,1.0,0.0,0.0,0.0,1.0,0.0,1
3.2367924309713025,1.0,0.0,0.0,0.0,1.0,0.0,1
3.3637254674799806,1.0,0.0,0.0,0.0,1.0,0.0,1
3.4906585039886586,1.0,0.0,0.0,0.0,1.0,0.0,1
3.6175915404973384,1.0,0.0,0.0,0.0,1.0,0.0,1
3.7445245770060165,1.0,0.0,0.0,0.0,1.0,0.0,1
3.8714576135146945,1.0,0.0,0.0,0.0,1.0,0.0,1
3.9983906500233743,1.0,0.0,0.0,0.0,1.0,0.0,1
4.125323686532052,1.0,0.0,0.0,0.0,1.0,0.0,1
4.25225672304073,1.0,0.0,0.0,0.0,1.0,0.0,1
4.3791897595494085,1.0,0.0,0.0,0.0,1.0,0.0,1
4.506122796058088,1.0,0.0,0.0,0.0,1.0,0.0,1
4.633055832566766,1.0,0.0,0.0,0.0,1.0,0.0,1
4.759988869075444,1.0,0.0,0.0,0.0,1.0,0.0,1
4.886921905584122,1.0,0.0,0.0,0.0,1.0,0.0,1
5.013854942092802,1.0,0.0,0.0,0.0,1.0,0.0,1
5.14078797860148,1.0,0.0,0.0,0.0,1.0,0.0,1
5.267721015110158,1.0,0.0,0.0,0.0,1.0,0.0,1
5.394654051618836,1.0,0.0,0.0,0.0,1.0,0.0,1
5.521587088127516,1.0,0.0,0.0,0.0,1.0,0.0,1
5.648520124636194,1.0,0.0,0.0,0.0,1.0,0.0,1
5.775453161144872,1.0,0.0,0.0,0.0,1.0,0.0,1
5.902386197653552,1.0,0.0,0.0,0.0,1.0,0.0,1
6.02931923416223,1.0,0.0,0.0,0.0,1.0,0.0,1
6.156252270670908,1.0,0.0,0.0,0.0,1.0,0.0,1
6.283185307179586,1.0,0.0,0.0,0.0,1.0,0.0,1
