theta,rho,detJ,rankJ
-5.890486225480862,5.497787143782138,0.0,3
-5.890486225480862,5.890486225480862,0.0,3
-5.890486225480862,6.283185307179586,0.0,3
-5.497787143782138,-6.283185307179586,0.0,3
-5.497787143782138,-5.890486225480862,0.0,3
-5.497787143782138,-5.497787143782138,0.0,3
-5.497787143782138,-5.105088062083414,0.0,3
-5.497787143782138,-4.71238898038469,0.0,3
-5.497787143782138,-4.319689898685965,0.0,3
-5.497787143782138,-3.9269908169872414,0.0,3
-5.497787143782138,-3.5342917352885173,0.0,3
-5.497787143782138,-3.141592653589793,0.0,3
-5.497787143782138,-2.748893571891069,0.0,3
-5.497787143782138,-2.356194490192345,0.0,3
-5.497787143782138,-1.9634954084936207,0.0,3
-5.497787143782138,-1.5707963267948966,0.0,3
-5.497787143782138,-1.1780972450961724,0.0,3
-5.497787143782138,-0.7853981633974483,0.0,3
-5.497787143782138,-0.39269908169872414,0.0,3
-5.497787143782138,0.0,0.0,3
-5.497787143782138,0.39269908169872414,0.0,3
-5.497787143782138,0.7853981633974483,0.0,3
-5.497787143782138,1.1780972450961724,0.0,3
-5.497787143782138,1.5707963267948966,0.0,3
-5.497787143782138,1.9634954084936207,0.0,3
-5.497787143782138,2.356194490192345,0.0,3
-5.497787143782138,2.748893571891069,0.0,3
-5.497787143782138,3.141592653589793,0.0,3
-5.497787143782138,3.5342917352885173,0.0,3
-5.497787143782138,3.9269908169872414,0.0,3
-5.497787143782138,4.319689898685965,0.0,3
-5.497787143782138,4.71238898038469,0.0,3
-5.497787143782138,5.105088062083414,0.0,3
-5.497787143782138,5.497787143782138,0.0,3
-5.497787143782138,5.890486225480862,0.0,3
-5.497787143782138,6.283185307179586,0.0,3
-5.105088062083414,-6.283185307179586,0.0,3
-5.105088062083414,-5.890486225480862,0.0,3
-5.105088062083414,-5.497787143782138,0.0,3
-5.105088062083414,-5.105088062083414,0.0,3
-5.105088062083414,-4.71238898038469,0.0,3
-5.105088062083414,-4.319689898685965,0.0,3
-5.105088062083414,-3.9269908169872414,0.0,3
-5.105088062083414,-3.5342917352885173,0.0,3
-5.105088062083414,-3.141592653589793,0.0,3
-5.105088062083414,-2.748893571891069,0.0,3
-5.105088062083414,-2.356194490192345,0.0,3
-5.105088062083414,-1.9634954084936207,0.0,3
-5.105088062083414,-1.5707963267948966,0.0,3
-5.105088062083414,-1.1780972450961724,0.0,3
-5.105088062083414,-0.7853981633974483,0.0,3
-5.105088062083414,-0.39269908169872414,0.0,3
-5.105088062083414,0.0,0.0,3
-5.105088062083414,0.39269908169872414,0.0,3
-5.105088062083414,0.7853981633974483,0.0,3
-5.105088062083414,1.1780972450961724,0.0,3
-5.105088062083414,1.5707963267948966,0.0,3
-5.105088062083414,1.9634954084936207,0.0,3
-5.105088062083414,2.356194490192345,0.0,3
-5.105088062083414,2.748893571891069,0.0,3
-5.105088062083414,3.141592653589793,0.0,3
-5.105088062083414,3.5342917352885173,0.0,3
-5.105088062083414,3.9269908169872414,0.0,3
-5.105088062083414,4.319689898685965,0.0,3
-5.105088062083414,4.71238898038469,0.0,3
-5.105088062083414,5.105088062083414,0.0,3
-5.105088062083414,5.497787143782138,0.0,3
-5.105088062083414,5.890486225480862,0.0,3
-5.105088062083414,6.283185307179586,0.0,3
-4.71238898038469,-6.283185307179586,0.0,3
-4.71238898038469,-5.890486225480862,0.0,3
-4.71238898038469,-5.497787143782138,0.0,3
-4.71238898038469,-5.105088062083414,0.0,3
-4.71238898038469,-4.71238898038469,0.0,3
-4.71238898038469,-4.319689898685965,0.0,3
-4.71238898038469,-3.9269908169872414,0.0,3
-4.71238898038469,-3.5342917352885173,0.0,3
-4.71238898038469,-3.141592653589793,0.0,3
-4.71238898038469,-2.748893571891069,0.0,3
-4.71238898038469,-2.356194490192345,0.0,3
-4.71238898038469,-1.9634954084936207,0.0,3
-4.71238898038469,-1.5707963267948966,0.0,3
-4.71238898038469,-1.1780972450961724,0.0,3
-4.71238898038469,-0.7853981633974483,0.0,3
-4.71238898038469,-0.39269908169872414,0.0,3
