value,detJ,rankJ,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
0.5890486225480862,7.686402210661204,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.9238795325112866,0.0
0.7853981633974483,0.0,3,2.117000016612675,2.117000016612675,2.117000016612675,0.0,1.0,0.0
0.9817477042468103,-7.686402210661204,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.9238795325112868,0.0
1.1780972450961724,-14.202619362158782,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865476,0.0
1.3744467859455345,-18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.3826834323650899,0.0
1.5707963267948966,-20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,1.2246467991473532e-16,0.0
1.7671458676442586,-18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.38268343236508956,0.0
1.9634954084936207,-14.20261936215878,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865474,0.0
2.1598449493429825,-7.6864022106612175,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-0.9238795325112863,0.0
2.356194490192345,0.0,3,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-1.0,0.0
2.552544031041707,7.686402210661209,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-0.9238795325112865,0.0
2.748893571891069,14.202619362158782,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865477,0.0
2.945243112740431,18.55661646283281,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.3826834323650904,0.0
3.141592653589793,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-2.4492935982947064e-16,0.0
3.3379421944391554,18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.38268343236508995,0.0
3.5342917352885173,14.20261936215879,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865474,0.0
