phi,rho,detJ,rankJ
-2.748893571891069,-5.890486225480862,14.202619362158785,4
-2.748893571891069,-5.497787143782138,14.202619362158783,4
-2.748893571891069,-5.105088062083414,14.202619362158785,4
-2.748893571891069,-4.71238898038469,14.202619362158782,4
-2.748893571891069,-4.319689898685965,14.202619362158785,4
-2.748893571891069,-3.9269908169872414,14.202619362158789,4
-2.748893571891069,-3.5342917352885173,14.202619362158787,4
-2.748893571891069,-3.141592653589793,14.202619362158782,4
-2.748893571891069,-2.748893571891069,14.202619362158785,4
-2.748893571891069,-2.356194490192345,14.202619362158782,4
-2.748893571891069,-1.9634954084936207,14.202619362158787,4
-2.748893571891069,-1.5707963267948966,14.202619362158782,4
-2.748893571891069,-1.1780972450961724,14.202619362158785,4
-2.748893571891069,-0.7853981633974483,14.202619362158782,4
-2.748893571891069,-0.39269908169872414,14.202619362158785,4
-2.748893571891069,0.0,14.202619362158782,4
-2.748893571891069,0.39269908169872414,14.202619362158785,4
-2.748893571891069,0.7853981633974483,14.202619362158782,4
-2.748893571891069,1.1780972450961724,14.202619362158785,4
-2.748893571891069,1.5707963267948966,14.202619362158782,4
-2.748893571891069,1.9634954084936207,14.202619362158787,4
-2.748893571891069,2.356194490192345,14.202619362158782,4
-2.748893571891069,2.748893571891069,14.202619362158785,4
-2.748893571891069,3.141592653589793,14.202619362158782,4
-2.748893571891069,3.5342917352885173,14.202619362158787,4
-2.748893571891069,3.9269908169872414,14.202619362158789,4
-2.748893571891069,4.319689898685965,14.202619362158785,4
-2.748893571891069,4.71238898038469,14.202619362158782,4
-2.748893571891069,5.105088062083414,14.202619362158785,4
-2.748893571891069,5.497787143782138,14.202619362158783,4
-2.748893571891069,5.890486225480862,14.202619362158785,4
-2.748893571891069,6.283185307179586,14.202619362158782,4
-2.356194490192345,-6.283185307179586,0.0,3
-2.356194490192345,-5.890486225480862,0.0,3
-2.356194490192345,-5.497787143782138,0.0,3
-2.356194490192345,-5.105088062083414,0.0,3
-2.356194490192345,-4.71238898038469,0.0,3
-2.356194490192345,-4.319689898685965,0.0,3
-2.356194490192345,-3.9269908169872414,0.0,3
-2.356194490192345,-3.5342917352885173,0.0,3
-2.356194490192345,-3.141592653589793,0.0,3
-2.356194490192345,-2.748893571891069,0.0,3
-2.356194490192345,-2.356194490192345,0.0,3
-2.356194490192345,-1.9634954084936207,0.0,3
-2.356194490192345,-1.5707963267948966,0.0,3
-2.356194490192345,-1.1780972450961724,0.0,3
-2.356194490192345,-0.7853981633974483,0.0,3
-2.356194490192345,-0.39269908169872414,0.0,3
-2.356194490192345,0.0,0.0,3
-2.356194490192345,0.39269908169872414,0.0,3
-2.356194490192345,0.7853981633974483,0.0,3
-2.356194490192345,1.1780972450961724,0.0,3
-2.356194490192345,1.5707963267948966,0.0,3
-2.356194490192345,1.9634954084936207,0.0,3
-2.356194490192345,2.356194490192345,0.0,3
-2.356194490192345,2.748893571891069,0.0,3
-2.356194490192345,3.141592653589793,0.0,3
-2.356194490192345,3.5342917352885173,0.0,3
-2.356194490192345,3.9269908169872414,0.0,3
-2.356194490192345,4.319689898685965,0.0,3
