seed_id,omega,theta,phi,rho,regularity_ok,final_mass,mass_half_radius,mass_90_radius,integrated_R
theta_rho_slice_18,0.5,-3.141592653589793,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_19,0.5,-3.141592653589793,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_20,0.5,-3.141592653589793,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_21,0.5,-3.141592653589793,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_22,0.5,-3.141592653589793,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_23,0.5,-3.141592653589793,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_24,0.5,-3.141592653589793,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_25,0.5,-3.141592653589793,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_26,0.5,-3.141592653589793,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_27,0.5,-1.5707963267948966,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_28,0.5,-1.5707963267948966,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_29,0.5,-1.5707963267948966,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
