family,dimension_family,free_variables,resolution,sample_count,trace_full_min,trace_full_max,trace_u_min,trace_u_max,trace_split_min,trace_split_max,skyrme_density_max,topological_density_abs_max
lifted_chart_linear,1D,phi,65,65,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,rho,65,65,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,omega,257,257,0.17031446401037248,3.4757844170178513,0.7549999999999999,0.7550000000000001,0.7694,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,1D,theta,257,257,0.3169044465508637,0.7694000000000001,0.30250444655086367,0.7550000000000001,0.3169044465508637,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,phi,257,257,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,rho,257,257,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,omega,1025,1025,0.17031446401037248,3.4757844170178513,0.7549999999999999,0.7550000000000001,0.7694,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,1D,theta,1025,1025,0.3169004323803549,0.7694000000000001,0.3025004323803549,0.7550000000000001,0.3169004323803549,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,phi,1025,1025,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,rho,1025,1025,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,omega|theta,33,1089,0.07024070111679108,3.4757844170178513,0.30291418557596916,0.7550000000000001,0.3173141855759692,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|phi,33,1089,0.049473876642319996,3.4757844170178513,0.20909951843363558,0.7550000000000001,0.22349951843363558,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|rho,33,1089,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
