phi,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,sigma_max,sigma_mid,sigma_min,condition
-3.6324665057131984,2.117000016612675,2.117000016612675,2.117000016612675,-3.6384497938746905e-17,-0.8314696123025451,5.573795428914419e-17,2.8649742309683366,2.1170000166126743,0.8690804315847415,3.296558208938319
-3.5342917352885173,2.117000016612675,2.1170000166126752,2.117000016612675,2.7481908017564146e-17,-0.7071067811865474,1.1225004683230425e-17,2.7659938183487944,2.1170000166126752,1.1457121530002146,2.414213562373093
-3.436116964863836,2.117000016612675,2.117000016612675,2.117000016612675,-3.7158636192762793e-17,-0.5555702330196017,-1.1147590857828839e-16,2.6403753732125264,2.117000016612675,1.411310040072324,1.8708684117893881
-3.3379421944391554,2.1170000166126752,2.1170000166126752,2.1170000166126752,-3.096553016063565e-17,-0.38268343236508984,4.954484825701704e-17,2.4893286698562216,2.117000016612675,1.6633162399579902,1.4966057626654892
-3.2397674240144743,2.117000016612675,2.117000016612675,2.117000016612675,1.362483327067969e-16,-0.19509032201612816,0.0,2.3143083706037277,2.117000016612675,1.8993037951917147,1.2185035255879761
-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-1.2386212064254266e-16,2.477242412850853e-16,9.908969651403412e-17,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-3.043417883165112,2.117000016612675,2.117000016612675,2.117000016612675,1.2386212064254264e-17,0.19509032201612866,2.477242412850853e-17,2.3143083706037277,2.117000016612675,1.8993037951917138,1.2185035255879768
-2.945243112740431,2.1170000166126752,2.1170000166126752,2.1170000166126752,9.289659048190696e-17,0.38268343236509034,1.238621206425426e-17,2.4893286698562225,2.1170000166126752,1.66331623995799,1.4966057626654898
-2.84706834231575,2.117000016612675,2.117000016612675,2.117000016612675,-7.586554889355738e-17,0.5555702330196023,6.193106032127132e-18,2.6403753732125264,2.117000016612675,1.411310040072323,1.8708684117893892
-2.748893571891069,2.117000016612675,2.117000016612675,2.117000016612675,-1.9469577088499673e-16,0.7071067811865476,-6.115692206725543e-17,2.7659938183487944,2.117000016612675,1.1457121530002135,2.4142135623730954
-2.650718801466388,2.117000016612675,2.117000016612675,2.117000016612675,-1.385707474688446e-16,0.8314696123025456,-1.5482765080317832e-17,2.864974230968337,2.1170000166126743,0.8690804315847405,3.296558208938323
-2.552544031041707,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.9353456350397282e-16,0.9238795325112865,1.5405351254916237e-16,2.9363633755894285,2.117000016612675,0.5840789905254175,5.027339492125845
