rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,sigma_max,sigma_mid,sigma_min,condition
-3.6324665057131984,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-3.5342917352885173,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,4.954484825701704e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-3.436116964863836,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-3.3379421944391554,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-3.2397674240144743,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,1.1001166257299979e-32,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-3.043417883165112,2.117000016612675,2.117000016612675,2.117000016612675,0.0,1.2386212064254264e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-2.945243112740431,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,2.477242412850852e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-2.84706834231575,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-2.748893571891069,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-9.908969651403412e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-2.650718801466388,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,4.954484825701704e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-2.552544031041707,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,4.954484825701704e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-2.454369260617026,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,0.0,9.908969651403412e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-2.2580197197676637,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-4.954484825701704e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-2.1598449493429825,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-2.061670178918302,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-1.9634954084936207,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
