r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
14.800999999999728,0.012511527350857995,0.008846985832792656,-0.008846985832792663,9.82212737009898e-19,-0.0007354655286139788,-0.0005200526626118934,0.0005200526626118938,-5.773744400493427e-20,0.03527739185761684,-0.0015175307335849205,0.01769397166558531,0.0001844535862964326,2.1039592948046127e-06,-1.027297123112346e-06,-2.1039592948046127e-06
14.810999999999728,0.012504171368452973,0.008841784367751775,-0.008841784367751782,9.816352583848811e-19,-0.0007357308818348595,-0.0005202402956737878,0.0005202402956737881,-5.775827545948388e-20,0.03533533105943764,-0.0015178308966130771,0.017683568735503547,0.00018428794044941644,2.102504601550967e-06,-1.025070364034468e-06,-2.102504601550967e-06
14.820999999999728,0.012496812734632634,0.008836581027877145,-0.008836581027877152,9.810575716115046e-19,-0.0007359958116549835,-0.000520427629346136,0.0005204276293461364,-5.777907367511674e-20,0.03539330842370343,-0.0015181277226686688,0.017673162055754286,0.0001841223125739755,2.1010498454975244e-06,-1.0228445084222358e-06,-2.1010498454975244e-06
14.830999999999728,0.012489451453631648,0.008831375816163127,-0.008831375816163134,9.804796770222095e-19,-0.0007362603179424515,-0.0005206146635356712,0.0005206146635356715,-5.779983864147814e-20,0.03545132389318378,-0.0015184212087872224,0.017662751632326255,0.000183956702851323,2.099595028020756e-06,-1.0206195593564848e-06,-2.099595028020756e-06
14.840999999999728,0.012482087529686,0.008826168735605017,-0.008826168735605024,9.799015749495403e-19,-0.0007365244005656659,-0.0005208013981493396,0.0005208013981493399,-5.782057034823705e-20,0.03550937741056967,-0.0015187113520133016,0.017652337471210033,0.0001837911114625596,2.0981401504966396e-06,-1.0183955199150478e-06,-2.0981401504966396e-06
14.850999999999727,0.012474720967032987,0.008820959789199036,-0.008820959789199043,9.793232657261444e-19,-0.0007367880593933307,-0.000520987833094301,0.0005209878330943013,-5.784126878508614e-20,0.035567468918473726,-0.0015189981494005162,0.017641919578398068,0.00018362553858867304,2.0966852143006574e-06,-1.016172393172751e-06,-2.0966852143006574e-06
14.860999999999727,0.012467351769911221,0.008815748979942336,-0.008815748979942343,9.787447496847726e-19,-0.0007370512942944516,-0.0005211739682779286,0.000521173968277929,-5.786193394174177e-20,0.03562559835943037,-0.00151928159801153,0.01763149795988467,0.00018345998441053786,2.095230220807795e-06,-1.0139501822014044e-06,-2.095230220807795e-06
14.870999999999727,0.012459979942560623,0.00881053631083299,-0.008810536310832997,9.781660271582779e-19,-0.0007373141051383366,-0.0005213598036078091,0.0005213598036078094,-5.788256580794398e-20,0.035683765675896,-0.0015195616949180712,0.017621072621665977,0.0001832944491089149,2.0937751713925384e-06,-1.0117288900697993e-06,-2.0937751713925384e-06
14.880999999999727,0.012452605489222415,0.008805321784869998,-0.008805321784870005,9.77587098479616e-19,-0.0007375764917945955,-0.0005215453389917427,0.000521545338991743,-5.790316437345655e-20,0.03574197081024918,-0.00151983843720094,0.017610643569739997,0.0001831289328644513,2.092320067428872e-06,-1.0095085198437015e-06,-2.092320067428872e-06
14.890999999999726,0.012445228414139123,0.008800105405053282,-0.008800105405053289,9.77007963981845e-19,-0.0007378384541331405,-0.0005217305743377434,0.0005217305743377437,-5.792372962806699e-20,0.035800213704790834,-0.0015201118219500187,0.017600210810106563,0.0001829634358576801,2.0908649102902788e-06,-1.0072890745858432e-06,-2.0908649102902788e-06
