r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
3.5409999999999684,0.009414353404585652,0.028881202800893666,0.00941435340458565,0.005584513829018034,-0.00011221955211521847,-0.0003442653471332827,-0.00011221955211521844,-6.656767743267333e-05,0.000994853167488149,-0.0002751488458153106,0.03228886448894895,0.0005280473890848769,5.289597785498824e-06,-5.1415446834104055e-06,-5.289597785498824e-06
3.550999999999968,0.009413229662867157,0.02887775540402286,0.009413229662867156,0.005583847235052684,-0.0001125287808036157,-0.00034521399395772676,-0.00011252878080361567,-6.675110924285396e-05,0.0010032106575726483,-0.00027664590110050737,0.03228501033747304,0.0005279426825919154,5.288760400689738e-06,-5.139890698855502e-06,-5.288760400689738e-06
3.560999999999968,0.009412102829185474,0.02887429852167683,0.009412102829185472,0.005583178806961245,-0.0001128379447234963,-0.0003461624420863514,-0.00011283794472349627,-6.693450263290513e-05,0.0010116140192392977,-0.00027814651793856194,0.03228114558134101,0.0005278376986016957,5.287920773111155e-06,-5.138232401344005e-06,-5.287920773111155e-06
3.5709999999999678,0.009410972904189178,0.028870832155845277,0.009410972904189177,0.005582508545128447,-0.00011314704369613412,-0.0003471106909708635,-0.00011314704369613409,-6.711785749680798e-05,0.0010200633668276643,-0.00027965069089663916,0.03227727022277732,0.0005277324372620256,5.287078903751613e-06,-5.136569793791391e-06,-5.287078903751613e-06
3.5809999999999675,0.009409839888528638,0.028867356308523384,0.009409839888528636,0.005581836449940082,-0.00011345607754283449,-0.00034805874006306627,-0.00011345607754283446,-6.730117372856238e-05,0.0010285588145553107,-0.0002811584145286477,0.032273384264012564,0.0005276268987210955,5.286234793602235e-06,-5.13490287912059e-06,-5.286234793602235e-06
3.5909999999999673,0.009408703782856003,0.028863870981711816,0.009408703782856001,0.005581162521783003,-0.00011376504608493427,-0.00034900658881485984,-0.00011376504608493424,-6.748445122218687e-05,0.0010371004765174978,-0.00028266968337525687,0.03226948770728346,0.0005275210831274763,5.285388443656715e-06,-5.13323166026198e-06,-5.285388443656715e-06
3.600999999999967,0.009407564587825216,0.028860376177416713,0.009407564587825214,0.005580486761045119,-0.00011407394914380197,-0.0003499542366782414,-0.00011407394914380194,-6.766768987171881e-05,0.0010456884666868859,-0.00028418449196391333,0.032265580554832855,0.0005274149906301205,5.284539854911321e-06,-5.131556140153375e-06,-5.284539854911321e-06
3.610999999999967,0.009406422304092,0.028856871897649704,0.009406422304091997,0.005579809168115402,-0.00011438278654083785,-0.0003509016831053055,-0.00011438278654083782,-6.785088957121433e-05,0.0010543228989132378,-0.0002857028348088577,0.03226166280890972,0.0005273086213783616,5.2836890283649e-06,-5.129876321740032e-06,-5.2836890283649e-06
3.6209999999999667,0.009405276932313866,0.02885335814442789,0.009405276932313864,0.005579129743383881,-0.00011469155809747401,-0.00035184892754824436,-0.00011469155809747399,-6.80340502147485e-05,0.0010630038869231212,-0.00028722470641114127,0.03225773447176916,0.0005272019755219133,5.2828359650188655e-06,-5.128192207974631e-06,-5.2828359650188655e-06
3.6309999999999665,0.009404128473150112,0.028849834919773845,0.00940412847315011,0.005578448487241646,-0.00011500026363517447,-0.00035279596945934823,-0.00011500026363517444,-6.82171716964153e-05,0.0010717315443196122,-0.00028875010125864285,0.03225379554567239,0.0005270950532108697,5.281980665877201e-06,-5.1265038018172755e-06,-5.281980665877201e-06
3.6409999999999663,0.00940297692726182,0.02884630222571563,0.009402976927261818,0.005577765400080845,-0.0001153089029754353,-0.00035374280829100557,-0.00011530890297543527,-6.840025391032774e-05,0.001080505984581998,-0.0002902790138260857,0.032249846032886754,0.0005269878545957052,5.281123131946461e-06,-5.124811106235484e-06,-5.281123131946461e-06
3.650999999999966,0.009401822295311855,0.02884276006428678,0.009401822295311854,0.005577080482294685,-0.00011561747593978467,-0.0003546894434957033,-0.00011561747593978464,-6.858329675061784e-05,0.0010893273210654817,-0.0002918114385750542,0.032245885935685725,0.0005268803798272737,5.2802633642357654e-06,-5.1231141242041876e-06,-5.2802633642357654e-06
3.660999999999966,0.009400664577964872,0.028839208437526298,0.00940066457796487,0.005576393734277431,-0.00011592598234978299,-0.0003556358745260274,-0.00011592598234978297,-6.876630011143677e-05,0.0010981956670008859,-0.000293347369954011,0.032241915256348896,0.0005267726290568087,5.2794013637568e-06,-5.121412858705721e-06,-5.2794013637568e-06
3.6709999999999656,0.009399503775887302,0.028835647347478666,0.0093995037758873,0.0055757051564244075,-0.000116234422027023,-0.00035658210083466287,-0.00011623442202702297,-6.894926388695487e-05,0.0011071111354943575,-0.0002948868023983138,0.032237933997161954,0.0005266646024359227,5.27853713152381e-06,-5.119707312729811e-06,-5.27853713152381e-06
3.6809999999999654,0.009398339889747368,0.028832076796193835,0.009398339889747366,0.005575014749131996,-0.00011654279479312983,-0.00035752812187439417,-0.0001165427947931298,-6.91321879713617e-05,0.001116073839527073,-0.0002964297303302324,0.03223394216041673,0.0005265563001166074,5.2776706685536065e-06,-5.117997489273582e-06,-5.2776706685536065e-06
3.690999999999965,0.009397172920215071,0.028828496785727232,0.00939717292021507,0.005574322512797636,-0.00011685110046976113,-0.0003584739370981055,-0.0001168511004697611,-6.931507225886611e-05,0.001125083891954943,-0.0002979761481589657,0.03222993974841118,0.0005264477222512322,5.276801975865554e-06,-5.116283391341537e-06,-5.276801975865554e-06
3.700999999999965,0.0093960028679622,0.02882490731813975,0.009396002867962197,0.005573628447819827,-0.00011715933887860716,-0.00035941954595878104,-0.00011715933887860714,-6.949791664369627e-05,0.001134141405508319,-0.0002995260502806589,0.03222592676344934,0.0005263388689925462,5.275931054481584e-06,-5.1145650219455625e-06,-5.275931054481584e-06
3.7109999999999648,0.00939482973366232,0.028821308395497756,0.009394829733662319,0.0055729325545981236,-0.0001174675098413909,-0.0003603649479095054,-0.00011746750984139087,-6.968072102009978e-05,0.001143246492791698,-0.0003010794310784205,0.03222190320784141,0.0005262297404936754,5.275057905426177e-06,-5.112842384104912e-06,-5.275057905426177e-06
