theta,phi,rho,chi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count
-2.6927937030769655,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,-2.6927937030769655,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.650975241998553,0.06509752419985529,232
-2.6927937030769655,0.39269908169872414,4.487989505128276,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192017259,0.08204386192017259,211
-2.6927937030769655,0.39269908169872414,6.283185307179586,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202896,0.08928812067202896,203
-0.8975979010256552,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067204113,0.08928812067204113,203
-0.8975979010256552,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192029414,0.08204386192029414,211
-0.8975979010256552,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,-0.8975979010256552,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419991908,0.06509752419991907,232
-0.8975979010256552,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344644838,0.05069720344644838,259
-0.8975979010256552,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344637635,0.05069720344637635,259
-0.8975979010256552,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,-0.8975979010256552,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419980832,0.06509752419980833,232
-0.8975979010256552,0.39269908169872414,4.487989505128276,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.820438619202517,0.0820438619202517,211
-0.8975979010256552,0.39269908169872414,6.283185307179586,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067204113,0.08928812067204113,203
0.8975979010256552,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.892881206720412,0.0892881206720412,203
0.8975979010256552,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192029407,0.08204386192029407,211
0.8975979010256552,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,0.8975979010256552,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419991907,0.06509752419991907,232
0.8975979010256552,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344644841,0.050697203446448416,259
0.8975979010256552,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344637632,0.050697203446376314,259
0.8975979010256552,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,0.8975979010256552,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419980844,0.06509752419980844,232
0.8975979010256552,0.39269908169872414,4.487989505128276,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.820438619202518,0.0820438619202518,211
0.8975979010256552,0.39269908169872414,6.283185307179586,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.892881206720412,0.0892881206720412,203
2.6927937030769655,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,2.6927937030769655,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202887,0.08928812067202888,203
2.6927937030769655,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,2.6927937030769655,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192021506,0.08204386192021505,211
2.6927937030769655,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,2.6927937030769655,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419996602,0.06509752419996602,232
2.6927937030769655,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,2.6927937030769655,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344641123,0.05069720344641123,259
2.6927937030769655,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,2.6927937030769655,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344633915,0.05069720344633914,259
2.6927937030769655,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,2.6927937030769655,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419985531,0.0650975241998553,232
