r,a,b,c,d,m,R
5.630099999999924,3.827991510580496e-18,0.031257922800644995,1.9139957552902477e-18,-1.9139957552902485e-18,0.003897854331395823,-0.0004881929939121727
5.640099999999924,3.827256458038221e-18,0.03125192064114246,1.9136282290191103e-18,-1.913628229019111e-18,0.00391807200709883,-0.00048797171204253395
5.650099999999924,3.826520189564642e-18,0.031245908552807344,1.9132600947823206e-18,-1.9132600947823214e-18,0.003938356359169579,-0.00048775011229331246
5.6600999999999235,3.825782705634591e-18,0.031239886539516946,1.912891352817295e-18,-1.912891352817296e-18,0.003958707470437777,-0.00048752819505161395
5.670099999999923,3.8250440067237436e-18,0.03123385460515545,1.9125220033618714e-18,-1.912522003361872e-18,0.003979125423556743,-0.0004873059607050793
5.680099999999923,3.824304093308617e-18,0.031227812753613915,1.9121520466543083e-18,-1.912152046654309e-18,0.003999610301003199,-0.0004870834096418835
5.690099999999923,3.823562965866572e-18,0.031221760988790287,1.9117814829332858e-18,-1.9117814829332866e-18,0.004020162185077057,-0.000486860542250735
5.700099999999923,3.82282062487581e-18,0.031215699314589375,1.9114103124379047e-18,-1.9114103124379055e-18,0.004040781157901211,-0.00048663735892087495
5.7100999999999225,3.822077070815375e-18,0.03120962773492287,1.911038535407687e-18,-1.911038535407688e-18,0.00406146730142132,-0.0004864138600420759
5.720099999999922,3.821332304165151e-18,0.031203546253709327,1.910666152082575e-18,-1.910666152082576e-18,0.0040822206974056065,-0.000486190046004641
5.730099999999922,3.820586325405865e-18,0.031197454874874176,1.910293162702932e-18,-1.9102931627029327e-18,0.0041030414274446396,-0.00048596591719940317
5.740099999999922,3.819839135019083e-18,0.031191353602349706,1.909919567509541e-18,-1.9099195675095417e-18,0.00412392957295113,-0.0004857414740177238
5.750099999999922,3.819090733487213e-18,0.031185242440075076,1.9095453667436062e-18,-1.909545366743607e-18,0.004144885215159721,-0.00048551671685149273
5.760099999999921,3.818341121293503e-18,0.0311791213919963,1.9091705606467512e-18,-1.909170560646752e-18,0.004165908435126777,-0.00048529164609312616
5.770099999999921,3.817590298922041e-18,0.03117299046206626,1.9087951494610202e-18,-1.908795149461021e-18,0.004186999313730181,-0.0004850662621355664
5.780099999999921,3.816838266857755e-18,0.03116684965424469,1.908419133428877e-18,-1.9084191334288778e-18,0.004208157931669125,-0.00048484056537228073
5.790099999999921,3.8160850255864104e-18,0.031160698972498176,1.908042512793205e-18,-1.9080425127932056e-18,0.004229384369463904,-0.0004846145561972607
5.8000999999999205,3.8153305755946144e-18,0.03115453842080016,1.907665287797307e-18,-1.9076652877973076e-18,0.0042506787074557085,-0.00048438823500502085
5.81009999999992,3.814574917369813e-18,0.031148368003130936,1.907287458684906e-18,-1.9072874586849067e-18,0.00427204102580642,-0.000484161602190598
5.82009999999992,3.813818051400288e-18,0.031142187723477637,1.9069090257001435e-18,-1.9069090257001443e-18,0.004293471404498408,-0.00048393465814955015
5.83009999999992,3.813059978175163e-18,0.03113599758583425,1.906529989087581e-18,-1.9065299890875818e-18,0.004314969923334322,-0.00048370740327795573
5.84009999999992,3.812300698184397e-18,0.031129797594201605,1.9061503490921983e-18,-1.906150349092199e-18,0.004336536661936889,-0.0004834798379724125
5.8500999999999195,3.811540211918788e-18,0.03112358775258737,1.9057701059593938e-18,-1.9057701059593946e-18,0.004358171699748711,-0.0004832519626300367
5.860099999999919,3.810778519869972e-18,0.031117368065006045,1.9053892599349856e-18,-1.9053892599349864e-18,0.00437987511603206,-0.0004830237776484618
5.870099999999919,3.810015622530421e-18,0.03111113853547898,1.90500781126521e-18,-1.905007811265211e-18,0.004401646989868676,-0.00048279528342583814
5.880099999999919,3.8092515203934434e-18,0.031104899168034345,1.9046257601967213e-18,-1.904625760196722e-18,0.004423487400159567,-0.00048256648036083143
5.890099999999919,3.8084862139531854e-18,0.031098649966707147,1.9042431069765923e-18,-1.904243106976593e-18,0.004445396425624805,-0.0004823373688526221
5.900099999999918,3.807719703704629e-18,0.03109239093553922,1.903859851852314e-18,-1.9038598518523147e-18,0.004467374144803326,-0.0004821079493009039
5.910099999999918,3.8069519901435915e-18,0.031086122078579224,1.9034759950717953e-18,-1.903475995071796e-18,0.00448942063605273,-0.00048187822210588336
5.920099999999918,3.806183073766727e-18,0.031079843399882644,1.9030915368833632e-18,-1.903091536883364e-18,0.004511535977549079,-0.00048164818766827924
5.930099999999918,3.8054129550715245e-18,0.031073554903511783,1.902706477535762e-18,-1.9027064775357627e-18,0.0045337202472867,-0.00048141784638932054
5.940099999999918,3.804641634556308e-18,0.031067256593535764,1.9023208172781534e-18,-1.9023208172781542e-18,0.004555973523077987,-0.0004811871986707463
5.950099999999917,3.8038691127202346e-18,0.031060948474030525,1.901934556360117e-18,-1.9019345563601177e-18,0.004578295882553197,-0.0004809562449148041
5.960099999999917,3.803095390063299e-18,0.03105463054907882,1.901547695031649e-18,-1.90154769503165e-18,0.004600687403160258,-0.00048072498552424964
5.970099999999917,3.802320467086327e-18,0.031048302822770213,1.9011602335431633e-18,-1.901160233543164e-18,0.004623148162164569,-0.00048049342090234566
5.980099999999917,3.801544344290981e-18,0.03104196529920107,1.90077217214549e-18,-1.9007721721454907e-18,0.004645678236648803,-0.0004802615514528604
5.9900999999999165,3.800767022179753e-18,0.031035617982474575,1.9003835110898762e-18,-1.900383511089877e-18,0.004668277703512712,-0.00048002937758006724
6.000099999999916,3.799988501255972e-18,0.031029260876700705,1.8999942506279857e-18,-1.8999942506279865e-18,0.004690946639472928,-0.0004797968996887438
6.010099999999916,3.7992087820237974e-18,0.03102289398599624,1.8996043910118983e-18,-1.899604391011899e-18,0.004713685121062772,-0.0004795641181841702
6.020099999999916,3.7984278649882225e-18,0.031016517314484758,1.899213932494111e-18,-1.8992139324941116e-18,0.004736493224632056,-0.000479331033472129
6.030099999999916,3.797645750655072e-18,0.031010130866296632,1.8988228753275356e-18,-1.8988228753275364e-18,0.004759371026346889,-0.0004790976459589035
6.040099999999915,3.796862439531002e-18,0.03100373464556903,1.8984312197655007e-18,-1.8984312197655014e-18,0.004782318602189486,-0.0004788639560512771
6.050099999999915,3.796077932123502e-18,0.03099732865644591,1.8980389660617506e-18,-1.8980389660617514e-18,0.004805336027957969,-0.0004786299641565324
6.060099999999915,3.79529222894089e-18,0.03099091290307801,1.8976461144704447e-18,-1.8976461144704455e-18,0.00482842337926618,-0.0004783956706824503
6.070099999999915,3.794505330492318e-18,0.030984487389622863,1.8972526652461586e-18,-1.8972526652461593e-18,0.004851580731543487,-0.00047816107603730797
6.080099999999915,3.793717237287765e-18,0.030978052120244775,1.896858618643882e-18,-1.896858618643883e-18,0.004874808160034589,-0.00047792618062987964
6.090099999999914,3.792927949838043e-18,0.030971607099114836,1.8964639749190212e-18,-1.896463974919022e-18,0.004898105739799331,-0.00047769098486943396
