theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,detJ,rankJ
-3.141592653589793,-1.5707963267948966,2.748893571891069,1.0,1.0,1.0,1.499759782661858e-32,-1.2246467991473532e-16,1.232595164407831e-32,-1.0,4
-3.141592653589793,-1.5707963267948966,3.141592653589793,1.0,1.0,1.0,1.4997597826618576e-32,-1.2246467991473532e-16,-1.4997597826618576e-32,-1.0,4
-3.141592653589793,-1.1780972450961724,-3.141592653589793,1.0,1.0,1.0,-3.0814879110195774e-33,-0.7071067811865477,-3.0814879110195774e-33,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,-2.748893571891069,1.0,1.0,1.0,-1.3877787807814457e-17,-0.7071067811865477,2.7755575615628914e-17,-0.7071067811865474,4
-3.141592653589793,-1.1780972450961724,-2.356194490192345,1.0,1.0,1.0,6.938893903907228e-17,-0.7071067811865476,-2.7755575615628914e-17,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,-1.9634954084936207,1.0,1.0,1.0,4.163336342344337e-17,-0.7071067811865476,-4.163336342344337e-17,-0.7071067811865472,4
-3.141592653589793,-1.1780972450961724,-1.5707963267948966,1.0,1.0,1.0,-3.0814879110195774e-33,-0.7071067811865477,-2.311115933264683e-32,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,-1.1780972450961724,1.0,1.0,1.0,-1.3877787807814457e-17,-0.7071067811865477,2.7755575615628914e-17,-0.7071067811865474,4
-3.141592653589793,-1.1780972450961724,-0.7853981633974483,1.0,1.0,1.0,6.938893903907228e-17,-0.7071067811865476,-2.7755575615628914e-17,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,-0.39269908169872414,1.0,1.0,1.0,3.469446951953614e-17,-0.7071067811865476,-4.163336342344337e-17,-0.7071067811865472,4
-3.141592653589793,-1.1780972450961724,0.0,1.0,1.0,1.0,0.0,-0.7071067811865477,0.0,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,0.39269908169872414,1.0,1.0,1.0,3.469446951953614e-17,-0.7071067811865477,4.163336342344337e-17,-0.7071067811865474,4
-3.141592653589793,-1.1780972450961724,0.7853981633974483,1.0,1.0,1.0,6.938893903907228e-17,-0.7071067811865477,2.7755575615628914e-17,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,1.1780972450961724,1.0,1.0,1.0,-1.3877787807814457e-17,-0.7071067811865477,-2.7755575615628914e-17,-0.7071067811865474,4
-3.141592653589793,-1.1780972450961724,1.5707963267948966,1.0,1.0,1.0,-3.0814879110195774e-33,-0.7071067811865477,2.311115933264683e-32,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,1.9634954084936207,1.0,1.0,1.0,4.163336342344337e-17,-0.7071067811865476,4.163336342344337e-17,-0.7071067811865472,4
