label,family,source,dynamics_mode,closure_mode,success,failure_reason,steps,r_final,horizon_hit,regularity_ok,boundary_residual_qnorm,boundary_residual_state_prime_norm,final_mass,integrated_abs_ricci,peak_qnorm,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width,theta_total_shift,phi_total_shift,rho_total_shift,omega_seed,theta_seed,phi_seed,rho_seed,w0,theta0,phi0,rho0,notes
rich_nbhd_11,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014404427217027357,0.10050647239629262,0.11003158379991991,0.00927979888432513,0.03297442541400256,14.470999999999735,18.951000000000164,14.110999999999743,18.811000000000142,0.001,6.7609999999999,20.000000000000327,-0.017140994059472447,0.2198204253209306,0.017140994059465786,0.5,3.141592653589793,-1.8207963267948966,1.8207963267948966,-3.412023005428146,3.141592653589793,-1.8207963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_12,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.141592653589793,-1.5707963267948966,1.3207963267948966,-3.412023005428146,3.141592653589793,-1.5707963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_13,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,-3.412023005428146,3.141592653589793,-1.5707963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_14,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.141592653589793,-1.5707963267948966,1.8207963267948966,-3.412023005428146,3.141592653589793,-1.5707963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_15,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014426272951176173,0.09850273921673519,0.10995268904667323,0.009411762031510092,0.03297442541400256,14.460999999999736,18.951000000000164,14.090999999999744,18.821000000000144,0.001,6.700999999999901,20.000000000000327,-0.012316809300199072,-0.19147726137122212,0.012316809300197518,0.5,3.141592653589793,-1.3207963267948966,1.3207963267948966,-3.412023005428146,3.141592653589793,-1.3207963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_16,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014415178862106954,0.09950435304795902,0.10999274003380728,0.00934688425357948,0.03297442541400256,14.460999999999736,18.951000000000164,14.100999999999743,18.821000000000144,0.001,6.7309999999999,20.000000000000327,-0.01352289833370035,-0.20363019863424325,0.013522898333703015,0.5,3.141592653589793,-1.3207963267948966,1.5707963267948966,-3.412023005428146,3.141592653589793,-1.3207963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_17,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014404097991260736,0.10048617308815858,0.11003276696549051,0.009280471757279933,0.03297442541400256,14.470999999999735,18.951000000000164,14.110999999999743,18.811000000000142,0.001,6.7609999999999,20.000000000000327,-0.013992544093890391,-0.2193553801095942,0.013992544093884174,0.5,3.141592653589793,-1.3207963267948966,1.8207963267948966,-3.412023005428146,3.141592653589793,-1.3207963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_18,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.01443523209728526,0.0977125844820817,0.10992034810092378,0.009470962756593747,0.03297442541400256,14.450999999999736,18.951000000000164,14.080999999999744,18.831000000000145,0.001,6.6809999999999015,20.000000000000327,-0.013319111413383489,0.18350558354701163,0.013319111413399032,0.5,3.391592653589793,-1.8207963267948966,1.3207963267948966,-3.412023005428146,3.391592653589793,-1.8207963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_19,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014426470876212344,0.09852492595895217,0.10995197369519764,0.009411176777301465,0.03297442541400256,14.460999999999736,18.951000000000164,14.090999999999744,18.821000000000144,0.001,6.700999999999901,20.000000000000327,-0.015392332720366664,0.19173957544112863,0.015392332720388646,0.5,3.391592653589793,-1.8207963267948966,1.5707963267948966,-3.412023005428146,3.391592653589793,-1.8207963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_20,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014415423853449072,0.09952944838454873,0.10999185716674044,0.00934621966411501,0.03297442541400256,14.460999999999736,18.951000000000164,14.100999999999743,18.821000000000144,0.001,6.7309999999999,20.000000000000327,-0.0167345198102824,0.20401335488354166,0.01673451981027596,0.5,3.391592653589793,-1.8207963267948966,1.8207963267948966,-3.412023005428146,3.391592653589793,-1.8207963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_21,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.391592653589793,-1.5707963267948966,1.3207963267948966,-3.412023005428146,3.391592653589793,-1.5707963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_22,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.391592653589793,-1.5707963267948966,1.5707963267948966,-3.412023005428146,3.391592653589793,-1.5707963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_23,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.391592653589793,-1.5707963267948966,1.8207963267948966,-3.412023005428146,3.391592653589793,-1.5707963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_24,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014435062508947046,0.09769789819683743,0.10992096198977333,0.009471417500633806,0.03297442541400256,14.450999999999736,18.951000000000164,14.080999999999744,18.831000000000145,0.001,6.6809999999999015,20.000000000000327,-0.010566825214741726,-0.18335760906753218,0.010566825214745501,0.5,3.391592653589793,-1.3207963267948966,1.3207963267948966,-3.412023005428146,3.391592653589793,-1.3207963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_25,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014426272951176173,0.09850273921673519,0.10995268904667323,0.009411762031510092,0.03297442541400256,14.460999999999736,18.951000000000164,14.090999999999744,18.821000000000144,0.001,6.700999999999901,20.000000000000327,-0.012316809300199072,-0.19147726137122212,0.012316809300197518,0.5,3.391592653589793,-1.3207963267948966,1.5707963267948966,-3.412023005428146,3.391592653589793,-1.3207963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_26,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014415178862106954,0.09950435304795902,0.10999274003380728,0.00934688425357948,0.03297442541400256,14.460999999999736,18.951000000000164,14.100999999999743,18.821000000000144,0.001,6.7309999999999,20.000000000000327,-0.01352289833370035,-0.20363019863424325,0.013522898333703015,0.5,3.391592653589793,-1.3207963267948966,1.8207963267948966,-3.412023005428146,3.391592653589793,-1.3207963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
