success,reason,m,r,omega,A0_base
False,horizon,7.133687142125243e+27,1.450100000000001,2.526315789473684,0.16
False,horizon,6.799249829121283e+29,1.310100000000001,2.526315789473684,0.17
False,horizon,0.5921436430592247,1.1801000000000008,2.526315789473684,0.18000000000000002
False,horizon,6.691353724764983e+31,1.0801000000000007,2.526315789473684,0.19
False,horizon,0.4924069892891292,0.9801000000000007,2.526315789473684,0.2
True,completed,2.2796286543687376,20.00010000000033,2.7368421052631575,0.01
False,horizon,9.70642147197146,19.37010000000023,2.7368421052631575,0.02
False,horizon,5.63926695493079,11.270099999999804,2.7368421052631575,0.03
False,horizon,3.932775904497964,7.860099999999877,2.7368421052631575,0.04
False,horizon,2.963432701717512,5.920099999999918,2.7368421052631575,0.05
False,horizon,3.0307697464728165e+20,4.660099999999945,2.7368421052631575,0.060000000000000005
False,horizon,1.192548922982492e+22,3.770099999999964,2.7368421052631575,0.06999999999999999
False,horizon,5.557919779833318e+22,3.110099999999978,2.7368421052631575,0.08
False,horizon,8.711005529670383e+23,2.6100999999999885,2.7368421052631575,0.09
False,horizon,1.1064075676602332,2.210099999999997,2.7368421052631575,0.09999999999999999
False,horizon,0.9537130759469186,1.9001000000000015,2.7368421052631575,0.11
False,horizon,8.407154962390305e+26,1.6501000000000012,2.7368421052631575,0.12
False,horizon,0.7236777213781109,1.440100000000001,2.7368421052631575,0.13
False,horizon,2.003353924079794e+28,1.270100000000001,2.7368421052631575,0.14
False,horizon,2.2413755625661736e+31,1.1301000000000008,2.7368421052631575,0.15000000000000002
False,horizon,0.5003833046106985,1.0001000000000007,2.7368421052631575,0.16
False,horizon,0.4531057434258039,0.9001000000000007,2.7368421052631575,0.17
False,horizon,0.4066129102884929,0.8101000000000006,2.7368421052631575,0.18000000000000002
False,horizon,1.8356340220711214e+31,0.7401000000000005,2.7368421052631575,0.19
False,horizon,0.3388292406366671,0.6701000000000005,2.7368421052631575,0.2
True,completed,3.5426833773639985,20.00010000000033,2.9473684210526314,0.01
False,horizon,7.243273197101445,14.480099999999736,2.9473684210526314,0.02
False,horizon,5.996269063431808e+17,8.66009999999986,2.9473684210526314,0.03
False,horizon,2.739111860834064e+19,6.020099999999916,2.9473684210526314,0.04
False,horizon,2.2431704912109334,4.480099999999949,2.9473684210526314,0.05
False,horizon,2.3472613901673366e+22,3.48009999999997,2.9473684210526314,0.060000000000000005
False,horizon,1.38786582359608,2.770099999999985,2.9473684210526314,0.06999999999999999
False,horizon,4.923391892225114e+24,2.260099999999996,2.9473684210526314,0.08
False,horizon,0.9388484477915218,1.8701000000000014,2.9473684210526314,0.09
False,horizon,0.7873905933647152,1.5701000000000012,2.9473684210526314,0.09999999999999999
False,horizon,2.3436844876945275e+28,1.340100000000001,2.9473684210526314,0.11
False,horizon,0.5786680229654687,1.1501000000000008,2.9473684210526314,0.12
False,horizon,1.2833794750157384e+29,1.0001000000000007,2.9473684210526314,0.13
False,horizon,1.1157722098699862e+35,0.8801000000000007,2.9473684210526314,0.14
False,horizon,0.38716244081841084,0.7701000000000006,2.9473684210526314,0.15000000000000002
False,horizon,7.691304356013594e+31,0.6901000000000005,2.9473684210526314,0.16
False,horizon,0.30587981533448455,0.6101000000000004,2.9473684210526314,0.17
False,horizon,0.2775842166751471,0.5501000000000004,2.9473684210526314,0.18000000000000002
False,horizon,8.838078022145166e+23,0.5001000000000003,2.9473684210526314,0.19
False,horizon,0.2264076035380194,0.4501000000000003,2.9473684210526314,0.2
True,completed,5.625491582436693,20.00010000000033,3.1578947368421053,0.01
False,horizon,5.528686238670494,11.050099999999809,3.1578947368421053,0.02
False,horizon,3.321247526482037,6.640099999999903,3.1578947368421053,0.03
False,horizon,5.4509265854992423e+20,4.560099999999947,3.1578947368421053,0.04
False,horizon,2.249569982028279e+22,3.340099999999973,3.1578947368421053,0.05
False,horizon,1.2704313374586995,2.54009999999999,3.1578947368421053,0.060000000000000005
False,horizon,3.3702225285314517e+25,2.0001000000000015,3.1578947368421053,0.06999999999999999
False,horizon,2.480319670288921e+27,1.6101000000000012,3.1578947368421053,0.08
False,horizon,5.344514892155121e+29,1.320100000000001,3.1578947368421053,0.09
False,horizon,5.194700057123504e+32,1.1001000000000007,3.1578947368421053,0.09999999999999999
False,horizon,0.4601159516746712,0.9201000000000007,3.1578947368421053,0.11
False,horizon,0.3990648483938131,0.7901000000000006,3.1578947368421053,0.12
False,horizon,0.3418323466725808,0.6801000000000005,3.1578947368421053,0.13
False,horizon,3.142275587036208e+34,0.6001000000000004,3.1578947368421053,0.14
False,horizon,0.2609432500223056,0.5201000000000003,3.1578947368421053,0.15000000000000002
False,horizon,0.23056403770507405,0.4601000000000003,3.1578947368421053,0.16
False,horizon,0.2055861729795026,0.41010000000000024,3.1578947368421053,0.17
False,horizon,0.18801109295263718,0.3701000000000002,3.1578947368421053,0.18000000000000002
False,horizon,4.6858140766571484e+32,0.3401000000000002,3.1578947368421053,0.19
False,horizon,0.15025863876048395,0.30010000000000014,3.1578947368421053,0.2
True,completed,9.11408146350844,20.00010000000033,3.3684210526315788,0.01
False,horizon,4.247962884634984,8.490099999999863,3.3684210526315788,0.02
False,horizon,1.0426399913266661e+18,5.060099999999936,3.3684210526315788,0.03
False,horizon,1.766350532589768e+22,3.4000999999999717,3.3684210526315788,0.04
False,horizon,1.6527753064021729e+24,2.440099999999992,3.3684210526315788,0.05
False,horizon,0.9110865130620015,1.8201000000000014,3.3684210526315788,0.060000000000000005
False,horizon,0.7089913682192106,1.410100000000001,3.3684210526315788,0.06999999999999999
False,horizon,4.442267876067193e+28,1.1201000000000008,3.3684210526315788,0.08
False,horizon,4.394765926598404e+29,0.9101000000000007,3.3684210526315788,0.09
False,horizon,0.37866349958443984,0.7501000000000005,3.3684210526315788,0.09999999999999999
False,horizon,0.31952129937209045,0.6301000000000004,3.3684210526315788,0.11
False,horizon,4.486077735333892e+31,0.5401000000000004,3.3684210526315788,0.12
False,horizon,0.2330460432226032,0.4601000000000003,3.3684210526315788,0.13
False,horizon,0.20322561100445755,0.40010000000000023,3.3684210526315788,0.14
False,horizon,0.1773037719657779,0.3501000000000002,3.3684210526315788,0.15000000000000002
False,horizon,0.15798342056592546,0.31010000000000015,3.3684210526315788,0.16
False,horizon,1.4556406425078374e+32,0.2801000000000001,3.3684210526315788,0.17
False,horizon,1.803867572210413e+32,0.2501000000000001,3.3684210526315788,0.18000000000000002
False,horizon,inf,0.23010000000000008,3.3684210526315788,0.19
False,horizon,0.10080555061662261,0.20010000000000006,3.3684210526315788,0.2
False,horizon,7.863752984328602,15.720099999999709,3.578947368421052,0.01
False,horizon,3.2568521141893627,6.510099999999905,3.578947368421052,0.02
False,horizon,1.8968757542582124,3.7900999999999634,3.578947368421052,0.03
False,horizon,1.2405689817221222,2.4800999999999913,3.578947368421052,0.04
False,horizon,0.8731874266129673,1.7401000000000013,3.578947368421052,0.05
False,horizon,0.6438202626247549,1.280100000000001,3.578947368421052,0.060000000000000005
False,horizon,1.8460255452013344e+30,0.9801000000000007,3.578947368421052,0.06999999999999999
False,horizon,7.72778623723629e+29,0.7701000000000006,3.578947368421052,0.08
False,horizon,4.632076542358617e+28,0.6201000000000004,3.578947368421052,0.09
False,horizon,7.601263094829449e+25,0.5101000000000003,3.578947368421052,0.09999999999999999
False,horizon,3.2113030830120285e+32,0.43010000000000026,3.578947368421052,0.11
False,horizon,0.18399732335868485,0.3601000000000002,3.578947368421052,0.12
False,horizon,0.16126200342397093,0.31010000000000015,3.578947368421052,0.13
False,horizon,7.323473141778352e+31,0.2701000000000001,3.578947368421052,0.14
False,horizon,5.35675943680109e+34,0.2401000000000001,3.578947368421052,0.15000000000000002
False,horizon,1.151339971111866e+33,0.21010000000000006,3.578947368421052,0.16
False,horizon,1.346323744683065e+36,0.19010000000000005,3.578947368421052,0.17
False,horizon,1.4344530900949445e+35,0.17010000000000003,3.578947368421052,0.18000000000000002
False,horizon,0.07958933547113638,0.1501,3.578947368421052,0.19
False,horizon,1.2848091009529295e+36,0.1401,3.578947368421052,0.2
False,horizon,4.239098518103132e+34,11.95009999999979,3.789473684210526,0.01
False,horizon,2.4780005958197875,4.950099999999939,3.789473684210526,0.02
False,horizon,1.3963382423830597,2.7900999999999847,3.789473684210526,0.03
False,horizon,2.4087717438288383e+26,1.7801000000000013,3.789473684210526,0.04
False,horizon,2.3572669838166375e+28,1.2201000000000009,3.789473684210526,0.05
False,horizon,0.44126032762776424,0.8801000000000007,3.789473684210526,0.060000000000000005
False,horizon,4.7963456979110774e+30,0.6701000000000005,3.789473684210526,0.06999999999999999
False,horizon,0.2638372711219488,0.5201000000000003,3.789473684210526,0.08
False,horizon,1.8035131335094555e+26,0.42010000000000025,3.789473684210526,0.09
False,horizon,0.17258088796847426,0.3401000000000002,3.789473684210526,0.09999999999999999
False,horizon,1.4991444361197593e+35,0.29010000000000014,3.789473684210526,0.11
False,horizon,0.1228940391338711,0.2401000000000001,3.789473684210526,0.12
False,horizon,4.562242667048512e+33,0.21010000000000006,3.789473684210526,0.13
False,horizon,0.0950238279566478,0.18010000000000004,3.789473684210526,0.14
