r,omega,theta,phi,rho,mass
1.3801,-3.415373030384265,0.0,0.7853999909711925,0.0,0.11016809491134316
1.3901000000000001,-3.4154261891217654,0.0,0.7854000066242623,0.0,0.11258027175567968
1.4001000000000001,-3.415479877116034,0.0,0.7854000225250848,0.0,0.11502740445596177
1.4101,-3.4155340981569777,0.0,0.7854000386777362,0.0,0.1175097444725736
1.4201,-3.415588856075854,0.0,0.7854000550863492,0.0,0.12002754326585449
1.4301,-3.415644154745269,0.0,0.7854000717551121,0.0,0.12258105229609845
1.4401,-3.4156999980791785,0.0,0.7854000886882688,0.0,0.12517052302355455
1.4501,-3.4157563900328882,0.0,0.7854001058901195,0.0,0.12779620690842683
1.4601,-3.4158133346030533,0.0,0.7854001233650201,0.0,0.13045835541087414
1.4701,-3.4158708358276773,0.0,0.7854001411173821,0.0,0.13315721999101032
1.4801,-3.4159288977861144,0.0,0.785400159151673,0.0,0.13589305210890423
1.4901,-3.4159875245990685,0.0,0.7854001774724164,0.0,0.13866610322457953
1.5001,-3.4160467204285916,0.0,0.7854001960841914,0.0,0.1414766247980149
1.5101,-3.416106489478087,0.0,0.7854002149916331,0.0,0.14432486828914398
1.5201,-3.4161668360013895,0.0,0.7854002341994527,0.0,0.14721108515785356
1.5301,-3.4162277701300825,0.0,0.7854002537250808,0.0,0.15013552686275214
1.5401,-3.4162893006468757,0.0,0.7854002735822286,0.0,0.15309844486233978
1.5501,-3.4163514312393044,0.0,0.7854002937731887,0.0,0.156100090615993
1.5601,-3.4164141657649316,0.0,0.785400314300601,0.0,0.15914071558301002
1.5701,-3.4164775082513503,0.0,0.785400335167453,0.0,0.1622205712226107
1.5801,-3.416541462896181,0.0,0.7854003563770791,0.0,0.1653399089939367
1.5901,-3.416606034067072,0.0,0.7854003779331611,0.0,0.16849898035605132
1.6001,-3.4166712263017023,0.0,0.7854003998397282,0.0,0.1716980367679396
1.6101,-3.4167370443077782,0.0,0.7854004221011566,0.0,0.17493732968850825
1.6201,-3.4168034929630338,0.0,0.7854004447221699,0.0,0.17821711057658574
1.6301,-3.4168705773152337,0.0,0.7854004677078389,0.0,0.18153763089092215
1.6401000000000001,-3.416938302582169,0.0,0.7854004910635817,0.0,0.18489914209018937
1.6501000000000001,-3.417006674151661,0.0,0.7854005147951637,0.0,0.18830189563298091
1.6601000000000001,-3.4170756975815584,0.0,0.7854005389086975,0.0,0.19174614297781203
1.6701,-3.4171453785997397,0.0,0.7854005634106431,0.0,0.1952321355831196
1.6801,-3.4172157231041105,0.0,0.7854005883078073,0.0,0.19876012490726247
1.6901,-3.4172867371626063,0.0,0.7854006136073449,0.0,0.20233036240852087
1.7001,-3.41735842701319,0.0,0.7854006393167572,0.0,0.20594309954509687
1.7101,-3.4174307990638537,0.0,0.7854006654438933,0.0,0.2095985877751143
1.7201,-3.4175038598926184,0.0,0.7854006919969494,0.0,0.21329707855661856
1.7301,-3.4175776162475326,0.0,0.7854007189844688,0.0,0.21703882334757685
1.7401,-3.4176520750466746,0.0,0.7854007464153423,0.0,0.22082407360587808
1.7501,-3.4177272433781503,0.0,0.7854007742988077,0.0,0.22465308078933277
1.7601,-3.4178031285000943,0.0,0.7854008026444503,0.0,0.22852609635567328
1.7701,-3.4178797378406705,0.0,0.7854008314622026,0.0,0.23244337176255353
1.7801,-3.4179570789980707,0.0,0.7854008607623444,0.0,0.23640515846754928
1.7901,-3.418035159740515,0.0,0.7854008905555026,0.0,0.24041170792815791
1.8001,-3.4181139880062528,0.0,0.7854009208526512,0.0,0.2444632716017985
1.8101,-3.418193571903562,0.0,0.7854009516651121,0.0,0.24856010094581193
1.8201,-3.418273919710748,0.0,0.7854009830045539,0.0,0.2527024474174606
1.8301,-3.4183550398761464,0.0,0.7854010148829925,0.0,0.25689056247392883
1.8401,-3.4184369410181197,0.0,0.7854010473127915,0.0,0.2611246975723225
1.8501,-3.4185196319250606,0.0,0.785401080306661,0.0,0.2654051041696692
1.8601,-3.418603121555389,0.0,0.7854011138776592,0.0,0.2697320337229183
1.8701,-3.4186874190375534,0.0,0.7854011480391909,0.0,0.2741057376889408
1.8801,-3.4187725336700323,0.0,0.7854011828050087,0.0,0.2785264675245295
