r,omega,theta,phi,rho,mass
2.3101000000000003,-3.4206738476171648,0.0,0.0,0.0,0.00027892823161669843
2.3201,-3.4207490307023014,0.0,0.0,0.0,0.0002825488368943157
2.3301000000000003,-3.420824540886392,0.0,0.0,0.0,0.0002862003730530661
2.3401,-3.420900378190645,0.0,0.0,0.0,0.0002898829694275933
2.3501000000000003,-3.420976542636433,0.0,0.0,0.0,0.0002935967552283653
2.3601,-3.4210530342452983,0.0,0.0,0.0,0.00029734185954167304
2.3701000000000003,-3.42112985303895,0.0,0.0,0.0,0.000301118411329632
2.3801,-3.421206999039262,0.0,0.0,0.0,0.00030492653943018055
2.3901000000000003,-3.421284472268279,0.0,0.0,0.0,0.0003087663725570815
2.4001,-3.421362272748211,0.0,0.0,0.0,0.00031263803929992075
2.4101000000000004,-3.421440400501434,0.0,0.0,0.0,0.00031654166812410844
2.4201,-3.421518855550493,0.0,0.0,0.0,0.0003204773873708778
2.4301000000000004,-3.4215976379180995,0.0,0.0,0.0,0.00032444532525728646
2.4401,-3.4216767476271324,0.0,0.0,0.0,0.000328445609876215
2.4501000000000004,-3.421756184700637,0.0,0.0,0.0,0.00033247836919636845
2.4601,-3.4218359491618267,0.0,0.0,0.0,0.0003365437310622749
2.4701000000000004,-3.421916041034081,0.0,0.0,0.0,0.0003406418231942867
2.4801,-3.4219964603409476,0.0,0.0,0.0,0.00034477277318857927
2.4901000000000004,-3.422077207106141,0.0,0.0,0.0,0.00034893670851715244
2.5001,-3.4221582813535423,0.0,0.0,0.0,0.00035313375652782904
2.5101000000000004,-3.4222396831072004,0.0,0.0,0.0,0.0003573640444442563
2.5201000000000002,-3.4223214123913315,0.0,0.0,0.0,0.0003616276993659044
2.5301000000000005,-3.422403469230318,0.0,0.0,0.0,0.00036592484826806804
2.5401000000000002,-3.4224858536487104,0.0,0.0,0.0,0.00037025561800186474
2.5501000000000005,-3.422568565671226,0.0,0.0,0.0,0.00037462013529423663
2.5601000000000003,-3.4226516053227485,0.0,0.0,0.0,0.0003790185267479487
2.5701,-3.4227349726283305,0.0,0.0,0.0,0.0003834509188415902
2.5801000000000003,-3.4228186676131904,0.0,0.0,0.0,0.00038791743792957405
2.5901,-3.422902690302714,0.0,0.0,0.0,0.00039241821024213637
2.6001000000000003,-3.4229870407224547,0.0,0.0,0.0,0.0003969533618853378
2.6101,-3.423071718898132,0.0,0.0,0.0,0.0004015230188410617
2.6201000000000003,-3.423156724855634,0.0,0.0,0.0,0.0004061273069670162
2.6301,-3.4232420586210144,0.0,0.0,0.0,0.000410766351996732
2.6401000000000003,-3.4233277202204953,0.0,0.0,0.0,0.00041544027953956467
2.6501,-3.423413709680465,0.0,0.0,0.0,0.0004201492150806924
2.6601000000000004,-3.4235000270274805,0.0,0.0,0.0,0.00042489328398111794
2.6701,-3.423586672288264,0.0,0.0,0.0,0.000429672611477667
2.6801000000000004,-3.423673645489706,0.0,0.0,0.0,0.0004344873226829898
2.6901,-3.423760946658864,0.0,0.0,0.0,0.0004393375425855594
2.7001000000000004,-3.4238485758229618,0.0,0.0,0.0,0.0004442233960496734
2.7101,-3.423936533009392,0.0,0.0,0.0,0.0004491450078154523
2.7201000000000004,-3.424024818245713,0.0,0.0,0.0,0.000454102502498841
2.7301,-3.4241134315596513,0.0,0.0,0.0,0.00045909600459160746
