r,omega,theta,phi,rho,mass
13.2001,-3.7096696469886723,3.1415936630677175,0.0,0.0,0.04171474651077299
13.2101,-3.710145962651805,3.1415936630677574,0.0,0.0,0.041795219755029436
13.2201,-3.710622719678558,3.1415936630677974,0.0,0.0,0.04187576552183871
13.2301,-3.711099918270097,3.141593663067837,0.0,0.0,0.04195638374189668
13.2401,-3.711577558627784,3.141593663067877,0.0,0.0,0.04203707434570682
13.2501,-3.71205564095318,3.1415936630679164,0.0,0.0,0.042117837263580135
13.2601,-3.7125341654480413,3.1415936630679564,0.0,0.0,0.042198672425635214
13.2701,-3.7130131323143223,3.141593663067996,0.0,0.0,0.04227957976179822
13.280100000000001,-3.7134925417541758,3.1415936630680354,0.0,0.0,0.0423605592018029
13.2901,-3.7139723939699505,3.141593663068075,0.0,0.0,0.042441610675190505
13.3001,-3.714452689164193,3.1415936630681145,0.0,0.0,0.04252273411130991
13.3101,-3.7149334275396466,3.1415936630681536,0.0,0.0,0.04260392943931754
13.3201,-3.7154146092992537,3.141593663068193,0.0,0.0,0.04268519658817739
13.3301,-3.7158962346461517,3.141593663068232,0.0,0.0,0.042766535486661005
13.3401,-3.7163783037836775,3.1415936630682717,0.0,0.0,0.04284794606334752
13.3501,-3.7168608169153634,3.141593663068311,0.0,0.0,0.042929428246623616
13.3601,-3.7173437742449407,3.14159366306835,0.0,0.0,0.04301098196468357
13.3701,-3.717827175976337,3.141593663068389,0.0,0.0,0.04309260714552922
13.3801,-3.7183110223136766,3.1415936630684276,0.0,0.0,0.04317430371696992
13.3901,-3.7187953134612837,3.1415936630684667,0.0,0.0,0.043256071606622634
13.4001,-3.7192800496236766,3.1415936630685057,0.0,0.0,0.043337910741911914
13.4101,-3.7197652310055735,3.1415936630685444,0.0,0.0,0.04341982105006985
13.4201,-3.7202508578118882,3.141593663068583,0.0,0.0,0.04350180245813608
13.4301,-3.720736930247733,3.141593663068622,0.0,0.0,0.04358385489295785
13.4401,-3.7212234485184172,3.1415936630686607,0.0,0.0,0.043665978281189954
13.4501,-3.7217104128294474,3.141593663068699,0.0,0.0,0.043748172549294764
13.4601,-3.7221978233865265,3.1415936630687376,0.0,0.0,0.043830437623542176
13.4701,-3.7226856803955566,3.141593663068776,0.0,0.0,0.04391277343000971
13.4801,-3.7231739840626354,3.1415936630688144,0.0,0.0,0.04399517989458242
13.4901,-3.72366273459406,3.141593663068853,0.0,0.0,0.044077656942952924
13.5001,-3.724151932196322,3.141593663068891,0.0,0.0,0.04416020450062143
13.5101,-3.7246415770761128,3.1415936630689294,0.0,0.0,0.04424282249289572
13.5201,-3.7251316694403203,3.1415936630689676,0.0,0.0,0.04432551084489109
13.530100000000001,-3.725622209496029,3.141593663069006,0.0,0.0,0.04440826948153047
13.5401,-3.726113197450522,3.141593663069044,0.0,0.0,0.04449109832754429
13.5501,-3.7266046335112786,3.141593663069082,0.0,0.0,0.044573997307470595
13.5601,-3.7270965178859763,3.14159366306912,0.0,0.0,0.04465696634565499
13.5701,-3.7275888507824892,3.141593663069158,0.0,0.0,0.044740005366250626
13.5801,-3.7280816324088897,3.141593663069196,0.0,0.0,0.04482311429321824
13.5901,-3.7285748629734465,3.1415936630692336,0.0,0.0,0.04490629305032613
13.6001,-3.729068542684626,3.1415936630692713,0.0,0.0,0.044989541561150176
13.6101,-3.729562671751092,3.141593663069309,0.0,0.0,0.04507285974907378
13.6201,-3.730057250381706,3.141593663069347,0.0,0.0,0.04515624753728799
13.6301,-3.730552278785526,3.1415936630693846,0.0,0.0,0.04523970484879131
13.6401,-3.7310477571718077,3.141593663069422,0.0,0.0,0.0453232316063899
13.6501,-3.7315436857500046,3.1415936630694596,0.0,0.0,0.045406827732697476
13.6601,-3.7320400647297673,3.141593663069497,0.0,0.0,0.045490493150135286
13.6701,-3.7325368943209427,3.1415936630695342,0.0,0.0,0.045574227780932175
13.6801,-3.7330341747335765,3.141593663069572,0.0,0.0,0.04565803154712452
13.6901,-3.733531906177911,3.1415936630696093,0.0,0.0,0.04574190437055632
13.7001,-3.7340300888643863,3.141593663069646,0.0,0.0,0.04582584617287911
13.7101,-3.734528723003639,3.1415936630696835,0.0,0.0,0.04590985687555197
13.7201,-3.735027808806503,3.1415936630697208,0.0,0.0,0.04599393639984156
13.7301,-3.7355273464840115,3.1415936630697576,0.0,0.0,0.04607808466682214
13.7401,-3.7360273362473926,3.141593663069795,0.0,0.0,0.0461623015973755
13.7501,-3.736527778308073,3.141593663069832,0.0,0.0,0.04624658711219101
13.7601,-3.737028672877676,3.1415936630698686,0.0,0.0,0.04633094113176561
13.7701,-3.737530020168023,3.1415936630699055,0.0,0.0,0.0464153635764038
13.780100000000001,-3.7380318203911322,3.1415936630699424,0.0,0.0,0.046499854366217674
13.7901,-3.7385340737592196,3.1415936630699792,0.0,0.0,0.04658441342112683
13.8001,-3.7390367804846987,3.141593663070016,0.0,0.0,0.04666904066085848
13.8101,-3.7395399407801784,3.141593663070053,0.0,0.0,0.04675373600494741
13.8201,-3.740043554858468,3.1415936630700894,0.0,0.0,0.046838499372735945
13.8301,-3.7405476229325716,3.1415936630701258,0.0,0.0,0.046923330683373995
13.8401,-3.7410521452156917,3.1415936630701626,0.0,0.0,0.04700822985581904
13.8501,-3.7415571219212285,3.141593663070199,0.0,0.0,0.0470931968088361
13.8601,-3.7420625532627785,3.1415936630702355,0.0,0.0,0.04717823146099778
13.8701,-3.742568439454136,3.141593663070272,0.0,0.0,0.047263333730684295
13.8801,-3.7430747807092932,3.1415936630703083,0.0,0.0,0.04734850353608333
13.8901,-3.7435815772424386,3.1415936630703443,0.0,0.0,0.04743374079519021
13.9001,-3.7440888292679593,3.1415936630703807,0.0,0.0,0.047519045425807815
13.9101,-3.744596537000438,3.1415936630704167,0.0,0.0,0.047604417345546574
13.9201,-3.745104700654656,3.141593663070453,0.0,0.0,0.04768985647182451
13.9301,-3.7456133204455924,3.141593663070489,0.0,0.0,0.04777536272186718
13.9401,-3.746122396588422,3.141593663070525,0.0,0.0,0.047860936012707744
13.9501,-3.746631929298518,3.141593663070561,0.0,0.0,0.047946576261186896
13.9601,-3.747141918791451,3.141593663070597,0.0,0.0,0.048032283383952906
13.9701,-3.7476523652829883,3.141593663070633,0.0,0.0,0.04811805729746162
13.9801,-3.748163268989095,3.141593663070669,0.0,0.0,0.04820389791797645
13.9901,-3.7486746301259335,3.1415936630707044,0.0,0.0,0.04828980516156836
14.0001,-3.749186448909864,3.1415936630707404,0.0,0.0,0.04837577894411592
14.0101,-3.749698725557442,3.141593663070776,0.0,0.0,0.0484618191813052
14.0201,-3.7502114602854233,3.1415936630708114,0.0,0.0,0.04854792578862992
14.030100000000001,-3.7507246533107588,3.141593663070847,0.0,0.0,0.0486340986813913
14.0401,-3.751238304850598,3.1415936630708825,0.0,0.0,0.04872033777469814
14.0501,-3.751752415122286,3.141593663070918,0.0,0.0,0.04880664298346682
14.0601,-3.7522669843433683,3.1415936630709536,0.0,0.0,0.0488930142224213
14.0701,-3.752782012731584,3.141593663070989,0.0,0.0,0.04897945140609308
14.0801,-3.7532975005048725,3.1415936630710246,0.0,0.0,0.04906595444882124
14.0901,-3.7538134478813694,3.1415936630710597,0.0,0.0,0.04915252326475243
14.1001,-3.754329855079407,3.1415936630710948,0.0,0.0,0.04923915776784085
14.1101,-3.754846722317516,3.1415936630711303,0.0,0.0,0.04932585787184829
14.1201,-3.7553640498144243,3.1415936630711654,0.0,0.0,0.0494126234903441
14.1301,-3.7558818377890564,3.1415936630712005,0.0,0.0,0.049499454536705165
14.1401,-3.7564000864605345,3.1415936630712356,0.0,0.0,0.04958635092411598
14.1501,-3.7569187960481787,3.1415936630712706,0.0,0.0,0.0496733125655686
14.1601,-3.7574379667715054,3.1415936630713057,0.0,0.0,0.04976033937386263
14.1701,-3.7579575988502287,3.1415936630713404,0.0,0.0,0.04984743126160525
14.1801,-3.758477692504261,3.1415936630713754,0.0,0.0,0.04993458814121121
