r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
5.660999999999923,0.0054028622032746085,0.028887871595131447,-0.005402862203274601,0.009108125744734559,-0.00010443165495665823,-0.0005583722340774428,0.0001044316549566581,-0.0001760505097648944,0.003960667061009412,-0.0006626533396112739,0.031238580631229796,0.000499904707680914,5.063662860735628e-06,-4.6995877433747265e-06,-5.063662860735628e-06
5.670999999999923,0.005401817021927265,0.028882283248914255,-0.0054018170219272575,0.009106363781763917,-0.00010460460445583878,-0.000559296955592965,0.00010460460445583864,-0.00017634206741096403,0.003981092560848365,-0.0006647646732949537,0.03123253754137023,0.0004997450499103343,5.0623760048646985e-06,-4.69709573013982e-06,-5.0623760048646985e-06
5.680999999999923,0.005400770111386782,0.02887668565709584,-0.005400770111386774,0.009104598903725674,-0.00010477749356792674,-0.0005602213542324799,0.0001047774935679266,-0.00017663352325668932,0.004001585008925631,-0.0006668781495003498,0.03122648445356193,0.0004995851540186785,5.0610871705200905e-06,-4.694600177789366e-06,-5.0610871705200905e-06
5.690999999999923,0.005399721472257533,0.028871078822907653,-0.005399721472257525,0.009102831111638683,-0.00010495032219218326,-0.0005611454294573596,0.00010495032219218312,-0.00017692487713224508,0.004022144487678209,-0.0006689937604162056,0.0312204213712993,0.0004994250202273196,5.059796359193398e-06,-4.692101090656739e-06,-5.059796359193398e-06
5.700999999999922,0.0053986711051449005,0.028865462749586537,-0.005398671105144893,0.009101060406523495,-0.00010512309022790097,-0.0005620691807291451,0.00010512309022790084,-0.0001772161288678592,0.004042771079367215,-0.0006711114982223675,0.031214348298082572,0.0004992646487579376,5.058503572378352e-06,-4.689598473081113e-06,-5.058503572378352e-06
5.710999999999922,0.005397619010655273,0.028859837440374708,-0.005397619010655265,0.009099286789402358,-0.00010529579757440408,-0.0005629926075095456,0.00010529579757440394,-0.0001775072782938128,0.004063464866077686,-0.0006732313550898092,0.0312082652374178,0.0004991040398325194,5.057208811570819e-06,-4.687092329407464e-06,-5.057208811570819e-06
5.720999999999922,0.005396565189396046,0.028854202898519775,-0.005396565189396038,0.009097510261299216,-0.00010546844413104839,-0.0005639157092604397,0.00010546844413104825,-0.00017779832524044022,0.004084225929718374,-0.0006753533231806553,0.03120217219281686,0.0004989431936733578,5.055912078268797e-06,-4.684582663986554e-06,-5.055912078268797e-06
5.730999999999922,0.00539550964197562,0.02884855912727472,-0.005395509641975612,0.009095730823239712,-0.00010564102979722137,-0.0005648384854438751,0.00010564102979722124,-0.00017808926953812927,0.004105054352021539,-0.0006774773946482057,0.031196069167797442,0.0004987821105030517,5.054613373972413e-06,-4.682069481174922e-06,-5.054613373972413e-06
5.7409999999999215,0.005394452369003404,0.028842906129897913,-0.0053944523690033965,0.009093948476251182,-0.00010581355447234228,-0.0005657609355220695,0.00010581355447234214,-0.00017838011101732121,0.004125950214542755,-0.00067960356163696,0.03118995616588306,0.0004986207905445054,5.053312700183925e-06,-4.67955278533488e-06,-5.053312700183925e-06
5.750999999999921,0.0053933933710898115,0.02883724390965309,-0.005393393371089804,0.00909216322136266,-0.00010598601805586214,-0.0005666830589574107,0.000105986018055862,-0.00017867084950851103,0.0041469135986606995,-0.0006817318162826412,0.031183833190603027,0.0004984592340209283,5.052010058407715e-06,-4.677032580834499e-06,-5.052010058407715e-06
