r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
8.860999999999855,0.012402102431663625,0.01240210243166363,-0.012402102431663627,-0.012402102431663625,-0.00038820225969097227,-0.0003882022596909723,0.0003882022596909723,0.00038820225969097227,0.01057776847474752,-0.0010384371771256402,0.024804204863327253,0.00032446674732012715,3.3778716165742636e-06,-2.7765068265140147e-06,-3.3778716165742636e-06
8.870999999999855,0.012398218563464422,0.012398218563464427,-0.012398218563464423,-0.012398218563464422,-0.0003885713424283948,-0.0003885713424283949,0.0003885713424283949,0.0003885713424283948,0.010611128105479165,-0.0010401855746380603,0.024796437126928847,0.0003243016424616951,3.3765145681998783e-06,-2.7740086580501853e-06,-3.3765145681998783e-06
8.880999999999855,0.012394331005569845,0.01239433100556985,-0.012394331005569846,-0.012394331005569845,-0.0003889401987299291,-0.00038894019872992916,0.00038894019872992916,0.0003889401987299291,0.010644549591371247,-0.0010419334766284551,0.024788662011139693,0.0003241364236972308,3.375156479623248e-06,-2.7715090780160663e-06,-3.375156479623248e-06
8.890999999999854,0.012390439760245325,0.01239043976024533,-0.012390439760245326,-0.012390439760245325,-0.0003893088283809751,-0.00038930882838097514,0.00038930882838097514,0.0003893088283809751,0.010678032946385014,-0.001043680876218353,0.024780879520490653,0.00032397109124565653,3.373797352352477e-06,-2.769008090597993e-06,-3.373797352352477e-06
8.900999999999854,0.01238654482975844,0.012386544829758445,-0.012386544829758442,-0.01238654482975844,-0.000389677231167074,-0.00038967723116707404,0.00038967723116707404,0.000389677231167074,0.010711578184324678,-0.0010454277665292147,0.024773089659516884,0.00032380564532600437,3.3724371878965645e-06,-2.7665056999839746e-06,-3.3724371878965645e-06
8.910999999999854,0.012382646216378914,0.012382646216378919,-0.012382646216378915,-0.012382646216378914,-0.00039004540687390864,-0.0003900454068739087,0.0003900454068739087,0.00039004540687390864,0.010745185318837398,-0.0010471741406824539,0.02476529243275783,0.0003236400861574153,3.371075987765401e-06,-2.76400191036368e-06,-3.371075987765401e-06
8.920999999999854,0.012378743922378607,0.012378743922378612,-0.012378743922378609,-0.012378743922378607,-0.0003904133552873036,-0.00039041335528730364,0.00039041335528730364,0.0003904133552873036,0.010778854363413273,-0.0010489199917994598,0.024757487844757217,0.0003234744139591385,3.369713753469763e-06,-2.76149672592843e-06,-3.369713753469763e-06
8.930999999999854,0.012374837950031525,0.01237483795003153,-0.012374837950031527,-0.012374837950031525,-0.0003907810761932252,-0.00039078107619322527,0.00039078107619322527,0.0003907810761932252,0.010812585331385325,-0.0010506653130016178,0.024749675900063054,0.0003233086289505315,3.3683504865213157e-06,-2.758990150871189e-06,-3.3683504865213157e-06
8.940999999999853,0.012370928301613814,0.012370928301613819,-0.012370928301613815,-0.012370928301613814,-0.0003911485693777819,-0.00039114856937778197,0.00039114856937778197,0.0003911485693777819,0.010846378235929493,-0.0010524100974103317,0.02474185660322763,0.00032314273135105974,3.366986188432609e-06,-2.756482189386558e-06,-3.366986188432609e-06
8.950999999999853,0.012367014979403753,0.012367014979403759,-0.012367014979403755,-0.012367014979403753,-0.00039151583462722437,-0.0003915158346272244,0.0003915158346272244,0.00039151583462722437,0.01088023309006462,-0.0010541543381470443,0.02473402995880751,0.00032297672138029577,3.3656208607170717e-06,-2.7539728456707615e-06,-3.3656208607170717e-06
8.960999999999853,0.012363097985681765,0.01236309798568177,-0.012363097985681767,-0.012363097985681765,-0.00039188287172794566,-0.0003918828717279457,0.0003918828717279457,0.00039188287172794566,0.01091414990665244,-0.0010558980283332598,0.024726195971363534,0.0003228105992579189,3.3642545048890126e-06,-2.75146212392164e-06,-3.3642545048890126e-06
8.970999999999853,0.012359177322730402,0.012359177322730407,-0.012359177322730404,-0.012359177322730402,-0.00039224968046648134,-0.0003922496804664814,0.0003922496804664814,0.00039224968046648134,0.01094812869839757,-0.001057641161090565,0.024718354645460808,0.000322644365203715,3.3628871224636164e-06,-2.7489500283386407e-06,-3.3628871224636164e-06
8.980999999999852,0.012355252992834354,0.012355252992834359,-0.012355252992834355,-0.012355252992834354,-0.0003926162606295098,-0.0003926162606295099,0.0003926162606295099,0.0003926162606295098,0.0109821694778475,-0.0010593837295406507,0.02471050598566871,0.0003224780194375764,3.3615187149569446e-06,-2.7464365631228133e-06,-3.3615187149569446e-06
8.990999999999852,0.012351324998280441,0.012351324998280446,-0.012351324998280443,-0.012351324998280441,-0.0003929826120038524,-0.00039298261200385243,0.00039298261200385243,0.0003929826120038524,0.011016272257392582,-0.0010611257268053336,0.024702649996560886,0.0003223115621795006,3.360149283885928e-06,-2.7439217324767916e-06,-3.360149283885928e-06
9.000999999999852,0.012347393341357616,0.012347393341357621,-0.012347393341357617,-0.012347393341357616,-0.00039334873437647333,-0.0003933487343764734,0.0003933487343764734,0.00039334873437647333,0.011050437049266027,-0.0010628671460065774,0.024694786682715235,0.00032214499364959046,3.358778830768366e-06,-2.7414055406047907e-06,-3.358778830768366e-06
9.010999999999852,0.01234345802435696,0.012343458024356966,-0.012343458024356962,-0.01234345802435696,-0.0003937146275344803,-0.00039371462753448036,0.00039371462753448036,0.0003937146275344803,0.01108466386554389,-0.0010646079802665144,0.024686916048713925,0.00032197831406805406,3.3574073571229288e-06,-2.7388879917126e-06,-3.3574073571229288e-06
9.020999999999852,0.012339519049571685,0.01233951904957169,-0.012339519049571687,-0.012339519049571685,-0.00039408029126512437,-0.0003940802912651244,0.0003940802912651244,0.00039408029126512437,0.011118952718145064,-0.0010663482227074672,0.024679038099143374,0.00032181152365520337,3.356034864469147e-06,-2.7363690900075658e-06,-3.356034864469147e-06
9.030999999999851,0.012335576419297126,0.012335576419297131,-0.012335576419297127,-0.012335576419297126,-0.0003944457253558002,-0.00039444572535580027,0.00039444572535580027,0.0003944457253558002,0.011153303618831274,-0.0010680878664519704,0.024671152838594255,0.0003216446226314549,3.3546613543274164e-06,-2.7338488396985915e-06,-3.3546613543274164e-06
9.040999999999851,0.012331630135830744,0.012331630135830749,-0.012331630135830746,-0.012331630135830744,-0.0003948109295940462,-0.00039481092959404627,0.00039481092959404627,0.0003948109295940462,0.011187716579207072,-0.0010698269046227915,0.02466326027166149,0.00032147761121732846,3.35328682821899e-06,-2.7313272449961206e-06,-3.35328682821899e-06
9.050999999999851,0.012327680201472126,0.012327680201472131,-0.012327680201472128,-0.012327680201472126,-0.0003951759037675448,-0.00039517590376754485,0.00039517590376754485,0.0003951759037675448,0.011222191610719823,-0.0010715653303429529,0.02465536040294426,0.00032131048963344707,3.3519112876659797e-06,-2.7288043101121342e-06,-3.3519112876659797e-06
9.06099999999985,0.012323726618522981,0.012323726618522986,-0.012323726618522983,-0.012323726618522981,-0.0003955406476641225,-0.0003955406476641226,0.0003955406476641226,0.0003955406476641225,0.011256728724659708,-0.0010733031367357534,0.024647453237045966,0.0003211432581005367,3.350534734191352e-06,-2.726280039260137e-06,-3.350534734191352e-06
9.07099999999985,0.01231976938928714,0.012319769389287145,-0.012319769389287142,-0.01231976938928714,-0.00039590516107175023,-0.0003959051610717503,0.0003959051610717503,0.00039590516107175023,0.011291327932159713,-0.0010750403169247898,0.024639538778574284,0.00032097591683942565,3.349157169318926e-06,-2.723754436655152e-06,-3.349157169318926e-06
