phi,theta,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-0.8975979010256552,2.6927937030769655,phi_theta,0.5,2.6927937030769655,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952602966113,0.3677695260296611,0.12664392767512725,0.1,0.12664392767512725,1.2664392767512724,0.026643927675127244,0.10000281870629348,0.12166811846794227,0.8219311678814424,218
-0.8975979010256552,4.487989505128276,phi_theta,0.5,4.487989505128276,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677695260276645,0.3677695260276645,0.12664392767509813,0.1,0.12664392767509813,1.2664392767509813,0.026643927675098128,0.10000281874778467,0.12166812760579275,0.8219311064915528,218
-0.8975979010256552,6.283185307179586,phi_theta,0.5,6.283185307179586,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677695260268052,0.3677695260268052,0.1266439276750856,0.1,0.1266439276750856,1.2664392767508559,0.026643927675085582,0.10000281876561817,0.12166813153352007,0.8219310801042998,218
0.8975979010256552,-6.283185307179586,phi_theta,0.5,-6.283185307179586,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769288176663,0.36776769288176664,0.12664381943234174,0.1,0.12664381943234174,1.2664381943234173,0.02664381943234173,0.1000026951100933,0.12165835665053801,0.8219961033778361,218
0.8975979010256552,-4.487989505128276,phi_theta,0.5,-4.487989505128276,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677676928825049,0.3677676928825049,0.12664381943235242,0.1,0.12664381943235242,1.2664381943235241,0.026643819432352417,0.10000269509347276,0.12165834872911696,0.8219961567630478,218
0.8975979010256552,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769288422653,0.3677676928842265,0.12664381943237737,0.1,0.12664381943237737,1.2664381943237737,0.02664381943237737,0.10000269505480228,0.12165833029880962,0.8219962809713225,218
0.8975979010256552,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677676928926945,0.3677676928926945,0.12664381943250058,0.1,0.12664381943250058,1.2664381943250058,0.026643819432500576,0.1000026948637793,0.12165823925686853,0.821996894535307,218
0.8975979010256552,0.8975979010256552,phi_theta,0.5,0.8975979010256552,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769289269535,0.36776769289269534,0.12664381943250058,0.1,0.12664381943250058,1.2664381943250058,0.026643819432500576,0.1000026948637793,0.12165823925682161,0.821996894535624,218
0.8975979010256552,2.6927937030769655,phi_theta,0.5,2.6927937030769655,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769288422626,0.3677676928842263,0.12664381943237754,0.1,0.12664381943237754,1.2664381943237752,0.026643819432377536,0.10000269505480254,0.12165833029894678,0.821996280970398,218
0.8975979010256552,4.487989505128276,phi_theta,0.5,4.487989505128276,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677676928825036,0.3677676928825036,0.12664381943235253,0.1,0.12664381943235253,1.2664381943235252,0.026643819432352528,0.10000269509347261,0.12165834872915848,0.8219961567627659,218
0.8975979010256552,6.283185307179586,phi_theta,0.5,6.283185307179586,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769288176716,0.36776769288176714,0.1266438194323416,0.1,0.1266438194323416,1.266438194323416,0.026643819432341592,0.10000269511009376,0.121658356650519,0.8219961033779684,218
2.6927937030769655,-6.283185307179586,phi_theta,0.5,-6.283185307179586,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123030455915,0.17636123030455914,0.12014163603800308,0.1,0.12014163603800308,1.2014163603800307,0.020141636038003077,0.10000217352204072,0.1162984829044842,0.8598751335748066,190
2.6927937030769655,-4.487989505128276,phi_theta,0.5,-4.487989505128276,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.763612303046137,0.1763612303046137,0.12014163603800336,0.1,0.12014163603800336,1.2014163603800336,0.020141636038003355,0.10000217350835518,0.11629847943991906,0.8598751590730581,190
2.6927937030769655,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123030473154,0.17636123030473155,0.1201416360380041,0.1,0.1201416360380041,1.201416360380041,0.02014163603800409,0.10000217347651369,0.11629847137996219,0.8598752183921112,190
2.6927937030769655,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.76361230305322,0.176361230305322,0.12014163603800772,0.1,0.12014163603800772,1.2014163603800772,0.020141636038007713,0.10000217331921184,0.11629843155762068,0.8598755114738175,190
2.6927937030769655,0.8975979010256552,phi_theta,0.5,0.8975979010256552,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123030531916,0.17636123030531917,0.12014163603800772,0.1,0.12014163603800772,1.2014163603800772,0.020141636038007713,0.10000217331921211,0.11629843155800697,0.8598755114709637,190
2.6927937030769655,2.6927937030769655,phi_theta,0.5,2.6927937030769655,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.763612303047326,0.1763612303047326,0.12014163603800412,0.1,0.12014163603800412,1.2014163603800412,0.020141636038004118,0.10000217347651312,0.11629847138030018,0.8598752183896073,190
2.6927937030769655,4.487989505128276,phi_theta,0.5,4.487989505128276,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123030461395,0.17636123030461395,0.12014163603800339,0.1,0.12014163603800339,1.2014163603800339,0.020141636038003383,0.10000217350835534,0.11629847944010026,0.8598751590717197,190
