phi,rho,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-2.6927937030769655,0.8975979010256552,phi_rho,0.5,0.0,-2.6927937030769655,0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2551018230647546,0.12551018230647545,0.11909120430579853,0.1,0.11909120430579853,1.1909120430579851,0.019091204305798526,0.10000329429232205,0.11548900779887553,0.8659117971337853,241
-2.6927937030769655,2.6927937030769655,phi_rho,0.5,0.0,-2.6927937030769655,2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.447817402986921,0.14478174029869212,0.11947193542217656,0.1,0.11947193542217656,1.1947193542217656,0.019471935422176553,0.10000270915876508,0.11579520530445929,0.8636170115664881,216
-2.6927937030769655,4.487989505128276,phi_rho,0.5,0.0,-2.6927937030769655,4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.6711710920591687,0.16711710920591688,0.11993837170848941,0.1,0.11993837170848941,1.199383717084894,0.019938371708489402,0.10000302839078686,0.11614407285272435,0.8610256721201346,197
-2.6927937030769655,6.283185307179586,phi_rho,0.5,0.0,-2.6927937030769655,6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.763624828906866,0.1763624828906866,0.12014166399274036,0.1,0.12014166399274036,1.2014166399274036,0.020141663992740352,0.10000221364172797,0.11633006109514434,0.8596420624238983,190
-0.8975979010256552,-6.283185307179586,phi_rho,0.5,0.0,-0.8975979010256552,-6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952604699615,0.36776952604699614,0.12664392767537969,0.1,0.12664392767537969,1.2664392767537969,0.02664392767537968,0.10000281834892302,0.12166803906883641,0.8219317013266252,218
-0.8975979010256552,-4.487989505128276,phi_rho,0.5,0.0,-0.8975979010256552,-4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.5725729838725386,0.35725729838725384,0.12604422688371264,0.1,0.12604422688371264,1.2604422688371264,0.026044226883712635,0.10000264410970985,0.12110901035798573,0.8257242282313461,224
-0.8975979010256552,-2.6927937030769655,phi_rho,0.5,0.0,-0.8975979010256552,-2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.248868372306148,0.3248868372306148,0.12453127145697249,0.1,0.12453127145697249,1.2453127145697247,0.02453127145697248,0.1000022281731666,0.11987340282907584,0.8342319965318495,243
-0.8975979010256552,-0.8975979010256552,phi_rho,0.5,0.0,-0.8975979010256552,-0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,2.8797385336891654,0.28797385336891657,0.12315554344843563,0.1,0.12315554344843563,1.2315554344843562,0.023155543448435623,0.10000258741507852,0.11874819694296197,0.8421398386630874,267
-0.8975979010256552,0.8975979010256552,phi_rho,0.5,0.0,-0.8975979010256552,0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,2.879738533681026,0.2879738533681026,0.12315554344843178,0.1,0.12315554344843178,1.2315554344843178,0.02315554344843178,0.100002587415084,0.11874819694323027,0.8421398386612308,267
-0.8975979010256552,2.6927937030769655,phi_rho,0.5,0.0,-0.8975979010256552,2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.2488683722863323,0.3248868372286332,0.12453127145695435,0.1,0.12453127145695435,1.2453127145695435,0.024531271456954343,0.10000222817318198,0.11987340283471516,0.8342319964927323,243
-0.8975979010256552,4.487989505128276,phi_rho,0.5,0.0,-0.8975979010256552,4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.5725729838563858,0.3572572983856386,0.1260442268836904,0.1,0.1260442268836904,1.260442268836904,0.026044226883690402,0.10000264410972913,0.12110901036461559,0.8257242281863026,224
-0.8975979010256552,6.283185307179586,phi_rho,0.5,0.0,-0.8975979010256552,6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952604699615,0.36776952604699614,0.12664392767537969,0.1,0.12664392767537969,1.2664392767537969,0.02664392767537968,0.10000281834892302,0.12166803906883641,0.8219317013266252,218
0.8975979010256552,-6.283185307179586,phi_rho,0.5,0.0,0.8975979010256552,-6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769289112137,0.3677676928911214,0.12664381943247752,0.1,0.12664381943247752,1.2664381943247751,0.02664381943247751,0.10000269490044239,0.12165825616894914,0.8219967805684042,218
