anchor,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
phi_offsheet,0.5,0.0,0.6853981633974483,0.0,-0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,5.6027902759390065,0.5602790275939007,0.06952276171106407,0.06952276171106407,0.10093997317760778,0.6952276171106406,-0.030477238288935934,0.10000265231521833,0.07981260704359516,1.2529681214472168,250
phi_offsheet,0.5,0.0,0.6853981633974483,0.0,-0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,4.003120263571104,0.4003120263571104,0.12201056918162446,0.1,0.12201056918162446,1.2201056918162445,0.02201056918162446,0.10000278455198151,0.11822103156538726,0.8458967345135256,242
phi_offsheet,0.5,0.0,0.6853981633974483,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.787054679322146,0.3787054679322146,0.12733116161442332,0.1,0.12733116161442332,1.273311616144233,0.02733116161442331,0.10000279916320076,0.12221952141938104,0.8182228010863636,241
phi_offsheet,0.5,0.0,0.6853981633974483,0.0,0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.5655828231236826,0.35655828231236825,0.13254821681064072,0.1,0.13254821681064072,1.325482168106407,0.03254821681064071,0.10000281375662314,0.1261750759821833,0.7925718528653325,241
phi_offsheet,0.5,0.0,0.6853981633974483,0.0,0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.411472698310113,0.14114726983101128,0.1750916228510713,0.1,0.1750916228510713,1.750916228510713,0.0750916228510713,0.10000294423553115,0.15885298615527263,0.6295314092350908,234
mixed_offsheet,0.5,3.141592653589793,0.6853981633974483,1.5707963267948966,-0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,5.602790275807007,0.5602790275807007,0.06952276171433741,0.06952276171433741,0.10093997222938621,0.6952276171433741,-0.030477238285662595,0.10000267827869516,0.07980729245383963,1.2530518854093,250
mixed_offsheet,0.5,3.141592653589793,0.6853981633974483,1.5707963267948966,-0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,4.0031202634449015,0.40031202634449015,0.12201056918091693,0.1,0.12201056918091693,1.2201056918091693,0.022010569180916928,0.10000281235750905,0.11822361019052434,0.8458785194966437,242
mixed_offsheet,0.5,3.141592653589793,0.6853981633974483,1.5707963267948966,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.787054679309144,0.3787054679309144,0.1273311616133202,0.1,0.1273311616133202,1.2733116161332019,0.027331161613320193,0.10000282717321982,0.12222310756399649,0.8181990228063704,241
mixed_offsheet,0.5,3.141592653589793,0.6853981633974483,1.5707963267948966,0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.5655828229434365,0.35655828229434366,0.132548216809153,0.1,0.132548216809153,1.3254821680915299,0.032548216809152986,0.10000284197108959,0.12617972009644307,0.7925429054261202,241
mixed_offsheet,0.5,3.141592653589793,0.6853981633974483,1.5707963267948966,0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.411472696230732,0.1411472696230732,0.17509162282273913,0.1,0.17509162282273913,1.7509162282273911,0.07509162282273912,0.10000297428762275,0.1585108461727431,0.6308904198179649,233
