family,anchor_label,theta,phi,rho,u0,u1,u2,u3,R,J_ang_direct,J_ang_formula,formula_abs_error,vacuum_hit,sign_flip_hit
lifted_chart_linear,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,0.7760372577342058,-0.3992115869448646,-0.32662766204579824,-0.3629196244953314,0.682438244588039,0.10569302841844548,0.1056930284184455,1.3877787807814457e-17,False,False
lifted_chart_linear,omega_pi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12375000000000001,0.12375000000000001,0.0,True,False
lifted_chart_linear,theta_pi,3.141592653589793,0.0,0.0,-0.15643446504023104,0.9876883405951377,0.0,0.0,1.7278759594743864,0.04043523182402475,0.04043523182402475,0.0,False,False
lifted_chart_linear,phi_pi,0.0,3.141592653589793,0.0,0.15643446504023092,0.0,0.9876883405951378,0.0,1.413716694115407,0.06040324753959258,0.060403247539592544,3.469446951953614e-17,False,False
lifted_chart_linear,rho_pi,0.0,0.0,3.141592653589793,6.123233995736766e-17,0.0,0.0,1.0,1.5707963267948966,0.050153985902957186,0.050153985902957214,2.7755575615628914e-17,False,False
periodic_topology_ready,origin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.87500000000001,42.875,7.105427357601002e-15,True,False
periodic_topology_ready,theta_quarter,0.7853981633974483,0.0,0.0,-0.7858549481688633,0.6184108670119836,0.0,0.0,2.474873734152916,1.8929418259696666,1.8929418259696662,4.440892098500626e-16,False,False
periodic_topology_ready,phi_quarter,0.0,0.7853981633974483,0.0,-0.7858549481688633,0.0,0.6184108670119836,0.0,2.474873734152916,1.8929418259696662,1.8929418259696662,0.0,False,False
periodic_topology_ready,rho_quarter,0.0,0.0,0.7853981633974483,-0.7858549481688633,0.0,0.0,0.6184108670119836,2.474873734152916,1.8929418259696662,1.8929418259696664,2.220446049250313e-16,False,False
periodic_topology_ready,omega_quarter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.87500000000001,42.875,7.105427357601002e-15,True,False
periodic_topology_ready,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,-0.4130330246060658,-0.5258021556266086,-0.5258021556266086,-0.5258021556266086,4.286607049870561,0.6842231610279802,0.6842231610279801,1.1102230246251565e-16,False,False
periodic_topology_ready,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.4130330246060658,0.5258021556266086,0.5258021556266086,0.5258021556266086,4.286607049870561,0.6842231610279802,0.6842231610279801,1.1102230246251565e-16,False,False
periodic_topology_ready,omega_pi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.87500000000001,42.875,7.105427357601002e-15,True,False
periodic_topology_ready,theta_pi,3.141592653589793,0.0,0.0,1.0,4.286263797015736e-16,0.0,0.0,4.286263797015736e-16,-42.87500000000001,-42.875,7.105427357601002e-15,True,False
periodic_topology_ready,phi_pi,0.0,3.141592653589793,0.0,1.0,0.0,4.286263797015736e-16,0.0,4.286263797015736e-16,-42.87500000000001,-42.875,7.105427357601002e-15,True,False
periodic_topology_ready,rho_pi,0.0,0.0,3.141592653589793,1.0,0.0,0.0,4.286263797015736e-16,4.286263797015736e-16,-42.87500000000001,-42.875,7.105427357601002e-15,True,False
