family,function_class,theta,phi,rho,theta_label,phi_label,rho_label,beta,gamma,delta,R,J_ang_direct,J_ang_formula,formula_abs_error,vacuum_hit,sign_flip_hit,singular_sheet_hit
lifted_chart_linear,L,0.0,-4.71238898038469,1.5707963267948966,0,-3pi/2,pi/2,0.0,-2.1205750411731104,0.7853981633974483,2.2613466740671195,0.01438142853434972,0.014381428534349719,1.734723475976807e-18,False,False,False
lifted_chart_linear,L,0.0,-4.71238898038469,3.141592653589793,0,-3pi/2,pi,0.0,-2.1205750411731104,1.5707963267948966,2.638984578492015,0.004123326333664925,0.0041233263336649265,1.734723475976807e-18,False,False,False
lifted_chart_linear,L,0.0,-4.71238898038469,4.71238898038469,0,-3pi/2,3pi/2,0.0,-2.1205750411731104,2.356194490192345,3.1699354852834314,9.890415599692263e-06,9.89041559969226e-06,3.3881317890172014e-21,False,False,False
lifted_chart_linear,L,0.0,-4.71238898038469,6.283185307179586,0,-3pi/2,2pi,0.0,-2.1205750411731104,3.141592653589793,3.790309077942813,0.0031441680451389634,0.003144168045138964,4.336808689942018e-19,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,-6.283185307179586,0,-pi,-2pi,0.0,-1.413716694115407,-3.141592653589793,3.4450252963236645,0.0009309259430004544,0.0009309259430004549,5.421010862427522e-19,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,-4.71238898038469,0,-pi,-3pi/2,0.0,-1.413716694115407,-2.356194490192345,2.747771345442222,0.0024133087265663746,0.0024133087265663755,8.673617379884035e-19,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,-3.141592653589793,0,-pi,-pi,0.0,-1.413716694115407,-1.5707963267948966,2.1132903235222873,0.020323771126440487,0.020323771126440494,6.938893903907228e-18,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,-1.5707963267948966,0,-pi,-pi/2,0.0,-1.413716694115407,-0.7853981633974483,1.6172338007501204,0.047213122275985196,0.0472131222759852,6.938893903907228e-18,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,-0.7853981633974483,0,-pi,-pi/4,0.0,-1.413716694115407,-0.39269908169872414,1.4672448534541247,0.05686889266042763,0.056868892660427606,2.7755575615628914e-17,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,0.0,0,-pi,0,0.0,-1.413716694115407,0.0,1.413716694115407,0.06040324753959258,0.060403247539592544,3.469446951953614e-17,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,0.7853981633974483,0,-pi,pi/4,0.0,-1.413716694115407,0.39269908169872414,1.4672448534541247,0.05686889266042763,0.056868892660427606,2.7755575615628914e-17,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,1.5707963267948966,0,-pi,pi/2,0.0,-1.413716694115407,0.7853981633974483,1.6172338007501204,0.047213122275985196,0.0472131222759852,6.938893903907228e-18,False,False,False
