family,variable,scan_value,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,singular_sheet_hit
periodic_simple,theta,-2.429825568010856,0.0,-1.4369802544983088,0.0,0.0,1.4369802544983088,0.1334170614174669,-0.9910599818995457,0.0,0.0,1.0,0.9910599818995457,-1.3423014059499812,False
periodic_simple,theta,-2.4175537217077703,0.0,-1.4573147106983786,0.0,0.0,1.4573147106983786,0.11323820204931333,-0.9935678686414124,0.0,0.0,1.0,0.9935678686414124,-1.2977330407284464,False
periodic_simple,theta,-2.405281875404685,0.0,-1.477429700663441,0.0,0.0,1.477429700663441,0.09323103401178905,-0.9956445019669885,0.0,0.0,1.0,0.9956445019669885,-1.254066589992192,False
periodic_simple,theta,-2.3930100291016,0.0,-1.4973221951499973,0.0,0.0,1.4973221951499973,0.07340804177313014,-0.9973019900727333,0.0,0.0,1.0,0.9973019900727333,-1.2113175783271104,False
periodic_simple,theta,-2.380738182798515,0.0,-1.5169891984215476,0.0,0.0,1.5169891984215476,0.05378116833526022,-0.9985527456937338,0.0,0.0,1.0,0.9985527456937338,-1.1694990812138113,False
periodic_simple,theta,-2.36846633649543,0.0,-1.5364277486997406,0.0,0.0,1.5364277486997406,0.03436181247214807,-0.9994094585522136,0.0,0.0,1.0,0.9994094585522136,-1.1286218012150828,False
periodic_simple,theta,-2.356194490192345,0.0,-1.5556349186104048,0.0,0.0,1.5556349186104048,0.015160827336651648,-0.999885068052558,0.0,0.0,1.0,0.999885068052558,-1.0886941484005472,False
periodic_simple,theta,-2.3439226438892597,0.0,-1.5746078156244012,0.0,0.0,1.5746078156244012,-0.003811479600977581,-0.9999927362852449,0.0,0.0,1.0,0.9999927362852449,-1.049722324454452,False
periodic_simple,theta,-2.3316507975861747,0.0,-1.5933435824932274,0.0,0.0,1.5933435824932274,-0.022545345322652517,-0.9997458213987606,0.0,0.0,1.0,0.9997458213987606,-1.0117104099231753,False
periodic_simple,theta,-2.3193789512830896,0.0,-1.6118393976793084,0.0,0.0,1.6118393976793084,-0.04103154878246845,-0.9991578513951196,0.0,0.0,1.0,0.9991578513951196,-0.9746604540721349,False
periodic_simple,theta,-2.3071071049800045,0.0,-1.6300924757809099,0.0,0.0,1.6300924757809099,-0.05926140722198871,-0.9982424984010999,0.0,0.0,1.0,0.9982424984010999,-0.9385725668372717,False
periodic_simple,theta,-2.2948352586769194,0.0,-1.6481000679516105,0.0,0.0,1.6481000679516105,-0.07722677132776963,-0.9970135534636871,0.0,0.0,1.0,0.9970135534636871,-0.9034450123737975,False
periodic_simple,theta,-2.2825634123738343,0.0,-1.665859462314266,0.0,0.0,1.665859462314266,-0.09492001928000231,-0.9954849019145815,0.0,0.0,1.0,0.9954849019145815,-0.8692743037242816,False
periodic_simple,theta,-2.270291566070749,0.0,-1.68336798436941,0.0,0.0,1.68336798436941,-0.11233404974282313,-0.9936704993449171,0.0,0.0,1.0,0.9936704993449171,-0.8360552981491034,False
periodic_simple,theta,-2.258019719767664,0.0,-1.7006229973980211,0.0,0.0,1.7006229973980211,-0.12946227384824868,-0.9915843482276436,0.0,0.0,1.0,0.9915843482276436,-0.8037812926846379,False
periodic_simple,theta,-2.2457478734645786,0.0,-1.7176219028586082,0.0,0.0,1.7176219028586082,-0.14629860622689128,-0.9892404752213028,0.0,0.0,1.0,0.9892404752213028,-0.7724441195179764,False
periodic_simple,theta,-2.233476027161494,0.0,-1.7343621407785335,0.0,0.0,1.7343621407785335,-0.16283745513952108,-0.9866529091852335,0.0,0.0,1.0,0.9866529091852335,-0.7420342407913911,False
periodic_simple,theta,-2.2212041808584084,0.0,-1.750841190139544,0.0,0.0,1.750841190139544,-0.1790737117643099,-0.9838356599325685,0.0,0.0,1.0,0.9838356599325685,-0.7125408424747051,False
periodic_simple,theta,-2.208932334555323,0.0,-1.7670565692574196,0.0,0.0,1.7670565692574196,-0.19500273869502432,-0.9808026977437615,0.0,0.0,1.0,0.9808026977437615,-0.6839519269693763,False
periodic_simple,theta,-2.1966604882522383,0.0,-1.7830058361557086,0.0,0.0,1.7830058361557086,-0.21062035770578236,-0.9775679336597985,0.0,0.0,1.0,0.9775679336597985,-0.6562544041337696,False
periodic_simple,theta,-2.1843886419491527,0.0,-1.7986865889334849,0.0,0.0,1.7986865889334849,-0.22592283683802994,-0.9741452005707655,0.0,0.0,1.0,0.9741452005707655,-0.6294341804450793,False
periodic_simple,theta,-2.172116795646068,0.0,-1.8140964661270556,0.0,0.0,1.8140964661270556,-0.24090687686527762,-0.970548235112,0.0,0.0,1.0,0.970548235112,-0.6034762460391553,False
periodic_simple,theta,-2.1598449493429825,0.0,-1.8292331470656003,0.0,0.0,1.8292331470656003,-0.25556959719088856,-0.9667906603767369,0.0,0.0,1.0,0.9667906603767369,-0.5783647593949813,False
periodic_simple,theta,-2.147573103039898,0.0,-1.8440943522206437,0.0,0.0,1.8440943522206437,-0.26990852123366355,-0.9628859694509297,0.0,0.0,1.0,0.9628859694509297,-0.5540831294558443,False
periodic_simple,theta,-2.1353012567368124,0.0,-1.858677843549356,0.0,0.0,1.858677843549356,-0.28392156135542335,-0.9588475097727993,0.0,0.0,1.0,0.9588475097727993,-0.5306140950037351,False
periodic_simple,theta,-2.1230294104337277,0.0,-1.872981424831583,0.0,0.0,1.872981424831583,-0.29760700338391516,-0.954688468316679,0.0,0.0,1.0,0.954688468316679,-0.5079398011276428,False
periodic_simple,theta,-2.110757564130642,0.0,-1.8870029420005987,0.0,0.0,1.8870029420005987,-0.31096349078353364,-0.9504218575978349,0.0,0.0,1.0,0.9504218575978349,-0.4860418726495005,False
periodic_simple,theta,-2.0984857178275576,0.0,-1.9007402834674907,0.0,0.0,1.9007402834674907,-0.32399000852521187,-0.9460605024922207,0.0,0.0,1.0,0.9460605024922207,-0.46490148439403856,False
periodic_simple,theta,-2.086213871524472,0.0,-1.9141913804391653,0.0,0.0,1.9141913804391653,-0.33668586670574335,-0.941617027862497,0.0,0.0,1.0,0.941617027862497,-0.444499428210109,False
periodic_simple,theta,-2.0739420252213865,0.0,-1.9273542072298953,0.0,0.0,1.9273542072298953,-0.3490506839654566,-0.9371038469792166,0.0,0.0,1.0,0.9371038469792166,-0.42481617667158367,False
periodic_simple,theta,-2.061670178918302,0.0,-1.9402267815663812,0.0,0.0,1.9402267815663812,-0.36108437075184063,-0.9325331507237409,0.0,0.0,1.0,0.9325331507237409,-0.4058319434052081,False
periodic_simple,theta,-2.0493983326152163,0.0,-1.9528071648862793,0.0,0.0,1.9528071648862793,-0.3727871124752505,-0.9279168975573001,0.0,0.0,1.0,0.9279168975573001,-0.38752674001108905,False
periodic_simple,theta,-2.0371264863121317,0.0,-1.9650934626301337,0.0,0.0,1.9650934626301337,-0.38415935260128137,-0.9232668042386039,0.0,0.0,1.0,0.9232668042386039,-0.3698804295586301,False
periodic_simple,theta,-2.024854640009046,0.0,-1.9770838245266988,0.0,0.0,1.9770838245266988,-0.3952017757228628,-0.9185943372705364,0.0,0.0,1.0,0.9185943372705364,-0.35287277665661876,False
periodic_simple,theta,-2.0125827937059615,0.0,-1.9887764448715752,0.0,0.0,1.9887764448715752,-0.40591529065343096,-0.9139107050547886,0.0,0.0,1.0,0.9139107050547886,-0.33648349411104833,False
periodic_simple,theta,-2.000310947402876,0.0,-2.0001695627991496,0.0,0.0,2.0001695627991496,-0.41630101358092386,-0.9092268507317057,0.0,0.0,1.0,0.9092268507317057,-0.3206922861977685,False
periodic_simple,theta,-1.9880391010997913,0.0,-2.0112614625477674,0.0,0.0,2.0112614625477674,-0.4263602513205869,-0.9045534456812632,0.0,0.0,1.0,0.9045534456812632,-0.30547888858960154,False
periodic_simple,theta,-1.9757672547967058,0.0,-2.022050473718127,0.0,0.0,2.022050473718127,-0.4360944847029068,-0.8999008836598096,0.0,0.0,1.0,0.8999008836598096,-0.2908231049887601,False
periodic_simple,theta,-1.9634954084936211,0.0,-2.032534971524831,0.0,0.0,2.032534971524831,-0.44550535213120834,-0.8952792755461549,0.0,0.0,1.0,0.8952792755461549,-0.27670484052564986,False
periodic_simple,theta,-1.9512235621905356,0.0,-2.0427133770410744,0.0,0.0,2.0427133770410744,-0.4545946333417581,-0.8906984446696158,0.0,0.0,1.0,0.8906984446696158,-0.26310413199413313,False
periodic_simple,theta,-1.93895171588745,0.0,-2.052584157436426,0.0,0.0,2.052584157436426,-0.4633642333974588,-0.8861679226918482,0.0,0.0,1.0,0.8861679226918482,-0.25000117500138336,False
periodic_simple,theta,-1.9266798695843654,0.0,-2.062145826207665,0.0,0.0,2.062145826207665,-0.4718161669445205,-0.8816969460136405,0.0,0.0,1.0,0.8816969460136405,-0.23737634811739436,False
periodic_simple,theta,-1.91440802328128,0.0,-2.0713969434026462,0.0,0.0,2.0713969434026462,-0.47995254275979937,-0.8772944526773225,0.0,0.0,1.0,0.8772944526773225,-0.22521023411521818,False
