family,q_hash,class_multiplicity,point_a,point_b,q_a,q_b
periodic_harmonic,-0.0236350550|-0.8090877957|0.0000000000|0.0000000000,18,"(-0.7853981633974483, -1.5707963267948966, -6.283185307179586, -6.283185307179586)","(-0.7853981633974483, -1.5707963267948966, -6.283185307179586, 0.0)","(-0.023635055048649968, -0.8090877956596091, 6.192792369898299e-17, 3.9633871167349113e-16)","(-0.023635055048649968, -0.8090877956596091, 6.192792369898299e-17, 0.0)"
periodic_harmonic,-0.0236350550|0.8090877957|-0.0000000000|-0.0000000000,8,"(-0.7853981633974483, -4.71238898038469, -3.141592653589793, -3.141592653589793)","(-0.7853981633974483, -4.71238898038469, -3.141592653589793, 6.283185307179586)","(-0.023635055048649788, 0.8090877956596091, -2.0436214820664391e-16, -1.9816935583674562e-16)","(-0.023635055048649788, 0.8090877956596091, -2.0436214820664391e-16, -3.9633871167349123e-16)"
periodic_harmonic,-0.0236350550|0.8090877957|-0.0000000000|0.0000000000,12,"(-0.7853981633974483, -4.71238898038469, -3.141592653589793, -6.283185307179586)","(-0.7853981633974483, -4.71238898038469, -3.141592653589793, 0.0)","(-0.023635055048649788, 0.8090877956596091, -2.0436214820664391e-16, 3.9633871167349123e-16)","(-0.023635055048649788, 0.8090877956596091, -2.0436214820664391e-16, 0.0)"
periodic_harmonic,-0.0236350550|0.8090877957|0.0000000000|-0.0000000000,12,"(-0.7853981633974483, -4.71238898038469, -6.283185307179586, -3.141592653589793)","(-0.7853981633974483, -4.71238898038469, -6.283185307179586, 6.283185307179586)","(-0.023635055048649788, 0.8090877956596091, 6.1927923698983e-17, -1.9816935583674562e-16)","(-0.023635055048649788, 0.8090877956596091, 6.1927923698983e-17, -3.9633871167349123e-16)"
periodic_harmonic,-0.0236350550|0.8090877957|0.0000000000|0.0000000000,18,"(-0.7853981633974483, -4.71238898038469, -6.283185307179586, -6.283185307179586)","(-0.7853981633974483, -4.71238898038469, -6.283185307179586, 0.0)","(-0.023635055048649788, 0.8090877956596091, 6.1927923698983e-17, 3.9633871167349123e-16)","(-0.023635055048649788, 0.8090877956596091, 6.1927923698983e-17, 0.0)"
periodic_harmonic,-0.0239065469|-0.8183816488|-0.0000000000|-0.0000000000,16,"(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, -3.141592653589793)","(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, 6.283185307179586)","(-0.023906546883251518, -0.818381648775043, -2.0670962124724101e-16, -2.0044569333065796e-16)","(-0.023906546883251518, -0.818381648775043, -2.0670962124724101e-16, -4.008913866613159e-16)"
periodic_harmonic,-0.0239065469|-0.8183816488|-0.0000000000|0.0000000000,24,"(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, -6.283185307179586)","(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, 0.0)","(-0.023906546883251518, -0.818381648775043, -2.0670962124724101e-16, 4.008913866613159e-16)","(-0.023906546883251518, -0.818381648775043, -2.0670962124724101e-16, 0.0)"
periodic_harmonic,-0.0239065469|-0.8183816488|0.0000000000|-0.0000000000,24,"(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, -3.141592653589793)","(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, 6.283185307179586)","(-0.023906546883251518, -0.818381648775043, 6.263927916583061e-17, -2.0044569333065796e-16)","(-0.023906546883251518, -0.818381648775043, 6.263927916583061e-17, -4.008913866613159e-16)"
periodic_harmonic,-0.0239065469|-0.8183816488|0.0000000000|0.0000000000,36,"(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, -6.283185307179586)","(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, 0.0)","(-0.023906546883251518, -0.818381648775043, 6.263927916583061e-17, 4.008913866613159e-16)","(-0.023906546883251518, -0.818381648775043, 6.263927916583061e-17, 0.0)"
periodic_harmonic,-0.0239065469|0.8183816488|-0.0000000000|-0.0000000000,16,"(-1.5707963267948966, -4.71238898038469, -3.141592653589793, -3.141592653589793)","(-1.5707963267948966, -4.71238898038469, -3.141592653589793, 6.283185307179586)","(-0.023906546883251334, 0.8183816487750432, -2.0670962124724106e-16, -2.00445693330658e-16)","(-0.023906546883251334, 0.8183816487750432, -2.0670962124724106e-16, -4.00891386661316e-16)"
