family,function_class,omega,theta,phi,rho,omega_label,theta_label,phi_label,rho_label,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,jac_rank,vacuum_hit,sign_flip_hit,singular_sheet_hit,q_hash
periodic_harmonic,P,-6.283185307179586,3.141592653589793,3.141592653589793,6.283185307179586,-2pi,pi,pi,2pi,8.327598234202003e-17,-2.449293598294706e-17,4.041334437186265e-16,-7.83773951454306e-16,8.821708174856148e-16,1.0,-2.449293598294706e-17,4.041334437186265e-16,-7.83773951454306e-16,1.0,8.821708174856148e-16,-0.7180800000000002,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_harmonic,P,-6.283185307179586,3.141592653589793,6.283185307179586,-6.283185307179586,-2pi,pi,2pi,-2pi,8.327598234202003e-17,-2.449293598294706e-17,-1.224646799147353e-16,7.83773951454306e-16,7.936618352409168e-16,1.0,-2.449293598294706e-17,-1.224646799147353e-16,7.83773951454306e-16,1.0,7.936618352409168e-16,0.10880000000000004,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_harmonic,P,-6.283185307179586,3.141592653589793,6.283185307179586,-3.141592653589793,-2pi,pi,2pi,-pi,8.327598234202003e-17,-2.449293598294706e-17,-1.224646799147353e-16,-3.91886975727153e-16,4.113063377632996e-16,1.0,-2.449293598294706e-17,-1.224646799147353e-16,-3.91886975727153e-16,1.0,4.113063377632996e-16,-0.10880000000000004,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|-0.0000000000
periodic_harmonic,P,-6.283185307179586,3.141592653589793,6.283185307179586,0.0,-2pi,pi,2pi,0,8.327598234202003e-17,-2.449293598294706e-17,-1.224646799147353e-16,0.0,1.2488995852222593e-16,1.0,-2.449293598294706e-17,-1.224646799147353e-16,0.0,1.0,1.2488995852222593e-16,0.10880000000000004,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_harmonic,P,-6.283185307179586,3.141592653589793,6.283185307179586,3.141592653589793,-2pi,pi,2pi,pi,8.327598234202003e-17,-2.449293598294706e-17,-1.224646799147353e-16,3.91886975727153e-16,4.113063377632996e-16,1.0,-2.449293598294706e-17,-1.224646799147353e-16,3.91886975727153e-16,1.0,4.113063377632996e-16,-0.10880000000000004,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_harmonic,P,-6.283185307179586,3.141592653589793,6.283185307179586,6.283185307179586,-2pi,pi,2pi,2pi,8.327598234202003e-17,-2.449293598294706e-17,-1.224646799147353e-16,-7.83773951454306e-16,7.936618352409168e-16,1.0,-2.449293598294706e-17,-1.224646799147353e-16,-7.83773951454306e-16,1.0,7.936618352409168e-16,0.10880000000000004,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|-0.0000000000
periodic_harmonic,P,-6.283185307179586,6.283185307179586,-6.283185307179586,-6.283185307179586,-2pi,2pi,-2pi,-2pi,8.327598234202003e-17,-8.327598234202002e-16,1.224646799147353e-16,7.83773951454306e-16,1.1501252663548255e-15,1.0,-8.327598234202002e-16,1.224646799147353e-16,7.83773951454306e-16,1.0,1.1501252663548255e-15,1.8496000000000015,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_harmonic,P,-6.283185307179586,6.283185307179586,-6.283185307179586,-3.141592653589793,-2pi,2pi,-2pi,-pi,8.327598234202003e-17,-8.327598234202002e-16,1.224646799147353e-16,-3.91886975727153e-16,9.284728984057833e-16,1.0,-8.327598234202002e-16,1.224646799147353e-16,-3.91886975727153e-16,1.0,9.284728984057833e-16,-1.8496000000000015,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_harmonic,P,-6.283185307179586,6.283185307179586,-6.283185307179586,0.0,-2pi,2pi,-2pi,0,8.327598234202003e-17,-8.327598234202002e-16,1.224646799147353e-16,0.0,8.417164138410642e-16,1.0,-8.327598234202002e-16,1.224646799147353e-16,0.0,1.0,8.417164138410642e-16,1.8496000000000015,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_harmonic,P,-6.283185307179586,6.283185307179586,-6.283185307179586,3.141592653589793,-2pi,2pi,-2pi,pi,8.327598234202003e-17,-8.327598234202002e-16,1.224646799147353e-16,3.91886975727153e-16,9.284728984057833e-16,1.0,-8.327598234202002e-16,1.224646799147353e-16,3.91886975727153e-16,1.0,9.284728984057833e-16,-1.8496000000000015,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
