family,dimension_family,free_variables,held_variables,resolution,sample_count,approx_unique_q_count_8dp,singular_fraction,vacuum_hit_count,sign_flip_hit_count,norm_min,norm_max,R_min,R_max,jac_abs_min,jac_abs_max
periodic_harmonic,2D,theta|phi,omega|rho,33,1089,225,0.0,25,0,1.0,1.0,0.0,3.087977304428914,5.6888483348338345e-05,12.207360000000001
periodic_harmonic,2D,theta|rho,omega|phi,33,1089,135,0.0,25,0,1.0,1.0,0.0,2.625175679709982,1.384394677612426e-18,1.8496000000000004
periodic_harmonic,2D,phi|rho,omega|theta,33,1089,135,0.0,25,0,1.0,1.0,0.0,2.7357003643175726,2.4888760780937915e-18,12.207360000000001
periodic_harmonic,2D,omega|theta,phi|rho,129,16641,3969,0.0,25,0,0.7908973233821565,1.2643866282460618,0.0,2.1618429589442307,0.0003049034915811992,2.555703411165386
periodic_harmonic,2D,omega|phi,theta|rho,129,16641,3969,0.0,25,0,0.7908973233821565,1.2643866282460618,0.0,2.2576791308736563,0.0009710000297835819,16.867642513691546
periodic_harmonic,2D,omega|rho,theta|phi,129,16641,2079,0.0,25,0,0.7908973233821565,1.2643866282460618,0.0,1.555634918610405,1.1351288507888708e-18,2.555703411165386
periodic_harmonic,2D,theta|phi,omega|rho,129,16641,3969,0.0,25,0,1.0,1.0,0.0,3.1258087012994213,6.541204954061894e-07,12.207360000000001
periodic_harmonic,2D,theta|rho,omega|phi,129,16641,2079,0.0,25,0,1.0,1.0,0.0,2.6633747350188535,3.669450563364572e-19,1.8496000000000004
periodic_harmonic,2D,phi|rho,omega|theta,129,16641,2079,0.0,25,0,1.0,1.0,0.0,2.7417357746475917,1.088951992474699e-18,12.207360000000001
periodic_harmonic,2D,omega|theta,phi|rho,257,66049,16129,0.0,25,0,0.790643118728427,1.2647931491622628,0.0,2.1660949139139554,7.832604987297535e-06,2.5638193452461753
periodic_harmonic,2D,omega|phi,theta|rho,257,66049,16129,0.0,25,0,0.790643118728427,1.2647931491622628,0.0,2.258686974288458,0.00012457325804764345,16.921207678624754
periodic_harmonic,2D,omega|rho,theta|phi,257,66049,8255,0.0,25,0,0.790643118728427,1.2647931491622628,0.0,1.5574665653496478,2.2701836403679783e-19,2.5638193452461753
periodic_harmonic,2D,theta|phi,omega|rho,257,66049,16129,0.0,25,0,1.0,1.0,0.0,3.1294782350903567,3.206621433940222e-08,12.207360000000001
periodic_harmonic,2D,theta|rho,omega|phi,257,66049,8255,0.0,25,0,1.0,1.0,0.0,2.6678960396285936,4.7002362657007575e-20,1.8496000000000004
periodic_harmonic,2D,phi|rho,omega|theta,257,66049,8255,0.0,25,0,1.0,1.0,0.0,2.743605100957931,6.979652254294087e-19,12.207360000000001
periodic_harmonic,3D,theta|phi|rho,omega,17,4913,245,0.0,125,0,1.0,1.0,0.0,3.274503255117253,3.753086500445571e-21,12.207360000000001
