family,anchor_label,omega,theta,phi,rho,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,jac_rank,vacuum_hit,sign_flip_hit,singular_sheet_hit
lifted_chart_linear,origin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.014850000000000002,4,True,False,False
lifted_chart_linear,theta_quarter,0.0,0.7853981633974483,0.0,0.0,0.0,0.4319689898685966,0.0,0.0,0.4319689898685966,0.9081431738250813,0.41865973753742813,0.0,0.0,1.0,0.41865973753742813,0.013949020278190099,4,False,False,False
lifted_chart_linear,phi_quarter,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.3534291735288517,0.0,0.3534291735288517,0.9381913359224842,0.0,0.34611705707749296,0.0,1.0,0.34611705707749296,0.014241891346641413,4,False,False,False
lifted_chart_linear,rho_quarter,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.39269908169872414,0.39269908169872414,0.9238795325112867,0.0,0.0,0.3826834323650898,1.0,0.3826834323650898,0.014102171872743987,4,False,False,False
lifted_chart_linear,omega_quarter,0.7853981633974483,0.0,0.0,0.0,0.09424777960769379,0.0,0.0,0.0,0.0,1.0988319803457225,0.0,0.0,0.0,1.0988319803457225,0.0,0.021649686710117615,4,False,False,False
lifted_chart_linear,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.09424777960769379,0.4319689898685966,0.3534291735288517,0.39269908169872414,0.682438244588039,0.8527345567381412,0.4386664586595841,0.35890892072147784,0.3987876896905309,1.0988319803457225,0.6930191171786734,0.01849067436527597,4,False,False,False
lifted_chart_linear,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.09424777960769379,-0.4319689898685966,-0.3534291735288517,-0.39269908169872414,0.682438244588039,0.7062383254353805,-0.3633053952609404,-0.2972498688498603,-0.33027763205540034,0.9100572406760248,0.5739613305729662,0.008699662917230578,4,False,False,False
lifted_chart_linear,omega_pi,3.141592653589793,0.0,0.0,0.0,0.37699111843077515,0.0,0.0,0.0,0.0,1.4578913609506803,0.0,0.0,0.0,1.4578913609506803,0.0,0.06708525941345865,4,False,False,False
lifted_chart_linear,theta_pi,0.0,3.141592653589793,0.0,0.0,0.0,1.7278759594743864,0.0,0.0,1.7278759594743864,-0.15643446504023104,0.9876883405951377,0.0,0.0,1.0,0.9876883405951377,0.004852227818882971,4,False,False,False
lifted_chart_linear,phi_pi,0.0,0.0,3.141592653589793,0.0,0.0,0.0,1.413716694115407,0.0,1.413716694115407,0.15643446504023092,0.0,0.9876883405951378,0.0,1.0,0.9876883405951378,0.007248389704751104,4,False,False,False
lifted_chart_linear,rho_pi,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,6.123233995736766e-17,0.0,0.0,1.0,1.0,1.0,0.006018478308354863,4,False,False,False
